@relation 'if A1==2 then C=((A2==0)&&(A3==1))?1:0 else if (A1==1) C=((A4==2) || (A3==2) || (A2!=A1) ?1:0 else C=(A4==0)?1:0'

@attribute A1 {0,1,2}
@attribute A2 {0,1,2}
@attribute A3 {0,1,2}
@attribute A4 {0,1,2}
@attribute A5 {0,1,2}
@attribute class {0,1}

@data
0,1,1,2,0,0
0,0,0,0,1,0
0,2,1,2,2,0
1,2,2,2,0,1
1,1,2,1,1,1
2,1,0,1,1,0
1,2,0,2,1,1
0,1,2,0,0,0
0,0,0,0,0,0
0,0,0,1,2,0
1,2,2,0,0,1
1,1,2,0,0,1
1,2,2,1,2,1
0,1,0,1,1,0
2,1,1,0,0,0
2,0,2,1,0,0
1,1,1,2,0,1
0,1,0,2,2,0
1,2,0,0,0,1
1,2,0,0,1,1
0,1,1,1,0,0
0,2,0,2,0,0
0,0,2,2,0,0
1,1,2,2,1,1
2,2,0,1,0,0
0,0,0,2,2,0
2,0,0,0,0,0
1,1,1,2,1,1
0,2,1,1,0,0
1,0,2,1,0,1
2,1,0,2,0,0
1,0,1,1,1,1
1,2,0,2,0,1
1,0,1,1,0,1
1,0,2,2,2,1
0,0,2,0,1,0
1,0,1,2,1,1
2,0,1,2,1,1
2,0,1,1,0,1
2,1,0,0,0,0
1,2,1,2,1,1
0,2,2,2,1,0
2,1,1,1,0,0
0,2,1,0,0,1
1,2,0,0,2,1
2,2,2,1,1,0
2,1,2,1,1,0
0,0,0,2,0,0
2,2,0,0,1,0
2,0,2,2,0,0
1,0,0,0,0,1
1,1,1,1,2,0
2,2,0,2,2,0
1,0,2,0,2,1
2,0,0,2,0,0
2,1,0,0,1,0
1,0,0,1,0,1
1,2,1,2,2,1
1,2,2,1,1,1
2,0,0,2,2,0
1,1,0,2,1,1
1,1,2,0,2,1
1,0,2,1,2,1
0,2,1,1,2,0
0,1,2,2,2,0
0,2,0,1,0,0
0,0,0,1,1,0
2,0,0,2,1,0
0,0,2,1,2,0
0,1,2,0,2,0
0,2,2,2,2,0
0,1,2,2,1,0
2,2,2,0,0,0
0,2,2,2,0,0
0,0,1,0,2,0
0,1,1,1,1,0
1,1,0,0,1,0
2,1,1,2,1,0
2,2,2,0,1,0
2,1,2,1,2,0
0,2,0,1,1,0
1,0,0,2,2,1
0,0,1,1,2,0
0,1,1,0,0,0
1,2,1,1,2,1
2,1,1,1,1,0
2,1,1,0,2,0
1,0,1,0,1,1
0,2,0,2,1,0
2,2,2,0,2,0
1,0,0,0,1,1
1,0,0,0,2,1
2,1,2,2,1,0
0,0,2,0,2,0
2,2,0,2,0,0
1,1,0,1,1,0
1,1,1,0,2,0
1,1,0,0,0,0
1,2,1,0,2,1
0,2,0,0,0,1
0,0,1,0,0,0
1,2,1,0,1,1
1,1,2,0,1,1
1,0,1,0,0,1
0,1,0,2,1,0
2,1,0,1,2,0
1,2,0,2,2,1
2,0,0,1,2,0
0,1,1,1,2,0
0,2,0,0,2,1
0,2,1,1,1,0
1,1,0,2,0,1
0,0,1,2,1,0
0,2,2,0,2,1
2,0,2,0,1,0
2,2,0,0,0,0
2,2,1,1,0,0
2,2,0,2,1,0
1,0,1,0,2,1
2,2,0,0,2,0
0,1,1,0,1,0
0,0,2,2,1,0
1,1,2,1,2,1
0,0,1,2,0,0
0,0,0,2,1,0
1,1,1,0,0,0
1,2,1,2,0,1
1,1,0,2,2,1
0,0,2,2,2,0
1,2,0,1,0,1
1,0,2,0,0,1
2,2,2,2,1,0
2,2,1,1,2,0
2,0,0,1,1,0
0,1,1,2,1,0
2,2,1,0,1,0
2,1,1,2,0,0
