@relation 'if A1==0 then C=((A3>0.3)&&(A4<0.1))?1:0 else else C=(A2==0)&&(A3>0.7)?1:0'

@attribute A1 {0,1}
@attribute A2 {0,1}
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute class {0,1}

@data
1,0,0.392011,0.322829,0.690541,0
1,1,0.498538,0.453691,0.044597,0
1,1,0.753894,0.289949,0.657544,0
0,0,0.736497,0.468513,0.125742,0
1,0,0.612717,0.445409,0.517748,0
0,0,0.457466,0.360378,0.643781,0
0,0,0.439287,0.719442,0.001785,0
1,1,0.991966,0.27773,0.606301,0
0,0,0.354545,0.55008,0.660424,0
0,0,0.255372,0.055721,0.220016,0
1,0,0.625467,0.791013,0.919231,0
1,0,0.580938,0.777784,0.679843,0
0,1,0.778972,0.910124,0.887767,0
1,0,0.592265,0.53899,0.606361,0
0,0,0.35306,0.285458,0.398252,0
1,0,0.119316,0.863372,0.585003,0
1,0,0.881789,0.004081,0.359221,1
1,0,0.801963,0.469868,0.676127,1
0,0,0.02659,0.500865,0.098155,0
0,0,0.94498,0.764906,0.739354,0
0,0,0.298477,0.280199,0.801489,0
1,1,0.311332,0.963051,0.386621,0
0,0,0.494549,0.063769,0.012201,1
1,1,0.867396,0.703268,0.113034,0
0,0,0.431586,0.049674,0.938587,1
0,0,0.35359,0.492856,0.997393,0
1,0,0.386469,0.678267,0.790593,0
0,1,0.853998,0.032709,0.488123,1
0,0,0.637563,0.83233,0.672656,0
1,1,0.014213,0.168246,0.446295,0
1,1,0.886368,0.785651,0.60837,0
0,0,0.021414,0.785127,0.384455,0
0,1,0.070851,0.315301,0.889216,0
0,1,0.056123,0.7959,0.875433,0
1,1,0.06038,0.147172,0.167217,0
0,0,0.370885,0.514298,0.394442,0
0,1,0.049665,0.578405,0.042782,0
1,0,0.995262,0.212446,0.464166,1
0,0,0.701141,0.558826,0.53057,0
0,0,0.934797,0.730281,0.287655,0
0,0,0.480704,0.389376,0.867224,0
0,1,0.578301,0.336687,0.047566,0
0,1,0.402448,0.259586,0.007983,0
0,1,0.384998,0.012009,0.520335,1
0,1,0.959162,0.177721,0.649999,0
1,1,0.15119,0.26863,0.476297,0
1,0,0.234953,0.103311,0.22758,0
0,1,0.693645,0.090235,0.715646,1
0,1,0.64576,0.757925,0.510338,0
0,1,0.400356,0.544373,0.307683,0
1,1,0.957141,0.229589,0.864529,0
1,1,0.133583,0.803317,0.267426,0
0,0,0.91411,0.990873,0.028721,0
1,1,0.59784,0.344336,0.207731,0
0,1,0.165524,0.790056,0.2288,0
0,0,0.757826,0.844941,0.463328,0
0,0,0.059579,0.346782,0.388423,0
0,0,0.787267,0.047118,0.39022,1
0,0,0.164015,0.264291,0.057104,0
0,0,0.506475,0.645733,0.422676,0
0,0,0.064927,0.76358,0.909669,0
0,0,0.309493,0.022163,0.521441,1
0,1,0.614642,0.033159,0.401719,1
1,1,0.254466,0.559819,0.700016,0
0,1,0.528333,0.281619,0.482882,0
1,1,0.684932,0.961698,0.778028,0
1,0,0.220223,0.167507,0.463066,0
0,1,0.434825,0.762715,0.617264,0
0,0,0.376043,0.678732,0.939774,0
1,1,0.143967,0.365869,0.160307,0
1,1,0.784397,0.836445,0.573193,0
0,0,0.349626,0.908573,0.255499,0
0,0,0.904702,0.72909,0.839454,0
0,1,0.027527,0.01471,0.734906,0
0,1,0.995339,0.341925,0.303969,0
0,0,0.914674,0.64263,0.561898,0
0,1,0.027556,0.764958,0.491507,0
1,1,0.866816,0.386584,0.207907,0
1,0,0.186727,0.545176,0.846608,0
1,1,0.373948,0.518809,0.207921,0
1,1,0.334044,0.932378,0.288942,0
1,0,0.194349,0.014931,0.113592,0
0,0,0.143023,0.365557,0.388286,0
1,0,0.466121,0.732799,0.671834,0
0,1,0.713917,0.899965,0.581141,0
1,0,0.037876,0.713676,0.943899,0
1,1,0.735823,0.103686,0.196914,0
1,0,0.628051,0.347506,0.511759,0
1,1,0.844858,0.804409,0.380413,0
1,0,0.604403,0.446324,0.73998,0
1,1,0.804047,0.568256,0.516782,0
1,0,0.078881,0.360652,0.944891,0
1,0,0.796686,0.896957,0.165508,1
0,1,0.873477,0.364797,0.019777,0
0,0,0.22292,0.369718,0.175599,0
0,0,0.043454,0.043369,0.654188,0
1,0,0.365584,0.692039,0.92138,0
1,1,0.68704,0.201255,0.424361,0
1,1,0.545228,0.284067,0.007586,0
0,1,0.945026,0.464025,0.205725,0
1,1,0.518378,0.412398,0.336757,0
0,0,0.447567,0.759644,0.130778,0
1,0,0.943001,0.286241,0.807613,1
0,1,0.12481,0.003076,0.578102,0
0,1,0.499761,0.174467,0.769523,0
0,1,0.716902,0.723432,0.90045,0
0,0,0.428794,0.705204,0.547976,0
0,0,0.529658,0.962632,0.079676,0
0,1,0.734444,0.663413,0.184657,0
1,0,0.845056,0.371964,0.609733,1
0,0,0.492952,0.961535,0.012275,0
0,1,0.849235,0.078485,0.360087,1
0,1,0.64158,0.009188,0.770455,1
0,1,0.251477,0.08011,0.242993,0
0,1,0.356705,0.513438,0.829921,0
0,1,0.780333,0.852746,0.309429,0
0,0,0.8704,0.193091,0.345968,0
1,1,0.130642,0.664337,0.618627,0
1,0,0.010696,0.958318,0.130206,0
0,0,0.448506,0.141792,0.381606,0
1,0,0.263856,0.58873,0.986088,0
1,0,0.159529,0.733081,0.564732,0
0,0,0.084483,0.71466,0.676407,0
1,1,0.525989,0.357109,0.277806,0
0,1,0.061159,0.171993,0.510424,0
0,1,0.246424,0.200259,0.863663,0
0,0,0.374834,0.342698,0.388306,0
1,1,0.249921,0.965705,0.981707,0
0,0,0.460467,0.521489,0.608106,0
1,1,0.478693,0.02799,0.043514,0
1,0,0.54905,0.352421,0.615573,0
1,1,0.366169,0.712118,0.849945,0
1,1,0.67957,0.974131,0.402845,0
0,0,0.201547,0.078075,0.009603,0
0,0,0.134332,0.293744,0.384812,0
0,1,0.001586,0.12565,0.829505,0
0,0,0.075264,0.199925,0.201103,0
0,0,0.590511,0.671508,0.580309,0
1,1,0.405142,0.026217,0.109701,0
0,0,0.601331,0.424307,0.898165,0
0,1,0.711224,0.015697,0.010915,1
1,1,0.1672,0.081271,0.219172,0
0,1,0.187775,0.324429,0.926469,0
0,0,0.357927,0.881033,0.504737,0
1,1,0.999517,0.469404,0.169891,0
1,0,0.451198,0.715885,0.638942,0
1,1,0.914793,0.3903,0.896078,0
1,1,0.005,0.078158,0.122786,0
0,0,0.682531,0.094841,0.078165,1
0,1,0.340219,0.189674,0.493303,0
1,1,0.481732,0.414758,0.799842,0
0,0,0.451198,0.242612,0.024674,0
0,1,0.469893,0.760971,0.595526,0
0,1,0.866414,0.820422,0.068299,0
1,0,0.584456,0.058809,0.146766,0
0,0,0.488574,0.027278,0.032187,1
1,1,0.09912,0.72076,0.131677,0
0,0,0.688594,0.346077,0.738004,0
