@relation 'if A2==0 then C=((A3<0.5)&& A1==0)?1:0 else if (A2==1) C=((A4>0.15) && A1==2)?1:0 else C=((A3>0.5)&&(A4>0.5)&& A1==1)?1:0'

@attribute A1 {0,1,2}
@attribute A2 {0,1,2}
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute class {0,1}

@data
0,2,0.150493,0.592878,0.304485,0
2,2,0.27402,0.20179,0.132696,0
0,2,0.224132,0.584375,0.343355,0
2,1,0.086177,0.03758,0.180521,0
1,2,0.0603,0.766438,0.592643,0
0,2,0.22375,0.317761,0.65333,0
1,2,0.384831,0.876702,0.574981,0
1,0,0.303874,0.499549,0.346151,0
1,1,0.718193,0.727962,0.279947,0
1,0,0.656608,0.786104,0.26563,0
1,0,0.339628,0.783662,0.773882,0
2,0,0.540143,0.526666,0.034869,0
2,1,0.247151,0.997011,0.449253,1
0,0,0.019693,0.39375,0.978125,1
0,0,0.283435,0.629752,0.657351,1
2,0,0.929063,0.522975,0.987894,0
0,1,0.151944,0.880378,0.592744,0
0,1,0.125534,0.413194,0.428388,0
2,1,0.963507,0.018046,0.49217,0
0,1,0.677785,0.966671,0.615573,0
1,2,0.052401,0.073081,0.186425,0
0,0,0.709802,0.844354,0.866799,0
2,0,0.857123,0.791049,0.716179,0
0,0,0.95581,0.266063,0.593169,0
0,0,0.6521,0.6568,0.459888,0
1,2,0.084986,0.39909,0.353477,0
1,1,0.273122,0.057048,0.095169,0
2,2,0.03118,0.653822,0.466524,0
1,1,0.835213,0.623108,0.748718,0
1,2,0.741017,0.09721,0.533515,0
0,1,0.883785,0.105101,0.111537,0
2,2,0.341001,0.063022,0.72698,0
1,0,0.73833,0.729513,0.786614,0
1,2,0.955731,0.09372,0.708212,0
1,1,0.725806,0.415612,0.078982,0
1,0,0.598739,0.007571,0.620592,0
1,2,0.004454,0.833243,0.170301,0
0,0,0.34624,0.014343,0.428766,1
1,2,0.147538,0.513464,0.681662,0
0,2,0.612025,0.975029,0.41861,0
0,0,0.192955,0.840854,0.012507,1
0,0,0.816679,0.639789,0.503932,0
2,0,0.524451,0.106981,0.246532,0
0,2,0.212249,0.731342,0.99433,0
1,1,0.492099,0.06118,0.486786,0
2,2,0.538468,0.248974,0.134463,0
