@relation 'if A2==0 then C=A1 && not(A3) else C=A4A5 ||A6'

@attribute A1 {0,1}
@attribute A2 {0,1}
@attribute A3 {0,1}
@attribute A4 {0,1}
@attribute A5 {0,1}
@attribute A6 {0,1}
@attribute A7 {0,1}
@attribute class {0,1}

@data
0,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0
0,0,1,1,0,1,1,0
1,1,0,0,1,1,1,1
0,0,0,1,1,0,0,0
1,1,1,0,1,1,0,1
0,1,0,0,0,1,1,1
1,0,1,1,1,0,1,1
0,0,1,0,1,0,0,0
1,1,1,0,0,0,0,0
0,0,1,1,1,0,1,0
1,0,1,0,1,1,1,0
1,1,1,1,0,1,1,1
1,1,0,1,0,1,1,1
1,0,1,0,0,0,1,0
1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,1
1,0,1,0,1,0,1,0
0,0,0,0,0,0,1,0
0,1,1,1,0,1,0,1
1,0,0,1,1,1,1,1
1,0,0,0,0,1,0,1
1,1,1,0,1,1,1,1
1,0,0,1,1,0,0,1
1,1,1,1,0,0,0,0
1,1,0,0,0,0,0,0
1,1,0,1,1,0,0,1
0,1,0,0,1,1,1,1
1,0,1,1,0,1,0,0
1,0,0,1,1,1,0,0
0,0,1,0,0,0,1,0
0,1,1,0,0,0,0,0
0,0,1,1,1,1,1,0
0,0,0,1,0,0,0,0
1,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0
0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1
0,0,0,0,1,0,1,0
0,0,0,0,1,1,0,0
1,1,1,0,1,0,1,0
1,1,1,0,1,0,0,0
0,1,0,1,0,1,0,1
0,1,0,0,0,0,1,0
1,1,1,1,1,0,0,1
0,1,0,0,0,0,0,0
0,1,1,0,0,1,0,1
1,0,0,1,1,0,1,1
0,1,0,0,1,0,0,0
1,1,0,1,0,0,1,0
1,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0
0,1,1,0,1,1,0,1
1,1,1,0,0,1,1,1
1,1,1,1,0,1,0,1
1,0,1,0,0,0,0,0
0,1,0,0,1,1,0,1
1,1,0,1,0,1,0,1
1,0,1,0,0,1,1,0
1,0,0,0,0,1,1,1
0,0,0,1,1,0,1,0
0,0,1,1,1,1,0,0
1,0,0,1,0,1,1,1
0,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,0
1,1,0,1,1,0,1,1
0,1,0,0,1,0,1,0
1,1,0,0,0,0,1,0
0,0,1,0,1,1,1,0
1,0,1,1,0,0,1,0
0,1,0,1,1,0,1,1
1,1,0,0,1,0,0,0
1,1,0,0,0,1,0,1
0,0,1,1,0,1,0,0
0,1,1,0,0,0,1,0
0,1,1,0,1,1,1,1
1,1,1,1,0,0,1,0
1,1,1,0,0,1,0,1
0,0,0,1,0,1,1,0
1,0,1,0,0,1,0,0
0,1,1,0,0,1,1,0
0,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0
1,0,1,0,1,1,0,0
1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,1
1,0,0,0,1,1,0,1
0,0,1,0,1,0,1,0
0,1,0,1,1,0,0,1
1,0,1,1,1,0,0,0
0,1,0,1,0,1,1,1
0,1,0,1,1,1,0,1
0,1,1,1,0,0,0,0
1,0,1,1,1,1,1,0
0,0,0,0,1,0,0,0
1,1,0,1,0,0,0,0
0,0,1,1,0,0,0,0
0,0,0,0,1,1,1,0
1,0,1,1,0,1,1,0
0,0,1,1,1,0,0,0
1,1,0,0,0,1,1,1
1,0,1,1,0,0,0,0
0,0,0,1,1,1,1,0
0,1,0,1,0,0,1,0
0,1,1,1,0,0,1,0
1,1,1,0,0,0,1,0
1,1,0,1,1,1,0,1
0,0,1,0,0,1,1,0
1,0,0,0,1,1,1,1
0,1,1,1,1,0,0,1
0,1,1,0,1,0,0,1
0,1,1,0,1,0,1,0
0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0
1,0,1,0,1,0,0,0
0,1,0,0,0,1,0,1
0,1,0,1,1,1,1,1
1,1,0,0,1,1,0,1
0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,1
0,1,1,1,0,1,1,1
1,0,0,1,0,1,0,1
0,1,1,1,1,1,0,1
0,0,0,1,0,1,0,0
1,0,1,1,1,1,0,0
1,1,0,1,1,1,1,1
