@relation modGroup

@attribute I1 numeric
@attribute I2 numeric
@attribute R1 numeric
@attribute R2 numeric
@attribute class {0,1,2}

@data
0.507397,0.499647,0.383815,0.221328,2
0.795808,0.519813,0.548724,0.404491,2
0.464533,0.191399,0.799286,0.782365,1
0.822775,0.162006,0.259475,0.470061,2
0.172383,0.406415,0.780752,0.46988,1
0.769032,0.863121,0.473664,0.576327,1
0.816596,0.146788,0.070739,0.231593,2
0.549984,0.738637,0.812051,0.869424,0
0.514851,0.413399,0.824714,0.487424,2
0.741401,0.863679,0.454044,0.804682,1
0.440748,0.214293,0.187256,0.499564,1
0.203073,0.506196,0.801184,0.126287,1
0.737248,0.151383,0.180305,0.475491,2
0.486005,0.802436,0.503929,0.858784,0
0.550614,0.302547,0.453505,0.523952,1
0.782498,0.879851,0.490473,0.475287,1
0.153617,0.525148,0.884191,0.939396,1
0.825911,0.19406,0.499257,0.868422,2
0.867074,0.145963,0.441823,0.476894,2
0.640129,0.455925,0.163832,0.883894,2
0.201043,0.533477,0.85705,0.250614,1
0.172644,0.573382,0.17676,0.13292,0
0.513639,0.850762,0.13714,0.471451,0
0.157737,0.451364,0.816343,0.244557,1
0.911362,0.489315,0.235469,0.088515,0
0.783064,0.50886,0.50075,0.818226,0
0.126836,0.10248,0.819204,0.075661,0
0.758945,0.575653,0.422817,0.812344,0
0.213101,0.158799,0.814963,0.131606,0
0.241441,0.130269,0.180727,0.489548,0
0.778945,0.77899,0.501608,0.477082,1
0.784203,0.126288,0.846141,0.971242,2
0.161805,0.480232,0.910473,0.824413,1
0.823076,0.224231,0.379411,0.066146,2
0.25921,0.458929,0.380024,0.821734,1
0.188481,0.760752,0.529389,0.767098,2
0.480716,0.217313,0.863432,0.278895,1
0.905605,0.816628,0.833365,0.119621,1
0.489018,0.50487,0.90417,0.475053,2
0.851486,0.47219,0.804978,0.117872,0
0.860406,0.222942,0.153334,0.515556,2
0.539056,0.169567,0.153845,0.790365,1
0.101667,0.502426,0.077459,0.372081,2
0.243905,0.528193,0.521433,0.550943,1
0.869383,0.554629,0.237509,0.809941,1
0.75014,0.110896,0.137405,0.516217,2
0.539538,0.516325,0.894171,0.187482,2
0.558523,0.596417,0.168655,0.52286,2
0.211065,0.546899,0.904484,0.5167,1
0.417542,0.519421,0.113332,0.22615,2
0.822063,0.526044,0.800236,0.886443,0
0.118422,0.484022,0.44227,0.489524,1
0.461631,0.157402,0.133518,0.439116,1
0.142022,0.554613,0.16292,0.872852,1
0.809283,0.126293,0.211995,0.452763,1
0.235749,0.170718,0.194598,0.82331,0
0.88813,0.601802,0.117206,0.166411,0
0.85786,0.507608,0.783124,0.485578,0
0.2594,0.802788,0.147153,0.840637,2
0.771341,0.113464,0.207511,0.458174,2
0.819335,0.523501,0.146343,0.235505,0
0.195961,0.156394,0.167229,0.56553,1
0.188017,0.490781,0.590215,0.797063,1
0.620671,0.56917,0.13247,0.415015,2
0.882206,0.217074,0.478779,0.81855,2
0.441619,0.229809,0.246801,0.891635,1
0.232823,0.445935,0.191571,0.867707,1
0.721949,0.460942,0.113726,0.078026,0
0.141569,0.785094,0.48677,0.09545,2
0.099624,0.906552,0.136973,0.10428,0
0.206569,0.16064,0.875712,0.120989,0
0.584097,0.540539,0.133684,0.800873,2
0.177225,0.851817,0.536134,0.544976,2
0.047192,0.814695,0.718458,0.132196,2
0.919275,0.116718,0.138309,0.649821,2
0.520514,0.548005,0.547645,0.878583,2
0.874723,0.565807,0.486997,0.794371,0
0.445397,0.854269,0.525909,0.851075,0
0.813553,0.141017,0.826204,0.193763,2
0.542831,0.808216,0.214205,0.576081,0
0.479389,0.185785,0.559532,0.45126,1
0.500219,0.781612,0.782275,0.577747,0
0.47667,0.081324,0.087395,0.821695,1
0.498729,0.810427,0.517508,0.80593,0
0.250137,0.525627,0.730927,0.883608,1
0.6127,0.134678,0.462226,0.162073,1
0.075923,0.51487,0.476191,0.505699,1
0.97425,0.490425,0.835742,0.513285,0
0.521385,0.198571,0.883233,0.11359,1
0.47783,0.725303,0.2305,0.912496,2
0.831571,0.176473,0.193389,0.768371,2
0.167601,0.141362,0.501145,0.861601,0
0.89153,0.181443,0.854854,0.839074,2
0.490772,0.786886,0.10883,0.873924,1
0.229621,0.83182,0.911826,0.761556,2
0.831872,0.422768,0.203575,0.404905,0
0.451286,0.215866,0.880204,0.765664,1
0.518322,0.172316,0.504419,0.871535,1
0.867585,0.81324,0.891201,0.250836,1
0.144374,0.160428,0.123279,0.164597,0
0.122252,0.554975,0.413349,0.20106,1
0.059118,0.865923,0.850091,0.176864,2
0.169314,0.475229,0.762844,0.523517,1
0.192807,0.411681,0.220823,0.848475,1
0.556389,0.155462,0.222323,0.824821,1
0.767622,0.442818,0.53445,0.558741,0
0.584747,0.1192,0.114607,0.145155,1
0.072792,0.14317,0.150127,0.133666,0
0.896,0.475726,0.143223,0.878888,0
0.408338,0.433702,0.881337,0.197419,2
0.461878,0.815552,0.836299,0.536525,0
0.461267,0.228457,0.52216,0.402576,0
0.159563,0.089792,0.463525,0.814197,0
0.848865,0.473942,0.105839,0.886658,0
0.081852,0.510909,0.531284,0.195609,1
0.125322,0.87892,0.562608,0.482926,2
0.814302,0.149139,0.513035,0.550255,2
0.178541,0.562582,0.58288,0.812641,1
0.817634,0.282278,0.47476,0.200541,2
0.862969,0.502359,0.169462,0.217507,2
0.545794,0.160536,0.768125,0.180543,1
0.456093,0.124996,0.88606,0.828358,0
0.515852,0.842918,0.091335,0.713116,0
0.821595,0.14775,0.832389,0.517058,2
0.52166,0.258285,0.226536,0.483556,1
0.819212,0.199855,0.831368,0.15935,2
0.187983,0.195551,0.559207,0.544775,0
0.18073,0.11201,0.204291,0.737743,0
0.790238,0.101806,0.480367,0.875566,2
0.090987,0.409097,0.207075,0.752056,1
0.829689,0.129412,0.221416,0.497534,1
0.449619,0.955501,0.170378,0.243439,0
0.532905,0.563162,0.725986,0.189544,0
0.444518,0.752099,0.13655,0.862281,0
0.537942,0.694644,0.771439,0.502065,0
0.163377,0.180508,0.411322,0.584038,0
0.446598,0.196473,0.095166,0.817531,1
0.820103,0.776131,0.14603,0.819192,1
0.224625,0.452193,0.457643,0.107768,1
