@relation 'credit score dataset'

@attribute net_sales numeric
@attribute cost_of_goods_and_services numeric
@attribute cost_of_labor numeric
@attribute depreciation numeric
@attribute financial_expenses numeric
@attribute interest numeric
@attribute EBIT numeric
@attribute EBITDA numeric
@attribute net_income numeric
@attribute assets numeric
@attribute equity numeric
@attribute debt numeric
@attribute cash numeric
@attribute lt_assets numeric
@attribute st_assets numeric
@attribute total_oper_liabilities numeric
@attribute st_oper_liabilities numeric
@attribute lt_liabilities numeric
@attribute st_liabilities numeric
@attribute inventories numeric
@attribute FFO numeric
@attribute OCF numeric
@attribute credit_score {E,A}

@data
8027333,6836338,1149061,308167,90450,90450,99595,407762,14940,6674671,1206058,2959564,15966,3569787,3093095,2191234,2191234,2498141,2652657,613477,323107,318232,E
3958025,3011069,676014,184162,788,30,62042,246204,59335,3102692,2548611,0,871805,856874,2239564,347705,347705,0,347705,0,238830,325898,A
46478444,34692816,6397060,2487129,482437,364151,2344965,4832094,1629286,44967928,29281806,8027542,2873520,19723030,25055576,5571384,5571384,6333344,7265582,10333893,3851344,3315647,A
9441113,4023940,3815902,839998,6049,6049,768738,1608736,726984,8466300,6994826,258551,384500,7276799,1184834,1107263,1107263,43484,1322330,115168,1560006,1548607,A
13873965,10736950,2579018,901894,272295,272295,-818933,82961,-1017562,15106250,3164952,9328398,31624,11688951,3412304,2089741,2089741,7443673,3974466,1771789,-214237,-140892,E
14472188,11158396,3073460,211667,96255,96255,127413,339080,64337,7592611,2407700,1518213,101932,3160524,4431956,3483868,3483868,932479,4069602,118305,271377,-24566,E
2757717,1965954,619045,47370,14335,14335,74830,122200,55894,2389715,1135178,275475,0,266591,1964097,970874,881381,89493,1156856,1665031,103264,-30966,A
21381638,12635230,6378038,1216291,441498,347857,1092224,2308515,237480,13228851,3445271,3735270,278207,5644973,7564920,4736986,4736986,2905803,5566453,955520,1273273,963750,A
15279979,14085602,879058,336661,29204,29204,-39793,296868,9305,7710082,2260265,1781067,763803,2369181,5340576,3277687,3277687,1751341,3307413,3451971,345966,861697,E
130601096,118547352,6630805,3390030,1184547,1180246,2039804,5429834,852626,80115552,36361096,28687540,127473,45017288,32506708,14986239,14986239,13068283,30605496,4528264,4199714,2697204,E
2714998,1548065,1480663,82918,48835,48835,-361157,-278239,-410324,2016517,562109,829217,15322,702853,1227924,625191,623764,350470,1103938,259094,-327406,-69863,E
118629088,113712920,2795655,143845,147633,147633,1525413,1669258,1467387,47786436,4909145,1556199,4341712,954483,46812568,40173096,40173096,24134,41705160,16689567,1611232,278384,E
2258179,699890,1443702,216638,0,0,-113520,103118,-84300,4915288,4562178,0,22324,3494938,1419315,305588,305588,0,305588,56635,108864,193742,A
10612306,7078205,1404699,826436,15025,9806,1502366,2328802,1317090,11548035,9367851,400730,987870,6390695,5147422,1587568,1587568,0,1988298,654798,1989426,2280279,A
2973099,2022600,581564,284312,29528,29528,262256,546568,236827,2834561,1247939,1226550,164088,2027647,806914,277690,277690,1001542,502698,147300,498863,787558,A
20426490,16848542,2955932,1327854,638649,638649,1753046,3080900,1097229,40692668,13164225,11230341,1308035,25105652,15484573,9479560,9479560,4307143,16402758,4327293,2424869,5353785,E
