@relation 'if (A2 > 0.5) then R=2.5*A1 + 3.5*A3 else R=2*A4 + 0.7*A5'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute class numeric

@data
0.778417,0.19439,0.563216,0.543449,0.213883,0.509324,1.236616
0.029223,0.794065,0.481751,0.422183,0.192201,0.442371,1.759183
0.246114,0.862067,0.404437,0.1974,0.11618,0.144635,2.030814
0.716586,0.675357,0.680332,0.4442,0.203543,0.534024,4.172626
0.883398,0.898191,0.538558,0.183272,0.721516,0.108653,4.093448
0.68502,0.063399,0.214345,0.76739,0.076283,0.58558,1.588178
0.880963,0.624488,0.936175,0.962473,0.493667,0.044414,5.479021
0.456267,0.322081,0.712965,0.949508,0.390729,0.694263,2.172527
0.317422,0.037621,0.255581,0.686805,0.133599,0.778818,1.467129
0.726344,0.926783,0.44422,0.845469,0.016613,0.632955,3.370629
0.606745,0.310719,0.989761,0.006235,0.849932,0.162244,0.607422
0.506994,0.477823,0.73253,0.421365,0.04718,0.238369,0.875755
0.546136,0.431993,0.947357,0.886571,0.023313,0.689574,1.789461
0.707563,0.481913,0.072447,0.917066,0.67959,0.763782,2.309845
0.902402,0.963205,0.116503,0.807979,0.8229,0.497675,2.663764
0.998237,0.931705,0.210638,0.408503,0.268315,0.229363,3.232825
0.616527,0.268885,0.117697,0.72408,0.75601,0.233831,1.977366
0.734013,0.753627,0.172299,0.251427,0.497889,0.874459,2.43808
0.691454,0.52917,0.952822,0.263886,0.398575,0.782751,5.063513
0.001025,0.32793,0.755999,0.912826,0.684884,0.981195,2.305071
0.657226,0.404725,0.602165,0.855146,0.664407,0.92672,2.175377
0.472815,0.512446,0.412586,0.314376,0.62619,0.59757,2.626088
0.180471,0.371687,0.209766,0.737686,0.925384,0.694097,2.12314
0.733864,0.922836,0.65912,0.024185,0.16165,0.040749,4.14158
0.901813,0.487704,0.129642,0.219137,0.092497,0.425812,0.503022
0.041188,0.637131,0.257903,0.438773,0.713862,0.50755,1.005632
0.945155,0.68705,0.981425,0.002982,0.409334,0.457639,5.797873
0.152006,0.00119,0.313537,0.496637,0.50638,0.659157,1.347739
0.746863,0.633487,0.083656,0.990117,0.194888,0.777966,2.159956
0.846489,0.814204,0.207521,0.457923,0.943825,0.680893,2.842548
0.900765,0.683933,0.196484,0.620208,0.101717,0.076439,2.939606
0.119308,0.869687,0.900288,0.871625,0.763374,0.045399,3.449277
0.606429,0.634179,0.412708,0.577857,0.628302,0.24826,2.96055
0.702187,0.617423,0.584626,0.032409,0.036799,0.028892,3.801659
0.043598,0.629793,0.287118,0.541183,0.641074,0.662102,1.113909
0.611884,0.595634,0.972351,0.003575,0.915751,0.94517,4.932937
0.574698,0.931035,0.888788,0.596678,0.52193,0.336496,4.547503
0.794003,0.260164,0.63763,0.650814,0.17017,0.070867,1.420746
0.100244,0.119995,0.39945,0.984239,0.261134,0.600233,2.151272
0.652777,0.908777,0.825762,0.093361,0.070695,0.33796,4.522112
0.158527,0.831364,0.163334,0.970101,0.363392,0.83672,0.967986
0.320419,0.563685,0.965283,0.534791,0.010683,0.065847,4.179536
0.47134,0.175118,0.719795,0.872878,0.826456,0.530398,2.324275
0.926873,0.934243,0.79414,0.585109,0.4519,0.295336,5.096671
0.591593,0.700107,0.319815,0.589265,0.686986,0.045252,2.598333
0.881791,0.934242,0.527279,0.928978,0.310191,0.670687,4.049956
0.106532,0.021917,0.740904,0.380947,0.707484,0.371084,1.257132
0.275257,0.674572,0.853319,0.531819,0.77342,0.293382,3.674759
0.491851,0.106553,0.872191,0.193087,0.700979,0.472679,0.87686
0.942273,0.39202,0.752111,0.50619,0.763662,0.54258,1.546943
0.197374,0.663412,0.542435,0.377278,0.756739,0.870094,2.391957
0.51826,0.408792,0.172834,0.285263,0.819151,0.522275,1.143931
0.874048,0.156661,0.408446,0.388135,0.240632,0.665284,0.944712
0.938774,0.944857,0.503853,0.868386,0.07868,0.553933,4.110422
0.824875,0.593566,0.409856,0.812776,0.897866,0.410875,3.496685
0.306389,0.426529,0.500952,0.61563,0.302147,0.985955,1.442762
0.778986,0.491466,0.328422,0.97617,0.683694,0.991378,2.430926
0.86117,0.849719,0.919625,0.373868,0.455649,0.537577,5.371613
0.948416,0.262024,0.366015,0.342924,0.089251,0.055227,0.748324
0.948368,0.765095,0.519986,0.616393,0.32802,0.434869,4.190872
0.031269,0.682018,0.375172,0.007347,0.715075,0.498011,1.391274
0.377983,0.554905,0.379435,0.771177,0.927924,0.730285,2.272982
0.372756,0.144382,0.439577,0.728659,0.673928,0.052876,1.929067
0.415516,0.867545,0.558599,0.999859,0.036603,0.42475,2.993885
0.887253,0.001347,0.909045,0.227022,0.07742,0.19352,0.508239
0.831759,0.365942,0.120127,0.370161,0.26108,0.332558,0.923078
0.579843,0.523458,0.74457,0.808604,0.377505,0.298367,4.055603
0.971668,0.32966,0.297824,0.638871,0.246133,0.044404,1.450035
0.584899,0.803906,0.123736,0.83415,0.694308,0.36139,1.895324
0.678341,0.128144,0.25515,0.730688,0.360548,0.85265,1.713759
0.562157,0.337024,0.695235,0.085624,0.465808,0.465762,0.497315
0.127869,0.153819,0.357517,0.460141,0.174146,0.105471,1.042185
0.057276,0.992963,0.6535,0.719229,0.80278,0.760893,2.430442
0.194282,0.468801,0.211874,0.099459,0.386827,0.152809,0.469696
0.04429,0.697479,0.930413,0.220661,0.823981,0.80159,3.367172
0.871054,0.177751,0.899958,0.044669,0.559309,0.837127,0.480855
0.321407,0.30642,0.270769,0.599776,0.981932,0.819982,1.886904
0.526599,0.391973,0.848158,0.0754,0.027502,0.365689,0.170051
0.729495,0.938927,0.771691,0.976827,0.968745,0.806539,4.524653
0.365927,0.596109,0.637322,0.540724,0.758422,0.378707,3.145442
0.304192,0.401515,0.623368,0.721284,0.21428,0.175891,1.592565
0.409087,0.268847,0.759904,0.234103,0.62527,0.098913,0.905895
0.45791,0.297123,0.289507,0.406727,0.255553,0.286349,0.992342
0.579274,0.742853,0.879741,0.744856,0.642786,0.6132,4.527279
0.117125,0.968882,0.210578,0.041645,0.366623,0.168934,1.029835
0.11943,0.516635,0.541306,0.691777,0.111213,0.595751,2.193144
0.413194,0.577767,0.301455,0.325971,0.792336,0.502371,2.088078
0.525916,0.552405,0.510673,0.456409,0.368176,0.1346,3.102144
0.041519,0.356448,0.047231,0.066997,0.727112,0.144947,0.642972
0.501298,0.508973,0.009514,0.839182,0.94252,0.769884,1.286543
0.764274,0.418608,0.876997,0.365848,0.821584,0.402266,1.306805
0.085516,0.367544,0.026292,0.460995,0.342619,0.39207,1.161824
0.735956,0.433606,0.71509,0.75697,0.485262,0.671863,1.853623
0.12568,0.510808,0.655437,0.726021,0.493887,0.282217,2.60823
0.378931,0.000825,0.172794,0.14814,0.582458,0.161317,0.704001
0.58948,0.012008,0.025627,0.74841,0.96622,0.303904,2.173175
0.427691,0.676175,0.750699,0.167299,0.291606,0.025873,3.696675
0.915645,0.680709,0.832397,0.826239,0.601806,0.077718,5.202504
0.495946,0.315162,0.672899,0.375022,0.914671,0.514811,1.390315
0.627146,0.295777,0.788167,0.820452,0.967223,0.884235,2.31796
0.09972,0.702574,0.568955,0.747768,0.283723,0.552649,2.240643
0.808772,0.433614,0.444357,0.164729,0.210971,0.050246,0.477137
0.492523,0.33827,0.157997,0.877045,0.11584,0.611973,1.835178
0.770497,0.371005,0.825638,0.194111,0.40856,0.67547,0.674214
0.935234,0.741705,0.371589,0.463462,0.215351,0.7591,3.638646
0.281449,0.706936,0.145438,0.035879,0.322009,0.753339,1.212655
0.133701,0.724748,0.977943,0.912144,0.814044,0.371906,3.757054
0.16661,0.606562,0.544695,0.455607,0.689076,0.029426,2.322956
0.531172,0.763013,0.739803,0.157285,0.57531,0.241125,3.91724
0.809272,0.923034,0.312451,0.794458,0.689768,0.32493,3.116759
0.940485,0.870331,0.451795,0.258664,0.867291,0.572023,3.932495
0.197058,0.899165,0.407218,0.470731,0.113674,0.530118,1.917908
0.642608,0.249171,0.860259,0.821723,0.832954,0.802831,2.226515
0.587759,0.690997,0.302156,0.44929,0.971361,0.043959,2.526944
0.563405,0.451701,0.46957,0.895352,0.551627,0.149422,2.176844
0.653488,0.58906,0.224963,0.606973,0.856578,0.101188,2.42109
0.469666,0.841885,0.583657,0.697817,0.196858,0.372688,3.216964
0.0876,0.540718,0.754965,0.040195,0.273213,0.186854,2.861377
0.298231,0.798393,0.619941,0.311298,0.549591,0.44569,2.915371
0.128596,0.398228,0.475253,0.072896,0.391951,0.590927,0.420159
0.748705,0.341272,0.765103,0.36931,0.523477,0.572095,1.105053
0.268653,0.232221,0.956816,0.028663,0.296295,0.10184,0.264733
0.130549,0.702263,0.418091,0.738787,0.500753,0.375587,1.789693
0.571703,0.059079,0.774462,0.730225,0.716069,0.877871,1.961698
0.15948,0.789278,0.585504,0.269945,0.262483,0.041806,2.447964
0.526914,0.433218,0.520934,0.182732,0.5288,0.669062,0.735624
0.945938,0.519984,0.457946,0.852029,0.126031,0.750098,3.967654
0.208178,0.551608,0.895976,0.984122,0.935286,0.789929,3.656361
0.809998,0.617619,0.803195,0.271877,0.575508,0.881714,4.83618
0.698685,0.807852,0.901188,0.686527,0.18545,0.564466,4.90087
0.79244,0.674038,0.563,0.724749,0.187533,0.234302,3.951599
0.27189,0.116978,0.969386,0.607123,0.043998,0.380026,1.245044
0.810797,0.090701,0.135022,0.273172,0.014996,0.809432,0.55684
0.696135,0.809613,0.498778,0.454952,0.84267,0.995432,3.48606
0.332068,0.907682,0.259963,0.089583,0.795612,0.670544,1.740042
0.249949,0.465501,0.747596,0.60219,0.966827,0.351208,1.881159
0.200353,0.523987,0.216098,0.952351,0.399906,0.893165,1.257225
0.598502,0.721377,0.373962,0.883979,0.96884,0.826114,2.805122
0.86805,0.89934,0.149437,0.192272,0.824884,0.747362,2.693155
0.588917,0.846981,0.078592,0.460359,0.189249,0.674207,1.747363
0.733343,0.008293,0.837459,0.107968,0.774965,0.964326,0.758412
0.273134,0.735549,0.824542,0.517017,0.798851,0.260452,3.568733
0.584542,0.091914,0.997842,0.783605,0.4509,0.244663,1.882839
0.061733,0.901398,0.96858,0.418447,0.55088,0.690405,3.544364
0.293487,0.62047,0.410821,0.251171,0.590194,0.065363,2.171592
0.850601,0.117272,0.342828,0.357829,0.25217,0.500841,0.892178
0.885519,0.842453,0.62482,0.042092,0.069212,0.33558,4.400666
0.244565,0.457889,0.873208,0.572295,0.025632,0.243183,1.162532
0.942673,0.350935,0.859677,0.369223,0.48744,0.538287,1.079655
0.628081,0.74368,0.712802,0.810462,0.843655,0.050407,4.06501
0.96957,0.247675,0.910324,0.470332,0.108538,0.675517,1.016641
0.802792,0.700004,0.103599,0.950997,0.562977,0.630628,2.369578
0.868097,0.228548,0.385938,0.027952,0.330608,0.609336,0.28733
0.225257,0.562145,0.2592,0.476652,0.786313,0.576871,1.470344
0.027313,0.250798,0.49562,0.058034,0.499753,0.258822,0.465894
0.535365,0.365203,0.483908,0.907614,0.314516,0.422547,2.035389
0.739129,0.373263,0.811344,0.231101,0.366333,0.575283,0.718635
0.066937,0.760517,0.510222,0.291198,0.735239,0.50597,1.95312
0.698143,0.885144,0.00241,0.254681,0.812416,0.273575,1.753791
0.376736,0.896563,0.647122,0.431805,0.820088,0.434776,3.206769
0.235631,0.957057,0.442861,0.704538,0.651802,0.946816,2.139092
0.516599,0.692289,0.785607,0.725737,0.871945,0.76239,4.041121
0.673044,0.760005,0.844304,0.544791,0.320567,0.434946,4.637674
0.805591,0.714657,0.605831,0.239879,0.977629,0.403742,4.134386
0.759439,0.303592,0.661285,0.523304,0.136447,0.154495,1.142122
0.235117,0.849687,0.471768,0.041422,0.278305,0.326201,2.238978
0.580172,0.144209,0.954865,0.668738,0.509491,0.527605,1.694119
0.359599,0.027593,0.48467,0.747708,0.871,0.154256,2.105116
0.590726,0.607067,0.682268,0.249469,0.034219,0.672731,3.864752
0.588842,0.42764,0.995732,0.820951,0.799329,0.522745,2.201432
0.539938,0.252891,0.006423,0.782124,0.78519,0.137645,2.113882
0.205403,0.847151,0.55117,0.281992,0.780011,0.303488,2.442603
0.00098,0.000752,0.18899,0.998745,0.373176,0.667263,2.258713
0.181298,0.271593,0.759578,0.260426,0.843978,0.21395,1.111637
0.026295,0.592899,0.943901,0.09665,0.398268,0.804479,3.36939
0.96306,0.129022,0.931726,0.135329,0.946846,0.794118,0.933451
0.084292,0.955659,0.78569,0.103859,0.859099,0.521608,2.960646
0.832679,0.252146,0.547114,0.951506,0.823265,0.309051,2.479297
0.920967,0.472344,0.907863,0.79546,0.843946,0.073204,2.181682
0.234157,0.205089,0.649405,0.320567,0.923123,0.799612,1.287319
0.318697,0.239816,0.471279,0.292618,0.439844,0.847939,0.893128
0.58139,0.359478,0.164493,0.134323,0.174822,0.262666,0.391021
0.897327,0.029722,0.870996,0.265934,0.24994,0.177871,0.706827
0.532827,0.925735,0.870304,0.129902,0.571794,0.794593,4.37813
0.119264,0.918622,0.582254,0.548669,0.207165,0.837876,2.336047
0.53183,0.060531,0.326504,0.651634,0.173189,0.478211,1.4245
0.520634,0.388114,0.562255,0.942893,0.513906,0.336153,2.245521
0.568863,0.180135,0.495197,0.854199,0.048112,0.833293,1.742077
0.894675,0.126747,0.904123,0.072887,0.522714,0.058644,0.511675
0.622658,0.711908,0.050238,0.08467,0.97502,0.784617,1.732475
0.701378,0.789907,0.502884,0.305181,0.202177,0.885869,3.513538
0.082178,0.712521,0.483165,0.267995,0.333886,0.329032,1.896524
0.368998,0.592044,0.900578,0.013398,0.504947,0.05008,4.074517
0.639739,0.07148,0.067871,0.801163,0.598432,0.404325,2.021228
0.388411,0.817512,0.228533,0.818603,0.471513,0.743833,1.770892
0.677803,0.402359,0.543944,0.735655,0.149232,0.877706,1.575771
0.180372,0.141947,0.259614,0.882169,0.263645,0.327941,1.94889
0.048005,0.201645,0.020258,0.896003,0.785715,0.080509,2.342005
0.638621,0.055557,0.021691,0.868174,0.525576,0.917497,2.104251
0.360655,0.426435,0.085703,0.044152,0.316046,0.918257,0.309537
0.018336,0.672816,0.205828,0.826168,0.518776,0.649003,0.766238
0.46644,0.307219,0.443075,0.255008,0.948629,0.281525,1.174057
0.449839,0.800009,0.728653,0.972667,0.367856,0.049866,3.674882
0.719301,0.970801,0.55498,0.31795,0.897423,0.273074,3.740683
0.811503,0.312708,0.278107,0.171031,0.490411,0.643399,0.685349
0.860411,0.300936,0.80722,0.222274,0.645494,0.650519,0.896393
0.993716,0.669703,0.485236,0.824406,0.862765,0.228135,4.182615
0.957914,0.410557,0.555476,0.621427,0.687227,0.861319,1.723912
0.727314,0.758036,0.521929,0.905228,0.196422,0.169684,3.645038
0.775568,0.139504,0.125191,0.60156,0.289298,0.118202,1.405628
0.13528,0.225748,0.42547,0.94729,0.366609,0.536534,2.151206
0.22566,0.125438,0.382445,0.10435,0.874044,0.128127,0.820531
0.995582,0.014578,0.2955,0.02269,0.54467,0.998076,0.426648
0.187522,0.223208,0.885163,0.972199,0.036045,0.346725,1.969629
0.375894,0.954269,0.697479,0.01601,0.44017,0.083847,3.380911
0.942731,0.369167,0.859395,0.795833,0.953729,0.982658,2.259276
0.817538,0.023327,0.13893,0.891855,0.856402,0.677358,2.383191
0.79153,0.402019,0.324485,0.549984,0.052557,0.422648,1.136759
0.606331,0.217963,0.360767,0.12943,0.404612,0.486059,0.542088
0.072237,0.860556,0.613801,0.402269,0.214767,0.287968,2.328898
0.872123,0.901624,0.405687,0.069122,0.707594,0.690902,3.600212
0.806402,0.381168,0.304305,0.073509,0.612952,0.966954,0.576085
0.306693,0.031938,0.989135,0.581093,0.752424,0.034622,1.688883
0.537173,0.014313,0.178578,0.714697,0.370667,0.195669,1.688862
0.181209,0.780058,0.605529,0.224664,0.22493,0.257285,2.572373
0.616838,0.569179,0.297054,0.446429,0.723012,0.080097,2.581784
0.079883,0.769294,0.053443,0.919838,0.675125,0.030792,0.386757
0.231696,0.979528,0.556007,0.481075,0.163616,0.868342,2.525265
