@relation 'conditional concept: if(A2 > 0.5) then R = all-of-N(A1 > 0.1, 0.3 < A3 <0.6, A4 < 0.4)*2.5 else num-of-N(A1 > 0.1, 0.3 < A3 <0.6, A4 < 0.4)*3.4; A6 = all-of-N(A1 > 0.1, 0.3 < A3 <0.6, A4 < 0.4)' 

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 {0,1}
@attribute class numeric

@data
0.529485,0.991337,0.895582,0.242456,0.364777,0,0
0.957093,0.763642,0.104339,0.701229,0.796326,0,0
0.788196,0.89265,0.136042,0.126134,0.590713,0,0
0.173814,0.083368,0.570616,0.370603,0.302971,1,10.2
0.257953,0.171094,0.327001,0.625292,0.203771,0,6.8
0.860068,0.775573,0.697356,0.229594,0.701019,0,0
0.216272,0.356968,0.844252,0.730037,0.815998,0,3.4
0.448033,0.381116,0.588848,0.218701,0.51931,1,10.2
0.525934,0.656059,0.293835,0.582133,0.601297,0,0
0.291344,0.354828,0.663934,0.88821,0.807804,0,3.4
0.77129,0.260371,0.170176,0.470523,0.926898,0,3.4
0.423915,0.374168,0.79519,0.36914,0.249363,0,6.8
0.858116,0.03383,0.810437,0.232359,0.651045,0,6.8
0.927494,0.947216,0.169532,0.952114,0.435976,0,0
0.273901,0.228559,0.843405,0.618943,0.935152,0,3.4
0.429541,0.319846,0.463606,0.560657,0.747987,0,6.8
0.440769,0.099265,0.08225,0.538557,0.935245,0,3.4
0.78523,0.065713,0.725161,0.679773,0.588374,0,3.4
0.672377,0.088911,0.905161,0.534412,0.097899,0,3.4
0.873345,0.220232,0.993218,0.168866,0.381346,0,6.8
0.168948,0.658275,0.606402,0.396001,0.98994,0,0
0.655589,0.39102,0.175196,0.849967,0.745516,0,3.4
0.251222,0.82518,0.982505,0.435943,0.639078,0,0
0.212271,0.942286,0.028235,0.817873,0.596613,0,0
0.644447,0.066043,0.544334,0.691917,0.254193,0,6.8
0.374603,0.109489,0.264855,0.068264,0.623185,0,6.8
0.077643,0.413117,0.215445,0.134594,0.929385,0,3.4
0.824765,0.753067,0.819641,0.282975,0.610983,0,0
0.761213,0.355162,0.190685,0.877512,0.514974,0,3.4
0.129677,0.406381,0.17403,0.448559,0.467661,0,3.4
0.447587,0.517477,0.786149,0.393613,0.261507,0,0
0.112839,0.313021,0.340363,0.414907,0.519192,0,6.8
0.764936,0.059133,0.612645,0.845723,0.109419,0,3.4
0.250885,0.282426,0.654218,0.525136,0.712838,0,3.4
