@relation 'if(A1==1 || A2==1 || A3==1) then 1 else 0'

@attribute A1 {0,1}
@attribute A2 {0,1}
@attribute A3 {0,1}
@attribute A4 {0,1}
@attribute A5 numeric
@attribute class numeric

@data
1,1,0,1,0.566884,1
1,1,1,0,0.987003,1
0,1,1,0,0.486238,1
1,1,1,0,0.505175,1
1,1,1,1,0.4849,1
0,1,1,1,0.562081,1
1,1,1,1,0.765006,1
0,1,0,0,0.058994,1
1,1,0,1,0.367471,1
1,0,0,1,0.523589,1
1,0,1,0,0.571406,1
0,1,1,0,0.240874,1
1,0,1,1,0.04181,1
1,0,0,0,0.71164,1
0,1,0,0,0.016405,1
0,0,1,1,0.479336,1
1,1,0,0,0.352266,1
1,1,0,0,0.085997,1
0,1,1,1,0.858174,1
1,0,1,1,0.574965,1
0,0,1,1,0.700104,1
0,0,0,0,0.303497,0
1,0,1,1,0.168639,1
1,0,0,1,0.941116,1
0,1,0,0,0.075393,1
1,1,1,0,0.066966,1
0,0,0,0,0.040697,0
1,0,0,1,0.226777,1
1,0,0,1,0.940065,1
1,0,1,1,0.230866,1
0,0,0,1,0.488573,0
0,0,0,0,0.760459,0
1,1,0,0,0.009639,1
0,0,0,0,0.470253,0
0,0,0,1,0.710445,0
1,0,0,1,0.028416,1
1,0,0,0,0.575868,1
0,0,1,0,0.297103,1
0,0,0,1,0.305258,0
0,1,1,1,0.831118,1
0,1,0,1,0.513521,1
1,0,1,0,0.341909,1
1,0,0,0,0.864796,1
1,1,0,0,0.848868,1
0,1,1,0,0.52175,1
0,1,0,1,0.108446,1
0,0,0,0,0.597411,0
1,0,1,1,0.090586,1
1,0,0,1,0.46395,1
0,0,0,0,0.85592,0
1,1,0,0,0.281405,1
0,1,0,1,0.099195,1
1,1,0,1,0.889788,1
0,1,1,1,0.865245,1
0,0,0,1,0.893937,0
1,1,0,1,0.842724,1
1,0,1,0,0.948999,1
0,0,1,1,0.104977,1
0,0,0,0,0.715391,0
0,1,1,0,0.93215,1
1,0,1,1,0.93881,1
0,1,1,0,0.227478,1
0,0,1,0,0.569534,1
1,1,1,0,0.175164,1
0,0,1,0,0.665336,1
1,0,0,1,0.897178,1
0,0,0,1,0.126366,0
1,1,0,1,0.499455,1
1,1,0,0,0.64397,1
0,1,1,1,0.680326,1
0,1,0,1,0.867414,1
1,0,1,1,0.959789,1
