@relation 'Linear function with noise: A1 + 2*A2 + 3*A3 = R; randomly chosen value from the interval [-0.1,0.1] is added to the attribute value' 

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute class numeric

@data
0.974519,0.843477,0.402573,0.248554,0.604042,3.831293
0.62742,0.504434,0.798109,0.572677,0.824975,3.806534
0.649222,0.201499,0.380611,0.276207,0.913633,2.165848
0.766484,0.077976,0.608859,0.906162,0.269986,2.907644
0.796572,0.528495,0.966464,0.0405,0.067238,4.989747
0.719131,0.460989,0.424875,0.868577,0.711051,2.561021
0.444559,1.014271,0.169597,1.048246,0.391559,3.024921
0.697209,0.610768,0.775362,0.535518,0.583684,4.052616
0.138413,0.471463,0.825383,0.890753,0.553046,3.355667
0.912182,0.553811,0.618466,0.270118,0.573172,3.767464
0.235602,0.933548,0.120065,0.696587,0.972967,2.552469
0.875951,0.296898,-0.017176,0.473731,0.398748,1.665724
0.625961,0.21842,0.550804,0.279521,0.548355,2.443367
0.84435,0.368107,1.00032,0.69647,0.440512,4.658442
0.676788,0.434628,0.058735,0.957797,0.81422,1.483974
0.787336,0.403721,0.249016,0.194474,0.272435,2.344859
0.455483,0.544448,1.069441,0.851674,0.722648,4.308127
0.841387,0.202852,0.940502,0.020354,0.72375,4.172761
0.272544,0.472635,0.909252,0.734579,0.392144,4.109474
0.308581,0.114942,0.438586,0.770389,-0.012501,2.120416
0.315465,0.661725,0.737236,0.419058,0.095816,4.010228
0.313354,0.106181,0.886529,0.986662,0.329027,3.473291
0.609306,0.22445,0.141756,0.40208,0.009715,1.516585
1.011871,0.56923,0.747738,0.124413,0.118669,4.180837
0.342458,0.53088,0.496934,0.475086,0.632901,2.541264
0.370468,0.496505,0.830064,0.544526,0.221866,3.628248
0.736348,0.592535,0.458367,0.222572,0.318525,3.291898
0.58859,0.03063,0.666609,0.37814,0.426446,2.445189
0.51556,0.967834,-0.001101,0.388806,0.820454,2.579923
0.238132,0.436527,0.966153,0.935023,0.570764,4.198128
0.850101,0.712829,0.544267,0.185693,0.762708,3.797944
0.325086,0.007981,0.024052,0.98942,0.757908,0.474987
