@relation 'Linear function: A1 + 2*A2 + 3*A3 = R' 

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute class numeric

@data
0.084896,0.122137,0.862069,0.164738,0.291305,2.915377
0.470916,0.662639,0.057505,0.825576,0.948047,1.968707
0.713038,0.580479,0.282951,0.332471,0.853984,2.722851
0.051628,0.737723,0.694957,0.900713,0.115559,3.611945
0.34592,0.25576,0.469835,0.976654,0.829363,2.266946
0.07698,0.308644,0.722415,0.392138,0.153626,2.861514
0.174553,0.692149,0.434025,0.382426,0.891374,2.860925
0.151738,0.020134,0.833693,0.06954,0.372208,2.693086
0.441989,0.729125,0.118959,0.577928,0.362525,2.257115
0.537172,0.606048,0.129718,0.975923,0.637684,2.138422
0.710594,0.738779,0.332972,0.078797,0.523431,3.187067
0.469306,0.48357,0.051588,0.192539,0.78078,1.591209
0.370264,0.841809,0.473015,0.88536,0.470148,3.472925
0.183036,0.065463,0.251463,0.027201,0.131883,1.068352
0.237718,0.171538,0.34312,0.81344,0.616391,1.610153
0.930179,0.001906,0.643914,0.707608,0.258174,2.865733
0.091976,0.927467,0.660396,0.438725,0.459251,3.928099
0.045552,0.021522,0.64398,0.775705,0.809558,2.020536
0.747198,0.823228,0.740029,0.931419,0.534926,4.613742
0.738453,0.040589,0.981807,0.617821,0.548679,3.765051
0.805544,0.651888,0.524163,0.681393,0.140999,3.68181
0.612118,0.946466,0.597538,0.01527,0.770345,4.297664
0.787247,0.455949,0.18583,0.271552,0.652766,2.256636
0.613809,0.08523,0.152833,0.551354,0.361571,1.242768
0.583245,0.169748,0.319559,0.28399,0.324764,1.88142
0.943993,0.347179,0.16331,0.906371,0.247351,2.12828
0.501359,0.396311,0.499327,0.933197,0.760297,2.791962
0.483847,0.652621,0.754336,0.958658,0.269657,4.052096
0.916988,0.064789,0.219707,0.254661,0.61928,1.705688
0.193136,0.103233,0.493592,0.586273,0.096336,1.880378
0.23369,0.292759,0.86802,0.755492,0.189609,3.423268
0.170881,0.543017,0.658791,0.733157,0.319347,3.233289
0.501004,0.631914,0.03783,0.103926,0.693878,1.878321
0.222485,0.432636,0.986871,0.721226,0.822673,4.04837
0.322694,0.616508,0.774174,0.722845,0.369053,3.878231
0.730828,0.899751,0.32922,0.714623,0.952263,3.51799
0.267684,0.849744,0.028465,0.512743,0.622505,2.052566
0.854953,0.407296,0.441274,0.386097,0.254401,2.993369
0.720897,0.770736,0.939279,0.394218,0.817236,5.080205
0.876203,0.455733,0.17772,0.113453,0.144068,2.320827
0.287595,0.338464,0.490474,0.789358,0.309214,2.435943
0.253987,0.081837,0.788085,0.814094,0.978462,2.781916
0.501472,0.572113,0.529739,0.49383,0.290457,3.234915
0.345959,0.066107,0.531477,0.879445,0.628076,2.072603
0.645609,0.700336,0.161257,0.893635,0.276053,2.530052
0.072316,0.847249,0.001414,0.622669,0.822256,1.771057
0.141445,0.424392,0.711333,0.997152,0.907977,3.124228
0.171748,0.252314,0.998171,0.430261,0.689418,3.670889
0.812371,0.899025,0.06444,0.957014,0.282727,2.803742
0.295558,0.574946,0.460811,0.091454,0.983939,2.827885
0.706673,0.715706,0.390992,0.398643,0.596074,3.311061
0.533414,0.015039,0.406446,0.952622,0.2899,1.78283
0.343748,0.748943,0.552394,0.031881,0.342164,3.498817
0.153636,0.477182,0.380469,0.944035,0.892431,2.249405
0.705342,0.839388,0.641644,0.356432,0.114727,4.309049
0.295892,0.611993,0.037189,0.693384,0.2144,1.631442
0.960687,0.157101,0.770299,0.266069,0.697062,3.585785
0.075495,0.376337,0.911881,0.867596,0.511878,3.563811
0.424604,0.762543,0.869354,0.574225,0.259833,4.557754
0.375376,0.341215,0.557626,0.26798,0.516537,2.730683
0.187831,0.487483,0.660076,0.816357,0.229765,3.143025
0.421416,0.248484,0.176207,0.692969,0.595372,1.447006
0.019051,0.247244,0.251743,0.601959,0.569262,1.268767
0.794538,0.621548,0.9228,0.030341,0.784508,4.806035
0.761518,0.301771,0.920352,0.589251,0.591232,4.126117
0.642238,0.485709,0.788255,0.752309,0.338992,3.978422
0.480086,0.666172,0.352591,0.214328,0.002602,2.870201
0.654714,0.819167,0.517771,0.971229,0.647431,3.84636
0.956222,0.770259,0.042726,0.32801,0.05465,2.624918
0.586097,0.307033,0.395924,0.432632,0.989802,2.387933
0.881858,0.847658,0.099822,0.160017,0.612349,2.87664
