@relation 'if(A1 == 0 ||  A2 == 0) then R=5*A1 + A2 else if(A1 == 0 ||  A2 == 1) then //R=A1 - 4*A2 else if(A1 == 1 ||  A2 == 0) then //R=2*A1 + 8*A2 else if(A1 == 1 ||  A2 == 1) then R=-2*A1 - 3*A2 '

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 {0,1}
@attribute A4 {0,1}
@attribute A5 numeric
@attribute class numeric

@data
0.306388,0.13942,1,1,0.112469,-1.031035
0.019651,0.972754,0,0,0.149183,1.07101
0.311528,0.561597,1,0,0.17842,5.115832
0.605777,0.658821,0,0,0.630065,3.687708
0.392154,0.535459,1,0,0.360574,5.06798
0.004242,0.651339,0,1,0.128598,-2.601114
0.551267,0.010869,1,0,0.216077,1.189489
0.794176,0.651623,1,1,0.031226,-3.543223
0.6711,0.151093,0,0,0.134921,3.506591
0.336885,0.852398,1,1,0.045924,-3.230965
0.513909,0.581022,0,0,0.155904,3.150566
0.850758,0.432627,1,0,0.110058,5.162529
0.976925,0.290935,1,1,0.775534,-2.826656
0.06545,0.892748,0,0,0.904542,1.219998
0.195953,0.04037,1,1,0.443811,-0.513015
0.209915,0.713407,1,0,0.358843,6.127086
0.882713,0.03488,0,0,0.044956,4.448448
0.257439,0.01289,1,0,0.100495,0.618001
0.839504,0.985654,1,1,0.527411,-4.635971
0.813136,0.946914,1,1,0.36283,-4.467013
0.242382,0.64349,1,1,0.328198,-2.415234
0.302031,0.282278,1,0,0.213642,2.862286
0.295334,0.838012,0,1,0.13772,-3.056713
0.293643,0.329509,0,0,0.981315,1.797724
0.710231,0.591785,1,0,0.381129,6.154741
0.804682,0.638357,1,0,0.637723,6.716221
0.091535,0.236949,0,0,0.013309,0.694623
0.256096,0.146466,0,1,0.431195,-0.329766
0.334445,0.686912,0,0,0.501481,2.359137
0.753376,0.881325,0,1,0.858337,-2.771923
0.167386,0.233612,0,0,0.320446,1.07054
0.416891,0.607548,1,0,0.809019,5.694167
0.774505,0.905832,0,1,0.731996,-2.848825
0.34755,0.697505,1,0,0.430968,6.275139
0.264286,0.568402,1,1,0.83631,-2.233777
0.285629,0.898432,0,0,0.533884,2.326579
0.552815,0.426079,1,0,0.846852,4.514265
0.248877,0.941476,0,0,0.610648,2.185861
0.904085,0.358048,1,1,0.68202,-2.882313
0.139617,0.159033,1,0,0.296039,1.551499
0.017465,0.815801,1,0,0.420332,6.561337
0.037518,0.470562,1,1,0.140471,-1.486722
0.729866,0.713526,0,0,0.018252,4.362854
0.270795,0.491455,0,1,0.354851,-1.695026
0.365875,0.498725,1,0,0.230838,4.721549
0.338088,0.795015,0,0,0.918126,2.485456
0.735204,0.162762,0,0,0.648405,3.838781
0.868292,0.898085,0,1,0.444839,-2.724049
0.158209,0.415334,0,0,0.613673,1.206376
0.416533,0.683217,0,1,0.127733,-2.316337
0.565173,0.260831,0,1,0.91278,-0.478151
0.439825,0.25449,0,1,0.119757,-0.578136
0.234738,0.263466,0,1,0.142622,-0.819125
0.042244,0.643426,1,1,0.948736,-2.014766
0.635821,0.435422,1,0,0.601948,4.755019
0.37147,0.03211,1,0,0.092249,0.999824
0.843013,0.819711,1,0,0.193231,8.243716
0.05918,0.892086,1,1,0.134217,-2.794618
0.288584,0.936609,0,1,0.868459,-3.45785
0.077855,0.502341,0,1,0.010404,-1.931508
0.078471,0.617391,0,1,0.519766,-2.391094
0.415404,0.013451,0,0,0.587948,2.090471
0.572077,0.73752,1,1,0.273286,-3.356713
0.203621,0.57646,1,1,0.152541,-2.136623
0.446279,0.687572,0,0,0.96319,2.918964
0.362379,0.016231,0,0,0.562648,1.828126
0.52591,0.366287,1,1,0.166851,-2.150683
0.50205,0.26495,1,0,0.7179,3.1237
0.462519,0.156481,0,1,0.799104,-0.163406
0.153514,0.900212,1,0,0.251316,7.508725
0.029705,0.939682,1,1,0.57423,-2.878455
0.338007,0.97511,0,1,0.743381,-3.562435
0.729446,0.235853,0,0,0.032439,3.883083
0.845879,0.159272,1,0,0.349197,2.965936
0.375135,0.115148,1,1,0.630089,-1.095714
0.239934,0.507477,0,1,0.185341,-1.789973
0.842378,0.542145,1,0,0.149809,6.021917
0.739658,0.866939,1,1,0.625831,-4.080134
0.719871,0.280482,0,0,0.391155,3.879838
0.55939,0.65939,0,0,0.370431,3.456338
0.814918,0.736241,1,0,0.450748,7.519765
0.576839,0.116617,1,0,0.66482,2.086617
0.489483,0.059178,1,0,0.54247,1.452394
0.086668,0.798185,0,0,0.840786,1.231523
0.444516,0.187152,0,0,0.095697,2.409733
0.863787,0.620835,1,0,0.70333,6.694257
0.606848,0.124534,1,0,0.108437,2.209967
0.417341,0.626791,1,0,0.596399,5.84901
0.18201,0.731409,0,0,0.431438,1.64146
0.581776,0.212342,1,1,0.934053,-1.800578
0.148341,0.386849,0,1,0.780615,-1.399054
0.967085,0.631178,0,0,0.871311,5.466604
0.616618,0.624244,1,1,0.983768,-3.105968
0.105204,0.834607,1,0,0.719231,6.887263
0.652062,0.845646,0,1,0.881461,-2.730523
0.790948,0.371885,1,1,0.870287,-2.697551
0.641973,0.459322,0,0,0.742571,3.669189
0.359154,0.360254,1,0,0.909521,3.600337
0.835561,0.782587,0,0,0.296706,4.960394
0.778261,0.861013,1,0,0.338918,8.444631
0.729137,0.170706,0,0,0.006044,3.816389
0.116085,0.233191,1,1,0.859898,-0.931742
0.919041,0.510813,0,1,0.92873,-1.124213
0.365682,0.751391,0,0,0.442658,2.579802
0.499105,0.223893,1,0,0.098681,2.789355
0.85591,0.493666,1,1,0.790459,-3.192818
