@relation 'Non Linear function: 2*A1^2 - 3*A2^2 - A3 = R' 

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute class numeric

@data
0.664263,0.56099,0.176547,0.572305,0.851698,-0.238184
0.502664,0.272293,0.545282,0.909008,0.545041,-0.26237
0.931427,0.922274,0.836041,0.015491,0.884101,-1.652698
0.783962,0.421769,0.416172,0.682101,0.120772,0.279354
0.784435,0.600993,0.508949,0.440336,0.455335,-0.361853
0.756093,0.333218,0.047991,0.08221,0.61256,0.762259
0.001051,0.281087,0.06354,0.532059,0.614814,-0.300567
0.330458,0.941658,0.849179,0.077097,0.666156,-3.290931
0.180452,0.128734,0.992687,0.499621,0.032515,-0.977279
0.801926,0.215922,0.16073,0.560952,0.982162,0.985574
0.20677,0.74571,0.522674,0.129524,0.016236,-2.105418
0.900704,0.742846,0.632261,0.160143,0.145782,-0.665188
0.814251,0.30437,0.860092,0.715532,0.440699,0.187995
0.260233,0.131358,0.494849,0.510203,0.620437,-0.411171
0.979724,0.262368,0.031505,0.027319,0.532712,1.681701
0.119009,0.396612,0.004467,0.275424,0.675402,-0.448045
0.04239,0.781272,0.687145,0.299472,0.475828,-2.514711
0.321847,0.482124,0.484306,0.800473,0.946991,-0.974467
0.346406,0.186393,0.335597,0.118585,0.532311,-0.19983
0.805686,0.655057,0.66769,0.923148,0.331422,-0.656727
0.389353,0.990787,0.212961,0.061452,0.432307,-2.854747
0.513034,0.659604,0.21787,0.772818,0.023042,-0.996694
0.464131,0.728006,0.032562,0.320628,0.205513,-1.191705
0.417403,0.932065,0.987124,0.916871,0.870171,-3.24491
0.330444,0.987279,0.327932,0.252169,0.188215,-3.033707
0.242414,0.518109,0.46374,0.787919,0.276433,-1.151522
0.725608,0.091261,0.813903,0.529449,0.34017,0.214124
0.76058,0.440468,0.958187,0.170556,0.660423,-0.383261
0.406684,0.098007,0.922582,0.200172,0.166516,-0.620615
0.848294,0.449509,0.993915,0.594534,0.861126,-0.160887
0.743823,0.621515,0.40029,0.562555,0.827879,-0.452589
0.907423,0.358596,0.516479,0.670673,0.779287,0.74458
0.698244,0.053021,0.008908,0.120945,0.508334,0.957748
0.82649,0.482819,0.418164,0.819228,0.242386,0.248666
0.810642,0.410537,0.094242,0.498621,0.820372,0.714418
0.409231,0.228536,0.323002,0.03341,0.41784,-0.144748
