@relation 'Non Linear trigonometric function: sin(2*PI*A1) + A2 - A3 = R' 

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute class numeric

@data
0.212382,0.446148,0.159866,0.298395,0.364708,1.258478
0.742634,0.019853,0.040827,0.122185,0.970405,-1.019904
0.77446,0.421505,0.165931,0.856464,0.29422,-0.73264
0.745528,0.648408,0.762326,0.530685,0.334431,-1.113524
0.98333,0.48195,0.207157,0.015188,0.22037,0.170244
0.515807,0.392086,0.900415,0.487352,0.207336,-0.60748
0.340647,0.893414,0.10861,0.85559,0.881646,1.626946
0.469834,0.915409,0.676657,0.799719,0.937146,0.427157
0.952808,0.276495,0.116927,0.553822,0.257065,-0.13262
0.119083,0.913156,0.601968,0.628656,0.326357,0.991523
0.341384,0.750382,0.358237,0.030174,0.791686,1.231782
0.81938,0.676296,0.41158,0.736975,0.364417,-0.641762
0.292048,0.508968,0.653812,0.332437,0.763008,0.82046
0.854227,0.553243,0.413067,0.594007,0.004792,-0.652946
0.079434,0.606143,0.902792,0.079532,0.838025,0.181987
0.957777,0.209161,0.477706,0.601429,0.379033,-0.530737
0.405504,0.062756,0.304938,0.954484,0.248877,0.317279
0.226495,0.295334,0.172322,0.778202,0.414287,1.112126
0.122799,0.06334,0.904913,0.888104,0.277293,-0.144313
0.323057,0.051354,0.731889,0.662139,0.109379,0.215949
0.118437,0.362429,0.27043,0.357645,0.252578,0.769354
0.099009,0.483968,0.135523,0.851634,0.666367,0.931182
0.649791,0.772193,0.000542,0.858049,0.105944,-0.036593
0.239349,0.059587,0.971032,0.626024,0.536047,0.086317
0.441722,0.037506,0.331095,0.635006,0.710054,0.064456
0.326047,0.477948,0.884949,0.002628,0.061886,0.480999
0.174273,0.631703,0.448822,0.824814,0.994164,1.071805
0.220199,0.680193,0.623303,0.671469,0.470167,1.039411
0.758288,0.214664,0.533871,0.18026,0.84296,-1.317851
0.84367,0.107162,0.208475,0.706916,0.205806,-0.933062
0.367039,0.201177,0.765724,0.106374,0.444856,0.17703
0.098677,0.637231,0.982968,0.204096,0.132244,0.235301
0.370298,0.18636,0.995958,0.145597,0.390018,-0.081911
