@relation 'All attributes and class are random' 

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute class numeric

@data
0.885925,0.034529,0.788086,0.529997,0.764716,0.135482
0.780514,0.756019,0.048085,0.00548,0.897332,0.669211
0.11384,0.137474,0.300626,0.688388,0.494984,0.695385
0.474004,0.756674,0.534659,0.620309,0.428677,0.226461
0.976074,0.467078,0.346976,0.52174,0.277721,0.157274
0.528329,0.858129,0.663936,0.406018,0.988077,0.762798
0.921814,0.182455,0.826085,0.12969,0.737717,0.197598
0.529999,0.069812,0.930102,0.078271,0.707053,0.872083
0.280115,0.582143,0.348717,0.977088,0.787368,0.936419
0.624064,0.9843,0.085556,0.141519,0.370582,0.362694
0.441033,0.871123,0.905278,0.715403,0.227211,0.421252
0.514239,0.160919,0.018599,0.013594,0.995453,0.636542
0.480539,0.642059,0.927526,0.704198,0.044185,0.566612
0.916018,0.744375,0.95097,0.504702,0.929517,0.26089
0.626796,0.548136,0.979117,0.387312,0.503426,0.842079
0.817859,0.585329,0.342991,0.102839,0.040779,0.955973
0.841305,0.122442,0.951555,0.54655,0.786605,0.510492
0.828361,0.529283,0.332602,0.057656,0.769364,0.15209
0.008181,0.270081,0.127435,0.917584,0.930817,0.820415
0.653959,0.533283,0.316766,0.888583,0.863261,0.794208
0.788301,0.624299,0.802004,0.708441,0.166731,0.253299
0.36201,0.856878,0.409713,0.670605,0.510317,0.190341
0.102267,0.716642,0.326893,0.210371,0.443224,0.715831
0.538253,0.754415,0.982217,0.272309,0.314354,0.411839
0.457138,0.763744,0.456487,0.934045,0.957898,0.451711
0.745472,0.870192,0.299581,0.635919,0.142337,0.059391
0.92657,0.819603,0.737744,0.540954,0.888913,0.424672
0.831789,0.90613,0.433211,0.197789,0.292395,0.107996
0.532524,0.082272,0.388381,0.270527,0.243246,0.995829
0.622374,0.093554,0.12167,0.650361,0.699102,0.037254
0.058895,0.277644,0.656193,0.587934,0.799993,0.883478
0.357459,0.556337,0.101794,0.442929,0.002762,0.540315
0.953406,0.270585,0.043873,0.395664,0.534542,0.652277
0.912385,0.802056,0.618968,0.708517,0.263554,0.78544
0.943835,0.374928,0.019059,0.36391,0.660435,0.331253
0.352023,0.321011,0.357836,0.688039,0.899245,0.478551
0.308124,0.248914,0.90842,0.740453,0.520447,0.206386
0.732264,0.609825,0.910751,0.200398,0.066771,0.843332
0.395133,0.771409,0.597468,0.400131,0.996901,0.373557
0.265357,0.867049,0.120953,0.278498,0.19335,0.097325
0.99379,0.896819,0.424352,0.887174,0.893461,0.27143
0.013746,0.132581,0.200966,0.756168,0.691882,0.058163
0.493122,0.182861,0.266287,0.790578,0.866609,0.141382
0.168652,0.760889,0.433915,0.349792,0.068251,0.16346
0.464094,0.475434,0.271318,0.973362,0.954764,0.182886
0.704982,0.829935,0.51646,0.630975,0.64474,0.431075
0.326464,0.118583,0.986022,0.950959,0.56645,0.087786
