@relation 'Linear function with redundant attributes: 2*A1 - 2*A2 = R; A2 == A3, A4 == A5' 

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute class numeric

@data
0.969692,0.72576,0.72576,0.387818,0.387818,0.487865
0.528343,0.438174,0.438174,0.240474,0.240474,0.180338
0.528343,0.438174,0.438174,0.240474,0.240474,0.180338
0.599038,0.370775,0.370775,0.879251,0.879251,0.456525
0.599038,0.370775,0.370775,0.879251,0.879251,0.456525
0.744804,0.473045,0.473045,0.436021,0.436021,0.543517
0.85121,0.595169,0.595169,0.626269,0.626269,0.512082
0.565005,0.05544,0.05544,0.637076,0.637076,1.019129
0.805837,0.11491,0.11491,0.601233,0.601233,1.381854
0.330857,0.939184,0.939184,0.067451,0.067451,-1.216654
0.642822,0.118878,0.118878,0.215976,0.215976,1.047888
0.842552,0.400031,0.400031,0.78894,0.78894,0.885042
0.246927,0.057922,0.057922,0.97113,0.97113,0.378009
0.920315,0.384103,0.384103,0.515052,0.515052,1.072424
0.104168,0.996234,0.996234,0.750071,0.750071,-1.784133
0.011615,0.394627,0.394627,0.95337,0.95337,-0.766024
0.202949,0.897005,0.897005,0.142695,0.142695,-1.388112
0.027766,0.792112,0.792112,0.580922,0.580922,-1.528693
0.775497,0.168424,0.168424,0.989494,0.989494,1.214146
0.477787,0.897776,0.897776,0.545884,0.545884,-0.839977
0.251255,0.437558,0.437558,0.372942,0.372942,-0.372606
0.079687,0.510857,0.510857,0.704557,0.704557,-0.86234
0.955287,0.599389,0.599389,0.067605,0.067605,0.711796
0.902156,0.561237,0.561237,0.919262,0.919262,0.681837
0.286446,0.785427,0.785427,0.087364,0.087364,-0.997961
0.083402,0.956432,0.956432,0.138128,0.138128,-1.74606
0.2203,0.668072,0.668072,0.360576,0.360576,-0.895544
0.727018,0.78659,0.78659,0.38236,0.38236,-0.119145
0.571852,0.948655,0.948655,0.722845,0.722845,-0.753606
0.453858,0.915745,0.915745,0.214273,0.214273,-0.923774
0.047318,0.532248,0.532248,0.671439,0.671439,-0.969861
0.638781,0.308573,0.308573,0.137074,0.137074,0.660415
0.440228,0.662595,0.662595,0.582522,0.582522,-0.444733
0.754483,0.868648,0.868648,0.475091,0.475091,-0.228331
0.565517,0.6455,0.6455,0.08754,0.08754,-0.159966
0.732627,0.949285,0.949285,0.844049,0.844049,-0.433316
0.559881,0.026695,0.026695,0.851946,0.851946,1.066372
0.414043,0.347087,0.347087,0.291426,0.291426,0.133912
0.844423,0.586415,0.586415,0.239354,0.239354,0.516016
0.152266,0.510169,0.510169,0.466207,0.466207,-0.715805
0.386457,0.971893,0.971893,0.997129,0.997129,-1.170872
0.443332,0.849471,0.849471,0.868069,0.868069,-0.812278
0.404599,0.492885,0.492885,0.712998,0.712998,-0.176573
0.143183,0.597854,0.597854,0.883921,0.883921,-0.909344
0.531033,0.664483,0.664483,0.99265,0.99265,-0.266899
0.793689,0.235726,0.235726,0.203413,0.203413,1.115925
0.826726,0.684435,0.684435,0.049464,0.049464,0.284583
0.779029,0.415237,0.415237,0.526581,0.526581,0.727584
0.291738,0.695504,0.695504,0.211743,0.211743,-0.807532
0.273766,0.841943,0.841943,0.651174,0.651174,-1.136355
0.429424,0.501761,0.501761,0.100496,0.100496,-0.144674
0.0984,0.19082,0.19082,0.922599,0.922599,-0.18484
0.518955,0.304068,0.304068,0.350352,0.350352,0.429774
0.871611,0.773271,0.773271,0.217119,0.217119,0.196679
0.987169,0.995253,0.995253,0.5042,0.5042,-0.016168
0.022972,0.967159,0.967159,0.633301,0.633301,-1.888374
0.313309,0.938751,0.938751,0.453425,0.453425,-1.250885
0.916065,0.959686,0.959686,0.615406,0.615406,-0.087242
0.366877,0.853011,0.853011,0.6929,0.6929,-0.972266
0.218064,0.92338,0.92338,0.505948,0.505948,-1.410631
0.790948,0.173072,0.173072,0.964247,0.964247,1.235753
0.754618,0.591477,0.591477,0.406916,0.406916,0.326283
0.775198,0.87394,0.87394,0.151409,0.151409,-0.197485
0.002937,0.267062,0.267062,0.557055,0.557055,-0.528249
0.292255,0.359224,0.359224,0.726408,0.726408,-0.133938
0.52431,0.489793,0.489793,0.246123,0.246123,0.069035
0.028288,0.362785,0.362785,0.605793,0.605793,-0.668992
0.520711,0.997416,0.997416,0.079424,0.079424,-0.953411
0.957968,0.42869,0.42869,0.033053,0.033053,1.058557
0.147885,0.812289,0.812289,0.373364,0.373364,-1.328807
0.88183,0.051493,0.051493,0.440883,0.440883,1.660675
0.63655,0.514504,0.514504,0.754796,0.754796,0.244091
0.550796,0.928974,0.928974,0.139313,0.139313,-0.756356
0.899369,0.244913,0.244913,0.005977,0.005977,1.308914
0.99125,0.535116,0.535116,0.919191,0.919191,0.912268
0.447826,0.128371,0.128371,0.648717,0.648717,0.63891
0.760953,0.722651,0.722651,0.131414,0.131414,0.076603
0.751366,0.488089,0.488089,0.204646,0.204646,0.526554
0.510614,0.750463,0.750463,0.704567,0.704567,-0.479698
0.861229,0.007304,0.007304,0.96523,0.96523,1.707851
0.000665,0.768064,0.768064,0.679684,0.679684,-1.534799
0.240805,0.409036,0.409036,0.120361,0.120361,-0.336462
0.683357,0.722022,0.722022,0.780826,0.780826,-0.07733
0.419367,0.996033,0.996033,0.346212,0.346212,-1.153333
0.865511,0.050423,0.050423,0.992772,0.992772,1.630176
0.770526,0.701668,0.701668,0.262781,0.262781,0.137714
0.029025,0.652223,0.652223,0.098752,0.098752,-1.246395
0.443155,0.032543,0.032543,0.313638,0.313638,0.821224
0.019616,0.037744,0.037744,0.236645,0.236645,-0.036256
0.101,0.271536,0.271536,0.572384,0.572384,-0.341072
0.887391,0.441866,0.441866,0.184307,0.184307,0.891049
0.596367,0.596267,0.596267,0.172814,0.172814,0.000199
0.247007,0.997933,0.997933,0.784491,0.784491,-1.501853
0.279671,0.845457,0.845457,0.626622,0.626622,-1.131572
0.144824,0.891625,0.891625,0.496516,0.496516,-1.493601
0.174966,0.730779,0.730779,0.320572,0.320572,-1.111626
0.803093,0.131543,0.131543,0.922433,0.922433,1.343101
0.404767,0.493978,0.493978,0.264418,0.264418,-0.178422
0.937484,0.15677,0.15677,0.535427,0.535427,1.561429
0.776422,0.700713,0.700713,0.434647,0.434647,0.151417
0.998065,0.749096,0.749096,0.051002,0.051002,0.497938
0.426166,0.849551,0.849551,0.273697,0.273697,-0.846771
0.001911,0.504855,0.504855,0.568713,0.568713,-1.005889
0.512969,0.265485,0.265485,0.458952,0.458952,0.494967
0.148083,0.652553,0.652553,0.993606,0.993606,-1.008939
0.647735,0.80424,0.80424,0.553227,0.553227,-0.313011
0.125794,0.059847,0.059847,0.369889,0.369889,0.131895
0.597821,0.881484,0.881484,0.644173,0.644173,-0.567326
0.640538,0.467427,0.467427,0.750768,0.750768,0.346221
0.713805,0.378061,0.378061,0.332906,0.332906,0.671488
0.840199,0.006249,0.006249,0.541771,0.541771,1.667899
0.954647,0.879771,0.879771,0.154091,0.154091,0.149752
0.876195,0.915187,0.915187,0.922704,0.922704,-0.077984
0.636784,0.262471,0.262471,0.615741,0.615741,0.748625
0.08922,0.673049,0.673049,0.835753,0.835753,-1.167658
0.478127,0.807905,0.807905,0.905264,0.905264,-0.659556
0.273952,0.915021,0.915021,0.062837,0.062837,-1.282137
0.853635,0.26331,0.26331,0.990109,0.990109,1.18065
0.114057,0.019857,0.019857,0.370594,0.370594,0.188399
0.707245,0.672389,0.672389,0.371187,0.371187,0.06971
0.35299,0.959698,0.959698,0.421144,0.421144,-1.213417
0.38582,0.493417,0.493417,0.352478,0.352478,-0.215194
0.195689,0.306398,0.306398,0.803866,0.803866,-0.221418
0.962957,0.772308,0.772308,0.051747,0.051747,0.381299
0.142478,0.422172,0.422172,0.888771,0.888771,-0.559387
0.920498,0.697422,0.697422,0.878648,0.878648,0.446151
0.213829,0.141543,0.141543,0.314848,0.314848,0.144572
0.448209,0.175087,0.175087,0.18481,0.18481,0.546243
0.810594,0.31773,0.31773,0.464126,0.464126,0.985727
0.030162,0.529651,0.529651,0.785653,0.785653,-0.998978
0.199553,0.67939,0.67939,0.71957,0.71957,-0.959674
0.410783,0.651933,0.651933,0.058959,0.058959,-0.482301
0.452447,0.570931,0.570931,0.225726,0.225726,-0.236968
0.803583,0.950826,0.950826,0.036809,0.036809,-0.294486
0.184981,0.457388,0.457388,0.156904,0.156904,-0.544814
0.22827,0.063306,0.063306,0.974912,0.974912,0.329928
0.430629,0.017192,0.017192,0.618332,0.618332,0.826874
