FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;71,43;100,00;0,00;0,00;100,00;100,00;71,43
Fold2;85,71;71,43;0,00;0,00;85,71;85,71;85,71
Fold3;85,71;85,71;0,00;0,00;100,00;100,00;85,71
Fold4;85,71;42,86;0,00;0,00;85,71;85,71;85,71
Fold5;100,00;100,00;0,00;0,00;100,00;100,00;100,00
Fold6;83,33;100,00;0,00;0,00;100,00;100,00;100,00
Fold7;83,33;100,00;0,00;0,00;83,33;83,33;83,33
Fold8;83,33;83,33;0,00;0,00;100,00;100,00;100,00
Fold9;83,33;83,33;0,00;0,00;83,33;83,33;83,33
Fold10;66,67;83,33;0,00;0,00;83,33;83,33;83,33
