FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;69,23;73,08;69,23;69,23;73,08;73,08;73,08;73,08
Fold2;84,62;84,62;84,62;84,62;84,62;84,62;84,62;84,62
Fold3;76,92;88,46;76,92;76,92;80,77;88,46;88,46;76,92
Fold4;88,46;88,46;88,46;88,46;88,46;88,46;88,46;88,46
Fold5;92,31;96,15;92,31;92,31;88,46;88,46;96,15;80,77
Fold6;73,08;76,92;73,08;73,08;80,77;76,92;80,77;76,92
Fold7;92,00;92,00;92,00;92,00;92,00;92,00;92,00;92,00
Fold8;80,00;80,00;80,00;80,00;80,00;80,00;80,00;80,00
Fold9;84,00;84,00;84,00;84,00;84,00;84,00;84,00;84,00
Fold10;84,00;88,00;84,00;84,00;84,00;88,00;88,00;84,00
