FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;98,96;87,50;98,96;96,88;93,75;88,54;98,96
Fold2;96,88;83,33;96,88;90,62;85,42;85,42;96,88
Fold3;98,96;84,38;98,96;97,92;81,25;83,33;98,96
Fold4;98,96;85,42;98,96;95,83;87,50;83,33;98,96
Fold5;100,00;87,50;100,00;95,83;85,42;84,38;100,00
Fold6;100,00;77,08;100,00;97,92;77,08;77,08;100,00
Fold7;98,96;92,71;98,96;97,92;91,67;88,54;98,96
Fold8;98,96;83,33;98,96;92,71;81,25;80,21;98,96
Fold9;100,00;81,05;100,00;96,84;84,21;77,89;100,00
Fold10;96,84;87,37;96,84;92,63;83,16;82,11;96,84
