FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;77,14;88,57;68,57;88,57;80,00;85,71;85,71
Fold2;77,14;71,43;77,14;71,43;77,14;71,43;71,43
Fold3;65,71;65,71;77,14;65,71;74,29;77,14;77,14
Fold4;85,71;77,14;85,71;77,14;88,57;77,14;85,71
Fold5;85,71;82,86;88,57;82,86;82,86;80,00;82,86
Fold6;65,71;82,86;68,57;82,86;77,14;77,14;77,14
Fold7;80,00;65,71;80,00;65,71;74,29;65,71;65,71
Fold8;74,29;77,14;80,00;77,14;85,71;77,14;77,14
Fold9;62,86;65,71;74,29;65,71;77,14;80,00;62,86
Fold10;76,47;79,41;76,47;79,41;85,29;88,24;88,24
