FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;59,09;59,09;59,09;59,09;59,09;59,09;59,09;59,09
Fold2;68,18;68,18;68,18;68,18;68,18;68,18;68,18;68,18
Fold3;63,64;63,64;63,64;63,64;63,64;63,64;63,64;63,64
Fold4;68,18;68,18;68,18;68,18;68,18;68,18;68,18;68,18
Fold5;76,19;76,19;76,19;76,19;76,19;76,19;76,19;76,19
Fold6;61,90;61,90;61,90;61,90;61,90;61,90;61,90;61,90
Fold7;52,38;52,38;52,38;52,38;52,38;52,38;52,38;52,38
Fold8;80,95;80,95;80,95;80,95;80,95;80,95;80,95;80,95
Fold9;71,43;71,43;71,43;71,43;71,43;71,43;71,43;71,43
Fold10;61,90;61,90;61,90;61,90;61,90;61,90;61,90;61,90
