FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;65,91;97,73;65,91;65,91;65,91;65,91;97,73;93,18
Fold2;65,91;95,45;65,91;65,91;65,91;65,91;95,45;90,91
Fold3;67,44;100,00;67,44;67,44;67,44;67,44;100,00;74,42
Fold4;67,44;95,35;67,44;67,44;67,44;67,44;95,35;83,72
Fold5;67,44;88,37;67,44;67,44;67,44;67,44;88,37;95,35
Fold6;67,44;79,07;67,44;67,44;67,44;67,44;79,07;93,02
Fold7;67,44;81,40;67,44;67,44;67,44;58,14;81,40;67,44
Fold8;67,44;97,67;67,44;67,44;67,44;67,44;97,67;100,00
Fold9;67,44;97,67;67,44;67,44;67,44;55,81;97,67;86,05
Fold10;67,44;100,00;67,44;67,44;67,44;67,44;100,00;93,02
