FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;91,43;88,57;88,57;94,29;85,71;85,71;94,29
Fold2;82,86;74,29;82,86;80,00;80,00;85,71;85,71
Fold3;82,86;88,57;85,71;88,57;94,29;88,57;88,57
Fold4;82,86;85,71;77,14;85,71;82,86;82,86;82,86
Fold5;85,71;85,71;88,57;88,57;88,57;88,57;91,43
Fold6;85,71;80,00;85,71;91,43;65,71;74,29;71,43
Fold7;82,86;88,57;91,43;85,71;88,57;88,57;88,57
Fold8;88,57;88,57;85,71;94,29;88,57;91,43;88,57
Fold9;85,71;88,57;88,57;88,57;88,57;88,57;85,71
Fold10;85,29;91,18;85,29;88,24;79,41;79,41;79,41
