FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;89,86;89,86;89,86;89,86;89,86;89,86;89,86;89,86
Fold2;92,75;92,75;92,75;92,75;92,75;92,75;92,75;92,75
Fold3;88,41;88,41;88,41;88,41;88,41;88,41;88,41;88,41
Fold4;84,06;84,06;84,06;84,06;84,06;84,06;84,06;84,06
Fold5;81,16;81,16;81,16;81,16;81,16;81,16;81,16;81,16
Fold6;85,51;85,51;85,51;85,51;85,51;85,51;85,51;85,51
Fold7;81,16;81,16;81,16;81,16;81,16;81,16;81,16;81,16
Fold8;85,51;85,51;85,51;85,51;85,51;85,51;85,51;85,51
Fold9;85,51;85,51;85,51;85,51;85,51;85,51;85,51;85,51
Fold10;86,96;86,96;86,96;86,96;86,96;86,96;86,96;86,96
