FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;83,82;83,82;83,82;83,82;83,82;83,82;83,82;83,82
Fold2;85,55;85,55;85,55;85,55;85,55;85,55;85,55;85,55
Fold3;89,60;89,60;89,60;89,60;89,60;89,60;89,60;89,60
Fold4;83,24;83,24;83,24;83,24;83,24;83,24;83,24;83,24
Fold5;82,66;82,66;82,66;82,66;82,66;82,66;82,66;82,66
Fold6;84,97;84,97;84,97;84,97;84,97;84,97;84,97;84,97
Fold7;87,28;87,28;87,28;87,28;87,28;87,28;87,28;87,28
Fold8;84,97;84,97;84,97;84,97;84,97;84,97;84,97;84,97
Fold9;89,53;89,53;89,53;89,53;89,53;89,53;89,53;89,53
Fold10;83,72;83,72;83,72;83,72;83,72;83,72;83,72;83,72
