FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;71,43;80,00;71,43;71,43;71,43;80,00;80,00
Fold2;62,86;71,43;65,71;68,57;68,57;74,29;74,29
Fold3;62,86;68,57;62,86;62,86;68,57;68,57;68,57
Fold4;74,29;74,29;74,29;74,29;74,29;74,29;74,29
Fold5;77,14;82,86;80,00;80,00;77,14;82,86;82,86
Fold6;68,57;74,29;68,57;71,43;71,43;74,29;74,29
Fold7;80,00;74,29;80,00;77,14;77,14;77,14;77,14
Fold8;74,29;74,29;77,14;77,14;77,14;74,29;74,29
Fold9;62,86;71,43;62,86;62,86;68,57;68,57;68,57
Fold10;73,53;79,41;73,53;76,47;76,47;85,29;85,29
