FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;79,37;80,95;93,65;95,24;79,37;85,71;87,30;87,30
Fold2;71,43;77,78;95,24;95,24;77,78;90,48;85,71;85,71
Fold3;77,78;77,78;93,65;93,65;77,78;92,06;85,71;85,71
Fold4;77,78;76,19;96,83;98,41;74,60;73,02;80,95;80,95
Fold5;80,95;80,95;96,83;96,83;80,95;85,71;90,48;90,48
Fold6;85,48;80,65;98,39;98,39;77,42;96,77;91,94;91,94
Fold7;83,87;82,26;98,39;98,39;83,87;88,71;90,32;90,32
Fold8;85,48;85,48;100,00;95,16;85,48;90,32;96,77;96,77
Fold9;83,87;83,87;96,77;96,77;72,58;83,87;88,71;90,32
Fold10;83,87;83,87;98,39;100,00;83,87;83,87;87,10;87,10
