FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;89,86;89,86;89,86;89,86;89,86;91,30;92,75;89,86
Fold2;88,41;89,86;89,86;88,41;89,86;95,65;88,41;88,41
Fold3;92,75;86,96;94,20;91,30;91,30;94,20;85,51;91,30
Fold4;79,71;82,61;81,16;79,71;79,71;85,51;81,16;81,16
Fold5;82,61;78,26;82,61;82,61;82,61;82,61;78,26;82,61
Fold6;85,51;86,96;86,96;85,51;88,41;91,30;85,51;85,51
Fold7;81,16;82,61;81,16;81,16;81,16;81,16;84,06;81,16
Fold8;86,96;82,61;86,96;86,96;85,51;85,51;82,61;85,51
Fold9;84,06;84,06;84,06;84,06;85,51;85,51;84,06;86,96
Fold10;84,06;88,41;84,06;84,06;84,06;85,51;88,41;88,41
