FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;65,91;65,91;65,91;65,91;65,91;65,91;65,91
Fold2;65,91;65,91;65,91;65,91;65,91;65,91;65,91
Fold3;67,44;67,44;67,44;67,44;67,44;67,44;69,77
Fold4;67,44;67,44;67,44;67,44;67,44;67,44;67,44
Fold5;67,44;67,44;67,44;67,44;67,44;67,44;67,44
Fold6;67,44;67,44;67,44;67,44;67,44;67,44;67,44
Fold7;67,44;67,44;67,44;67,44;67,44;67,44;67,44
Fold8;67,44;67,44;67,44;67,44;67,44;67,44;67,44
Fold9;67,44;65,12;67,44;67,44;67,44;65,12;67,44
Fold10;67,44;67,44;67,44;67,44;67,44;67,44;67,44
