dataset: Autos.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.330053     566 normalized-losses_x_num-of-doors
 0.323954     582 num-of-doors_x_width
 0.315459     604 num-of-N((normalized-losses <= 95) and (width >= 66.5) and (num-of-doors = four))
 0.31069      176 normalized-losses==B3of4 equ num-of-doors==two
 0.31069      265 normalized-losses==B3of4 xor num-of-doors==two
 0.303513     606 num-of-N((num-of-doors = four) and (peak-rpm <= 4350) and (peak-rpm >= 4200))
 0.302975      87 normalized-losses==B3of4 or num-of-doors==two
 0.291011     577 height_x_horsepower
 0.289314     567 num-of-doors_x_peak-rpm
 0.289314     585 num-of-doors_x_compression-ratio
 0.289314     178 num-of-doors==two equ peak-rpm
 0.289314     344 num-of-doors==two xor compression-ratio
 0.289314      89 num-of-doors==two or peak-rpm
 0.289314     472 num-of-doors==two or compression-ratio or peak-rpm
 0.289314     166 num-of-doors==two or compression-ratio
 0.289314     356 num-of-doors==two impl peak-rpm
 0.289314     421 num-of-doors==two impl compression-ratio
 0.289314       5 num-of-doors
 0.289314     255 num-of-doors==two equ compression-ratio
 0.289314     267 num-of-doors==two xor peak-rpm
 0.267755     571 length_x_stroke
 0.266252     568 length_x_engine-size
 0.261687     586 normalized-losses_x_bore
 0.261016     174 normalized-losses==B1of4 equ num-of-doors==two
 0.261016     263 normalized-losses==B1of4 xor num-of-doors==two
 0.261016      85 normalized-losses==B1of4 or num-of-doors==two
 0.260573     578 height_x_highway-mpg
 0.251499      29 normalized-losses==B4of4 and num-of-doors==two
 0.242778     584 normalized-losses_x_width
 0.236293     570 normalized-losses_x_horsepower
 0.23219      572 body-style_x_engine-size
 0.224429     259 normalized-losses==B4of4 equ bore==B2of2
 0.224429     348 normalized-losses==B4of4 xor bore==B2of2
 0.222388      88 normalized-losses==B4of4 or num-of-doors==two
 0.210707      86 normalized-losses==B2of4 or num-of-doors==two
 0.205445     583 body-style_x_city-mpg
 0.203496     168 normalized-losses==B2of4 or bore==B2of2
 0.19851       42 normalized-losses==B4of4 and horsepower==B2of2
 0.197973       2 make
 0.197378     355 normalized-losses==B4of4 impl num-of-doors==two
 0.18956      334 num-of-doors==two xor width==B2of2
 0.18956      245 num-of-doors==two equ width==B2of2
 0.189519     266 normalized-losses==B4of4 xor num-of-doors==two
 0.189519     177 normalized-losses==B4of4 equ num-of-doors==two
 0.189423     424 normalized-losses==B4of4 impl bore==B2of2
 0.18927      257 normalized-losses==B2of4 equ bore==B2of2
 0.18927      346 normalized-losses==B2of4 xor bore==B2of2
 0.188358     264 normalized-losses==B2of4 xor num-of-doors==two
 0.188358     175 normalized-losses==B2of4 equ num-of-doors==two
 0.187742     429 normalized-losses==B4of4 and bore==B2of2 and horsepower==B2of2
 0.185331     602 num-of-N((normalized-losses <= 95) and (horsepower >= 106))
 0.183928     436 normalized-losses==B4of4 and num-of-doors==two and width==B2of2
 0.180563     575 bore_x_horsepower
 0.180496     159 body-style==sedan or city-mpg==B2of2
 0.180031     564 horsepower_x_highway-mpg
 0.179531      69 num-of-doors==two and width==B2of2
