dataset: cConcepts-uniqueInst.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.2642857142857139         16 A1 or A2
 0.2642857142857139         88 (A2 = 0) and (A1 = 0)
 0.18928571428571417         7 A2 and A3
 0.17499999999999993        13 A1 and A4
 0.16785714285714282        92 num-of-N((A2 = 0) and (A1 = 0))
 0.1607142857142857         74 A1_x_A2
 0.1321428571428572         20 A1 or A3
 0.1321428571428572         86 (A3 = 0) and (A1 = 0)
 0.1321428571428572         85 (A1 = 0) and (A3 = 0)
 0.12857142857142864        26 A1 equ A2
 0.12857142857142864        36 A1 xor A2
 0.11785714285714291        69 A1 or A2 or A3
 0.11071428571428577        68 A1 or A2 or A4
 0.11071428571428577         2 A2
 0.11071428571428577        87 (A2 = 0)
 0.10714285714285718        22 A2 or A4
 0.10000000000000003        43 A1 xor A4
 0.10000000000000003        37 A2 xor A3
 0.10000000000000003        75 A2_x_A3
 0.10000000000000003        27 A2 equ A3
 0.10000000000000003        33 A1 equ A4
 0.09642857142857146        81 A1_x_A4
 0.08214285714285717         1 A1
 0.08214285714285717        84 (A1 = 0)
 0.05714285714285714        50 A1 impl A3
 0.05                       78 A1_x_A3
 0.05                       80 A2_x_A4
 0.046428571428571416        8 A3 and A4
 0.04285714285714285        90 num-of-N((A1 = 0) and (A3 = 0))
 0.04285714285714285        91 num-of-N((A3 = 0) and (A1 = 0))
 0.04285714285714285        65 A1 or A3 or A5
 0.03928571428571428        52 A2 impl A4
 0.03214285714285714        46 A1 impl A2
 0.028571428571428567       30 A1 equ A3
 0.028571428571428567       40 A1 xor A3
 0.024999999999999998       67 A2 or A4 or A5
 0.024999999999999998       24 A2 or A5
 0.021428571428571425       57 A2 and A3 and A4
 0.02142857142857142        61 A1 and A4 and A5
 0.014285714285714285       54 A2 impl A5
 0.010714285714285713       89 (A4 = 0)
 0.010714285714285713        4 A4
 0.0071428571428571435      64 A2 and A3 and A5
 0.007142857142857142       82 A2_x_A5
 0.007142857142857142       25 A1 or A5
 0.000000000000000000991    15 A1 and A5
-0.000000000000000000991    76 A3_x_A4
-0.000000000000000000991    28 A3 equ A4
-0.000000000000000000991    38 A3 xor A4
-0.000000000000000000991    70 A1 or A4 or A5
-0.000000000000000000991    53 A1 impl A4
-0.000000000000000000991    72 A3 or A4 or A5
-0.0035714285714285726      73 A2 or A3 or A5
-0.0035714285714285726      59 A1 and A2 and A4
-0.007142857142857142       63 A3 and A4 and A5
-0.0071428571428571435      48 A3 impl A4
-0.010714285714285716        3 A3
-0.010714285714285716       14 A2 and A5
-0.010714285714285716       17 A2 or A3
-0.014285714285714285       29 A4 equ A5
-0.014285714285714285       39 A4 xor A5
-0.014285714285714285       19 A4 or A5
-0.017857142857142856       66 A2 or A3 or A4
-0.017857142857142856       18 A3 or A4
-0.017857142857142856       23 A1 or A4
-0.021428571428571425       42 A2 xor A4
-0.021428571428571425       62 A1 and A3 and A4
-0.021428571428571425       60 A1 and A2 and A3
-0.021428571428571425       21 A3 or A5
-0.021428571428571425       71 A1 or A3 or A4
