dataset: Balance scale.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.32725    147 num-of-N((right-distance <= 2) and (left-weight >= 3) and (left-distance >= 3))
 0.32725    155 num-of-N((right-distance <= 2) and (left-distance >= 3) and (left-weight >= 3))
 0.31783    142 num-of-N((right-weight <= 2) and (left-distance >= 3) and (left-weight >= 3))
 0.29806    159 num-of-N((right-weight <= 3) and (right-distance <= 3) and (left-weight >= 4) and (left-distance >= 2))
 0.29601    133 num-of-N((right-weight <= 1) and (left-distance >= 3) and (left-weight >= 2))
 0.29328    158 num-of-N((right-weight <= 1) and (left-distance >= 2) and (left-weight >= 3))
 0.28879    131 num-of-N((right-distance <= 1) and (left-distance >= 2) and (left-weight >= 3))
 0.28543    141 num-of-N((right-distance <= 1) and (left-distance >= 3) and (left-weight >= 2))
 0.28405    128 num-of-N((right-weight <= 3) and (left-distance >= 2) and (left-weight >= 3))
 0.2763      85 right-weight_x_right-distance
 0.26801    134 num-of-N((left-distance >= 4) and (right-weight <= 3) and (right-distance <= 3) and (left-weight >= 2))
 0.2648     144 num-of-N((right-distance <= 2) and (left-distance >= 3))
 0.25434    148 num-of-N((right-weight <= 2) and (left-distance >= 3))
 0.25351    138 num-of-N((right-distance <= 2) and (left-distance >= 2))
 0.25048     89 left-distance_x_right-distance
 0.24274    152 num-of-N((right-distance <= 2) and (right-weight <= 3))
 0.24237     75 left-distance LESSTHAN right-weight
 0.24079    132 num-of-N((left-distance >= 3) and (left-weight >= 3))
 0.24038     23 right-weight==B2of2 xor right-distance==B2of2
 0.24038     17 right-weight==B2of2 equ right-distance==B2of2
 0.23837     87 left-distance_x_right-weight
 0.23522    150 num-of-N((right-distance <= 2) and (left-weight >= 3))
 0.23363     96 (left-distance >= 3) and (left-weight >= 3)
 0.23198     90 left-weight_x_right-distance
 0.23093      5 right-weight==B2of2 and right-distance==B2of2
 0.2286      92 (right-weight <= 3) and (left-distance >= 2) and (left-weight >= 3)
 0.22832      6 left-weight==B2of2 and left-distance==B2of2
 0.22238     86 left-weight_x_left-distance
 0.22223    129 num-of-N((right-weight <= 3) and (left-distance >= 4) and (left-weight >= 4))
 0.22212     88 left-weight_x_right-weight
 0.22097     77 left-distance LESSTHAN right-distance
 0.22094    127 num-of-N((right-weight <= 1) and (left-distance >= 2))
 0.22094    153 num-of-N((left-distance >= 2) and (right-weight <= 1))
 0.21483    140 num-of-N((left-distance >= 4) and (left-weight >= 4) and (right-distance <= 3))
 0.21164     27 left-distance==B2of2 xor right-distance==B2of2
 0.21164     21 left-distance==B2of2 equ right-distance==B2of2
 0.20768     33 left-distance==B2of2 impl right-distance==B2of2
 0.20768    102 (right-distance <= 2) and (left-distance >= 2)
 0.20554     18 left-weight==B2of2 equ left-distance==B2of2
 0.20554     24 left-weight==B2of2 xor left-distance==B2of2
 0.20112     31 left-distance==B2of2 impl right-weight==B2of2
 0.20021    157 num-of-N((right-distance <= 1) and (right-weight <= 3))
 0.20021    136 num-of-N((right-weight <= 3) and (right-distance <= 1))
