dataset: cDisjunct.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 1          48 (A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)
 0.831167   47 (A1 <= 0.5) and (A3 >= 0.4)
 0.829667   50 num-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))
 0.746444   49 num-of-N((A1 <= 0.5) and (A3 >= 0.4))
 0.744167    9 A1==B2of2 or A2==B2of2
 0.740611   46 A1_x_A3
 0.664722   44 A1_x_A2
 0.568778   45 A2_x_A3
 0.550722   17 A1==B2of2 xor A3==B2of2
 0.550722   14 A1==B2of2 equ A3==B2of2
 0.520167   12 A1==B2of2 equ A2==B2of2
 0.520167   15 A1==B2of2 xor A2==B2of2
 0.443667   13 A2==B2of2 equ A3==B2of2
 0.443667   16 A2==B2of2 xor A3==B2of2
 0.380611   40 A1 LESSTHAN A3
 0.354611   18 A1==B2of2 impl A2==B2of2
 0.322278    8 A1==B2of2 and A3==B2of2
 0.2695     10 A2==B2of2 or A3==B2of2
 0.2455     39 A2 LESSTHAN A3
 0.216778   11 A1==B2of2 or A3==B2of2
 0.168167    7 A2==B2of2 and A3==B2of2
 0.157944   22 A1==B2of2 or A2==B2of2 or A3==B2of2
 0.156645    1 A1
 0.141278   38 A1 LESSTHAN A2
 0.13677    28 A1 SUBTRACT A3
 0.121149    3 A3
 0.112132   23 A1 ADD A2
 0.111      20 A1==B2of2 impl A3==B2of2
 0.094697   27 A2 SUBTRACT A3
 0.087033   35 A1 MULTIPLY A2
 0.079499   37 A1 MULTIPLY A3
 0.077971    2 A2
 0.075333    6 A1==B2of2 and A2==B2of2
 0.074772   25 A1 ADD A3
 0.069652   26 A1 SUBTRACT A2
 0.064389   19 A2==B2of2 impl A3==B2of2
 0.060188   36 A2 MULTIPLY A3
 0.057223   24 A2 ADD A3
 0.037111   21 A1==B2of2 and A2==B2of2 and A3==B2of2
 0.01196     5 A5
 0.011712    4 A4
 0.010167   42 A2 DIFF A3
 0.008778   41 A1 DIFF A2
-0.000389   29 A1 DIVIDE A2
-0.000389   32 A3 DIVIDE A2
-0.001944   34 A3 DIVIDE A1
-0.001944   30 A2 DIVIDE A1
-0.004222   43 A1 DIFF A3
-0.008      33 A1 DIVIDE A3
-0.008      31 A2 DIVIDE A3


								--------------
									Fold  2
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 1         48 (A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)
 0.82717   50 num-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))
 0.82344   47 (A1 <= 0.5) and (A3 >= 0.4)
 0.74889    9 A1==B2of2 or A2==B2of2
 0.73894   49 num-of-N((A1 <= 0.5) and (A3 >= 0.4))
 0.73294   46 A1_x_A3
 0.66717   44 A1_x_A2
 0.56694   45 A2_x_A3
 0.54339   14 A1==B2of2 equ A3==B2of2
 0.54339   17 A1==B2of2 xor A3==B2of2
 0.52172   12 A1==B2of2 equ A2==B2of2
