dataset: Leukemia.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.9687500000000095           7328 (U46499_at >= 163) and (M23197_at >= 275)
 0.9406250000000091           7199 M23197_at==B2of2 impl M92287_at==B2of2
 0.9406250000000091           7327 (M23197_at >= 316) and (M92287_at <= 1957)
 0.9406250000000091           7136 M23197_at==B2of2 and U46499_at==B2of2
 0.9406250000000091           7329 (M23197_at >= 316) and (U46499_at >= 163)
 0.9234375000000089           7195 U46499_at==B2of2 impl M31523_at==B2of2
 0.9156250000000088           7308 M92287_at LESSTHAN X95735_at
 0.9156250000000088           7137 U46499_at==B2of2 and X95735_at==B2of2
 0.8921875000000085           7138 M27891_at==B2of2 and U46499_at==B2of2
 0.8921875000000085           7188 M27891_at==B2of2 impl M92287_at==B2of2
 0.8703125000000081           7198 M23197_at==B2of2 impl M31523_at==B2of2
 0.856250000000008            7133 M23197_at==B2of2 and X95735_at==B2of2
 0.856250000000008            7207 M23197_at==B2of2 and U46499_at==B2of2 and X95735_at==B2of2
 0.8500000000000079           7144 M27891_at==B2of2 or X95735_at==B2of2
 0.8421875000000077           7332 num-of-N((M23197_at >= 316) and (U46499_at >= 163))
 0.8390625000000077           7316 M23197_at_x_X95735_at
 0.8390625000000077           7190 X95735_at==B2of2 impl M31523_at==B2of2
 0.8390625000000077           7205 M23197_at==B2of2 and M27891_at==B2of2 and U46499_at==B2of2
 0.8390625000000077           7140 M23197_at==B2of2 and M27891_at==B2of2
 0.8375000000000077           7319 M23197_at_x_U46499_at
 0.8312500000000076           7320 U46499_at_x_X95735_at
 0.8281250000000075           7313 M27891_at_x_X95735_at
 0.8218750000000075           7187 M27891_at==B2of2 impl M31523_at==B2of2
 0.8171875000000074           7147 M23197_at==B2of2 or X95735_at==B2of2
 0.8140625000000073           7323 M23197_at_x_M27891_at
 0.8125000000000073           7321 M27891_at_x_U46499_at
 0.8109375000000073           7200 M27891_at==B2of2 and U46499_at==B2of2 and X95735_at==B2of2
 0.7937500000000071           7154 M23197_at==B2of2 or M27891_at==B2of2
 0.787500000000007            7299 M27891_at LESSTHAN M92287_at
 0.7687500000000067           7325 M23197_at_x_M31523_at
 0.7671875000000067           7226 M23197_at==B2of2 or M27891_at==B2of2 or X95735_at==B2of2
 0.7671875000000067           7322 U46499_at_x_M31523_at
 0.7671875000000067           7331 num-of-N((U46499_at >= 163) and (M23197_at >= 275))
 0.7656250000000067           7317 X95735_at_x_M31523_at
 0.7640625000000066           7150 M23197_at==B2of2 or U46499_at==B2of2
 0.7578125000000066           7210 M23197_at==B2of2 and M27891_at==B2of2 and X95735_at==B2of2
 0.7562500000000065           7130 M27891_at==B2of2 and X95735_at==B2of2
 0.7468750000000064           7151 U46499_at==B2of2 or X95735_at==B2of2
 0.7453125000000064           7314 M27891_at_x_M31523_at
 0.7359375000000062           7152 M27891_at==B2of2 or U46499_at==B2of2
 0.7250000000000061           7318 M92287_at_x_U46499_at
 0.718750000000006            7330 num-of-N((M23197_at >= 316) and (M92287_at <= 1957))
