dataset: Spect heart.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.272083    303 (F22 = 0) and (F10 = 0) and (F20 = 0) and (F16 = 0) and (F17 = 0) and (F8 = 0)
 0.25625     220 F10 or F17 or F22
 0.2525      259 F10 or F20 or F22
 0.24375     240 F17 or F20 or F22
 0.242917    254 F8 or F10 or F16
 0.23875     261 F10 or F16 or F22
 0.2325       70 F10 or F22
 0.23        244 F8 or F16 or F17
 0.224167    304 (F13 = 0) and (F10 = 0) and (F22 = 0) and (F20 = 0) and (F16 = 0)
 0.222917    266 F10 or F13 or F16
 0.221667    294 F10_x_F22
 0.220417    279 F10_x_F13
 0.22        230 F16 or F17 or F22
 0.22         64 F20 or F22
 0.219167    270 F13 or F17 or F20
 0.2175      257 F8 or F10 or F17
 0.216667    246 F13 or F16 or F17
 0.214583    302 F13_x_F22
 0.212917    271 F8 or F10 or F22
 0.207917    273 F10 or F13 or F17
 0.205       223 F10 or F13 or F22
 0.204167    305 num-of-N((F22 = 0) and (F10 = 0) and (F20 = 0) and (F16 = 0) and (F17 = 0) and (F8 = 0))
 0.204167    272 F10 or F13 or F20
 0.199583    243 F13 or F20 or F22
 0.199167    306 num-of-N((F13 = 0) and (F10 = 0) and (F22 = 0) and (F20 = 0) and (F16 = 0))
 0.19875     255 F13 or F17 or F22
 0.19875     221 F8 or F17 or F22
 0.198333    263 F8 or F16 or F22
 0.197083    248 F10 or F16 or F17
 0.195833     67 F13 or F16
 0.195        71 F13 or F20
 0.189583     55 F10 or F13
 0.18875      69 F13 or F17
 0.187917    258 F8 or F10 or F20
 0.187917     59 F8 or F16
 0.187917     77 F17 or F22
 0.1875      291 F13_x_F16
 0.187083     65 F16 or F22
 0.185417    219 F16 or F20 or F22
 0.185        78 F13 or F22
 0.183333    253 F3 or F8 or F16
 0.182917    269 F8 or F17 or F20
 0.18        267 F10 or F17 or F20
 0.179583    239 F13 or F16 or F22
 0.179167    260 F8 or F20 or F22
 0.178333    251 F3 or F8 or F17
 0.177917    262 F3 or F8 or F10
 0.17625      72 F8 or F22
 0.175833    245 F8 or F16 or F20
 0.174167     66 F8 or F10
 0.17375     249 F13 or F16 or F20
 0.173333     98 F10 equ F22
 0.173333    126 F10 xor F22
 0.1725      289 F16_x_F22
 0.172083    268 F8 or F13 or F16
 0.171667     57 F10 or F16
 0.169167    295 F13_x_F20
 0.16875     296 F8_x_F22
 0.167083    281 F10_x_F16
 0.166667     13 F13
 0.16625     264 F3 or F8 or F22
 0.165       250 F10 or F16 or F20
 0.164583    290 F8_x_F10
 0.164167    288 F20_x_F22
 0.1625       83 F10 equ F13
 0.1625      111 F10 xor F13
 0.160833    234 F3 or F13 or F16
 0.16        280 F8_x_F13
 0.158333     22 F22
 0.1575       62 F10 or F20
 0.157083    284 F3_x_F22
 0.155833    252 F8 or F10 or F13
 0.153333    236 F3 or F10 or F22
 0.149167    228 F3 or F10 or F16
 0.148333    265 F8 or F13 or F17
 0.14625     286 F10_x_F20
 0.144167     61 F8 or F17
 0.144167     50 F13 and F22
