dataset: cLogicalConcBEasy.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.63    39 num-of-N((A2 = 1) and (A3 = 1) and (A1 = 0))
 0.623   40 num-of-N((A4 = 1) and (A5 = 1) and (A1 = 1))
 0.511   37 (A2 = 1) and (A3 = 1) and (A1 = 0)
 0.489   38 (A4 = 1) and (A5 = 1) and (A1 = 1)
 0.473   12 A3 equ A5
 0.473   22 A3 xor A5
 0.469   15 A2 equ A5
 0.469   25 A2 xor A5
 0.461   10 A3 equ A4
 0.461   20 A3 xor A4
 0.459   11 A1 equ A3
 0.459   21 A1 xor A3
 0.457   13 A2 equ A4
 0.457   23 A2 xor A4
 0.457   26 A1 xor A5
 0.457   16 A1 equ A5
 0.442    9 A1 equ A2
 0.442   19 A1 xor A2
 0.44    24 A1 xor A4
 0.44    14 A1 equ A4
 0.358   17 A2 xor A3
 0.358    7 A2 equ A3
 0.35    18 A4 xor A5
 0.35     8 A4 equ A5
 0.336   36 A1 impl A5
 0.312   34 A1 impl A4
 0.253    1 A1
 0.239   30 A3 impl A4
 0.237    5 A5
 0.235    3 A3
 0.234   33 A2 impl A4
 0.231    2 A2
 0.231   35 A2 impl A5
 0.229   32 A3 impl A5
 0.226    4 A4
 0.181   28 A4 impl A5
 0.181   27 A2 impl A3
 0.116   31 A1 impl A3
 0.115   29 A1 impl A2
 0        6 A6


								--------------
									Fold  2
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.636   39 num-of-N((A2 = 1) and (A3 = 1) and (A1 = 0))
 0.625   40 num-of-N((A4 = 1) and (A5 = 1) and (A1 = 1))
 0.516   37 (A2 = 1) and (A3 = 1) and (A1 = 0)
 0.484   38 (A4 = 1) and (A5 = 1) and (A1 = 1)
 0.475   11 A1 equ A3
 0.475   21 A1 xor A3
 0.47    12 A3 equ A5
 0.47    22 A3 xor A5
 0.468   10 A3 equ A4
 0.468   20 A3 xor A4
 0.458   16 A1 equ A5
 0.458   26 A1 xor A5
 0.455   24 A1 xor A4
 0.455   14 A1 equ A4
 0.447   15 A2 equ A5
 0.447   25 A2 xor A5
 0.445   23 A2 xor A4
 0.445   13 A2 equ A4
 0.444    9 A1 equ A2
 0.444   19 A1 xor A2
 0.352   17 A2 xor A3
 0.352    7 A2 equ A3
 0.337    8 A4 equ A5
 0.337   18 A4 xor A5
 0.327   36 A1 impl A5
 0.32    34 A1 impl A4
 0.261    1 A1
 0.249   30 A3 impl A4
 0.248    3 A3
 0.232   33 A2 impl A4
 0.232   32 A3 impl A5
 0.225    2 A2
 0.225   35 A2 impl A5
 0.222    5 A5
 0.22     4 A4
 0.187   27 A2 impl A3
 0.17    28 A4 impl A5
 0.118   31 A1 impl A3
 0.109   29 A1 impl A2
 0        6 A6


								--------------
									Fold  3
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.643   39 num-of-N((A3 = 1) and (A2 = 1) and (A1 = 0))
 0.614   40 num-of-N((A4 = 1) and (A5 = 1) and (A1 = 1))
