dataset: Tic-tac-toe.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.275058     401 num-of-N((middle-middle-square = o) and (top-right-square = x) and (bottom-left-square = x))
 0.264617     399 num-of-N((middle-middle-square = o) and (bottom-left-square = o) and (top-right-square = o))
 0.259165     400 num-of-N((middle-middle-square = o) and (bottom-right-square = x) and (top-left-square = x))
 0.255916     398 num-of-N((middle-middle-square = o) and (top-left-square = o) and (bottom-right-square = o))
 0.245476     158 top-left-square==o equ middle-middle-square==o
 0.245476     212 top-left-square==o xor middle-middle-square==o
 0.240603     176 middle-middle-square==o xor bottom-left-square==o
 0.240603     215 top-left-square==x xor middle-middle-square==o
 0.240603     122 middle-middle-square==o equ bottom-left-square==o
 0.240603     161 top-left-square==x equ middle-middle-square==o
 0.238747     126 middle-middle-square==x equ bottom-left-square==x
 0.238747     180 middle-middle-square==x xor bottom-left-square==x
 0.237587     390 top-left-square_x_middle-middle-square
 0.236891     162 top-left-square==x equ middle-middle-square==x
 0.236891     216 top-left-square==x xor middle-middle-square==x
 0.236311     386 middle-middle-square_x_bottom-left-square
 0.234803     177 middle-middle-square==o xor bottom-left-square==x
 0.234803     123 middle-middle-square==o equ bottom-left-square==x
 0.234687     185 top-right-square==o xor middle-middle-square==o
 0.234687     131 top-right-square==o equ middle-middle-square==o
 0.232599     135 top-right-square==x equ middle-middle-square==x
 0.232599     189 top-right-square==x xor middle-middle-square==x
 0.229234     387 top-right-square_x_middle-middle-square
 0.229118     134 top-right-square==x equ middle-middle-square==o
 0.229118     188 top-right-square==x xor middle-middle-square==o
 0.226682     213 top-left-square==o xor middle-middle-square==x
 0.226682     159 top-left-square==o equ middle-middle-square==x
 0.222738     194 middle-middle-square==o xor bottom-right-square==o
 0.222738     140 middle-middle-square==o equ bottom-right-square==o
 0.219026     179 middle-middle-square==x xor bottom-left-square==o
 0.219026     125 middle-middle-square==x equ bottom-left-square==o
 0.212877       5 middle-middle-square
 0.212645     186 top-right-square==o xor middle-middle-square==x
 0.212645     132 top-right-square==o equ middle-middle-square==x
 0.212529     388 middle-middle-square_x_bottom-right-square
 0.210789     141 middle-middle-square==o equ bottom-right-square==x
 0.210789     195 middle-middle-square==o xor bottom-right-square==x
 0.209861     144 middle-middle-square==x equ bottom-right-square==x
 0.209861     198 middle-middle-square==x xor bottom-right-square==x
 0.20116      143 middle-middle-square==x equ bottom-right-square==o
 0.20116      197 middle-middle-square==x xor bottom-right-square==o
 0.192923     345 top-right-square==o or middle-middle-square==o or bottom-left-square==o
 0.188979      68 middle-middle-square==o or bottom-left-square==o
 0.186775     104 top-left-square==o or middle-middle-square==o
 0.185383     372 top-left-square==o or middle-middle-square==o or bottom-right-square==o
 0.183643     107 top-left-square==x or middle-middle-square==o
 0.183063     105 top-left-square==o or middle-middle-square==x
 0.182367     358 top-right-square==x or middle-middle-square==x or bottom-left-square==x
 0.181787      77 top-right-square==o or middle-middle-square==o
 0.178654     385 top-left-square==x or middle-middle-square==x or bottom-right-square==x
 0.178422      69 middle-middle-square==o or bottom-left-square==x
