dataset: Car.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.650541      96 persons==2 or safety==low
 0.634579     540 buying==vhigh or persons==2 or safety==low
 0.63163      672 maint==vhigh or persons==2 or safety==low
 0.561069     549 buying==high or persons==2 or safety==low
 0.539094     709 persons_x_safety
 0.524897     681 maint==high or persons==2 or safety==low
 0.468109     169 persons==2 equ safety==low
 0.468109     242 persons==2 xor safety==low
 0.445826     699 maint==low or persons==2 or safety==low
 0.445724     567 buying==low or persons==2 or safety==low
 0.44421      690 maint==med or persons==2 or safety==low
 0.44407      558 buying==med or persons==2 or safety==low
 0.398477     713 buying_x_safety
 0.396522       6 safety
 0.393519     129 maint==vhigh or safety==low
 0.393496     244 persons==2 xor safety==high
 0.393496     171 persons==2 equ safety==high
 0.391739     141 buying==vhigh or safety==low
 0.391314     624 buying==vhigh or maint==vhigh or safety==low
 0.390746     105 maint==vhigh or persons==2
 0.388295     117 buying==vhigh or persons==2
 0.387883     576 buying==vhigh or maint==vhigh or persons==2
 0.380199     712 maint_x_safety
 0.356289     170 persons==2 equ safety==med
 0.356289     243 persons==2 xor safety==med
 0.349893     711 buying_x_persons
 0.338937     245 persons==4 xor safety==low
 0.338937     172 persons==4 equ safety==low
 0.336431     175 persons==more equ safety==low
 0.336431     248 persons==more xor safety==low
 0.335986     275 maint==vhigh xor safety==low
 0.335986     202 maint==vhigh equ safety==low
 0.335712     120 buying==high or persons==2
 0.334685     144 buying==high or safety==low
 0.333389     178 maint==vhigh equ persons==2
 0.333389     251 maint==vhigh xor persons==2
 0.33227      287 buying==vhigh xor safety==low
 0.33227      214 buying==vhigh equ safety==low
 0.331548     710 maint_x_persons
 0.327825       4 persons
 0.3276       263 buying==vhigh xor persons==2
 0.3276       190 buying==vhigh equ persons==2
 0.324199     588 buying==high or maint==vhigh or persons==2
 0.323622     636 buying==high or maint==vhigh or safety==low
 0.321487     775 num-of-N((safety = high) and (persons = 4))
 0.317663      97 persons==2 or safety==med
 0.308755      98 persons==2 or safety==high
 0.308032     223 buying==low equ safety==low
 0.308032     296 buying==low xor safety==low
 0.307362     132 maint==high or safety==low
 0.307152     541 buying==vhigh or persons==2 or safety==med
 0.306481     199 buying==low equ persons==2
 0.306481     272 buying==low xor persons==2
 0.305594     108 maint==high or persons==2
 0.305502     290 buying==high xor safety==low
 0.305502     217 buying==high equ safety==low
 0.305176     673 maint==vhigh or persons==2 or safety==med
 0.302061     193 buying==high equ persons==2
 0.302061     266 buying==high xor persons==2
 0.296775     318 persons==4 impl safety==low
 0.294509     591 buying==high or maint==high or persons==2
 0.294487     639 buying==high or maint==high or safety==low
 0.294297     660 buying==low or maint==vhigh or safety==low
 0.293868     648 buying==med or maint==vhigh or safety==low
 0.290559     260 maint==low xor persons==2
 0.290559     187 maint==low equ persons==2
 0.290504     612 buying==low or maint==vhigh or persons==2
 0.289592     284 maint==low xor safety==low
 0.289592     211 maint==low equ safety==low
 0.289206     321 persons==more impl safety==low
 0.289171     205 maint==high equ safety==low
 0.289171     278 maint==high xor safety==low
