dataset: rLinear.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.1452437      648 A2_x_A3
 0.09286077     253 A2==(79.836178-inf) xor A3==(39.979256-59.952159]
 0.09286077     178 A2==(79.836178-inf) equ A3==(39.979256-59.952159]
 0.08492017     650 A1_x_A3
 0.0808739      233 A2==(-inf-20.013521] xor A3==(39.979256-59.952159]
 0.0808739      158 A2==(-inf-20.013521] equ A3==(39.979256-59.952159]
 0.07917839     103 A2==(79.836178-inf) or A3==(39.979256-59.952159]
 0.07832598      98 A2==(59.895292-79.836178] or A3==(39.979256-59.952159]
 0.07820432     248 A2==(59.895292-79.836178] xor A3==(39.979256-59.952159]
 0.07820432     173 A2==(59.895292-79.836178] equ A3==(39.979256-59.952159]
 0.07468922     168 A2==(39.954407-59.895292] equ A3==(39.979256-59.952159]
 0.07468922     243 A2==(39.954407-59.895292] xor A3==(39.979256-59.952159]
 0.07111897      83 A2==(-inf-20.013521] or A3==(39.979256-59.952159]
 0.06925566     179 A2==(79.836178-inf) equ A3==(59.952159-79.925061]
 0.06925566     254 A2==(79.836178-inf) xor A3==(59.952159-79.925061]
 0.06923517     244 A2==(39.954407-59.895292] xor A3==(59.952159-79.925061]
 0.06923517     169 A2==(39.954407-59.895292] equ A3==(59.952159-79.925061]
 0.06878322      93 A2==(39.954407-59.895292] or A3==(39.979256-59.952159]
 0.06707483      99 A2==(59.895292-79.836178] or A3==(59.952159-79.925061]
 0.06564886     163 A2==(20.013521-39.954407] equ A3==(39.979256-59.952159]
 0.06564886     238 A2==(20.013521-39.954407] xor A3==(39.979256-59.952159]
 0.06545093     232 A2==(-inf-20.013521] xor A3==(20.006354-39.979256]
 0.06545093     157 A2==(-inf-20.013521] equ A3==(20.006354-39.979256]
 0.06476772      88 A2==(20.013521-39.954407] or A3==(39.979256-59.952159]
 0.06453933      94 A2==(39.954407-59.895292] or A3==(59.952159-79.925061]
 0.06449964     252 A2==(79.836178-inf) xor A3==(20.006354-39.979256]
 0.06449964     177 A2==(79.836178-inf) equ A3==(20.006354-39.979256]
 0.06411949     174 A2==(59.895292-79.836178] equ A3==(59.952159-79.925061]
 0.06411949     249 A2==(59.895292-79.836178] xor A3==(59.952159-79.925061]
 0.06274819      92 A2==(39.954407-59.895292] or A3==(20.006354-39.979256]
 0.06248856     228 A1==(79.933791-inf) equ A3==(39.979256-59.952159]
 0.06248856     303 A1==(79.933791-inf) xor A3==(39.979256-59.952159]
 0.06233466     242 A2==(39.954407-59.895292] xor A3==(20.006354-39.979256]
 0.06233466     167 A2==(39.954407-59.895292] equ A3==(20.006354-39.979256]
 0.06184122     156 A2==(-inf-20.013521] equ A3==(-inf-20.006354]
 0.06184122     231 A2==(-inf-20.013521] xor A3==(-inf-20.006354]
 0.0609196       95 A2==(39.954407-59.895292] or A3==(79.925061-inf)
 0.05988092      82 A2==(-inf-20.013521] or A3==(20.006354-39.979256]
 0.05983315      97 A2==(59.895292-79.836178] or A3==(20.006354-39.979256]
 0.05864973     241 A2==(39.954407-59.895292] xor A3==(-inf-20.006354]
