dataset: Spectf heart.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.3484076433120957         292 V22==B2of2 and V33==B2of2 and V40==B3of3
 0.3264331210191034          57 V26==B2of2 and V40==B3of3
 0.32388535031846655         67 V22==B2of2 and V40==B3of3
 0.30732484076432737        286 V26==B2of2 and V30==B3of3 and V40==B3of3
 0.30318471337579256        268 V30==B3of3 and V33==B2of2 and V40==B3of3
 0.2990445859872578         259 V26==B2of2 and V40==B3of3 and V43==B2of2
 0.2939490445859842         256 V26==B2of2 and V30==B3of3 and V43==B2of2
 0.2929936305732454          73 V4==B2of2 and V40==B3of3
 0.29235668789808616         60 V26==B2of2 and V30==B3of3
 0.2856687898089146         277 V30==B3of3 and V40==B3of3 and V43==B2of2
 0.2792993630573226          76 V30==B3of3 and V43==B2of2
 0.2783439490445838         289 V10==B2of2 and V33==B2of2 and V40==B3of3
 0.2719745222929918         398 (V40 >= 71) and (V26 >= 58)
 0.26974522292993464         53 V30==B3of3 and V40==B3of3
 0.2675159235668774         429 num-of-N((V30 >= 68) and (V26 >= 60) and (V40 >= 71) and (V40 <= 72))
 0.2621019108280242         396 (V40 >= 71) and (V4 >= 69)
 0.2605095541401262         221 V30==B3of3 impl V40==B2of3
 0.2570063694267506          79 V40==B3of3 and V43==B2of2
 0.25668789808917103        224 V26==B2of2 impl V40==B1of3
 0.255095541401273          227 V26==B2of2 impl V30==B1of3
 0.255095541401273           64 V33==B2of2 and V40==B3of3
 0.24999999999999942        425 num-of-N((V40 >= 71) and (V26 >= 58))
 0.24617834394904423         70 V10==B2of2 and V40==B3of3
 0.23694267515923584         82 V30==B3of3 and V33==B2of2
 0.23630573248407663        414 num-of-N((V40 >= 75) and (V26 >= 58) and (V43 >= 65))
 0.23471337579617862        388 (V40 >= 71) and (V38 >= 70)
 0.22898089171974584         83 V26==B2of2 and V43==B2of2
 0.22866242038216625        390 (V40 >= 71) and (V22 >= 72) and (V33 >= 61)
 0.22611464968152944        382 (V40 >= 71) and (V43 >= 57)
 0.22484076433121106        419 num-of-N((V30 >= 68) and (V26 >= 61) and (V40 <= 72) and (V40 >= 69))
 0.22292993630573343        228 V26==B2of2 impl V30==B2of3
 0.22197452229299464        409 num-of-N((V40 >= 71) and (V43 >= 57))
 0.22070063694267625        183 V38 xor V40==B3of3
 0.22070063694267625        140 V38 equ V40==B3of3
 0.22070063694267625         97 V38 or V40==B3of3
 0.22070063694267625         84 V26==B2of2 and V33==B2of2
 0.21783439490445985        366 V26_x_V30
 0.21656050955414144        220 V30==B3of3 impl V40==B1of3
 0.21592356687898226        372 V30_x_V43
 0.21592356687898226        225 V26==B2of2 impl V40==B2of3
 0.21305732484076587        424 num-of-N((V30 >= 74) and (V43 >= 54))
 0.20923566878981065        377 (V40 >= 71) and (V33 >= 63)
 0.20796178343949226        415 num-of-N((V40 >= 71) and (V38 >= 70))
 0.20796178343949226        418 num-of-N((V40 >= 68) and (V10 >= 64) and (V10 <= 66))
 0.20668789808917387        384 (V26 >= 61) and (V33 >= 63) and (V26 <= 68)
