dataset: credit_score.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.4334999999999968          604 (net_income >= 78502) and (interest <= 170643)
 0.4104999999999981          644 (net_income >= 78502) and (interest <= 135997)
 0.40049999999999863         582 (net_income >= 100907) and (interest <= 143618)
 0.3979999999999988          643 (net_income >= 100907) and (interest <= 135997)
 0.3919999999999991          680 num-of-N((net_income >= 78502) and (interest <= 170643))
 0.3909999999999992           40 net_income==B2of2 and FFO==B2of2
 0.3909999999999992          305 net_income==B2of2 and equity==B2of2 and FFO==B2of2
 0.3829999999999996          628 (net_income >= 100907) and (debt <= 3735270)
 0.3784999999999999           36 net_income==B2of2 and equity==B2of2
 0.37749999999999995         580 (net_income >= 78502) and (st_liabilities <= 4352021)
 0.3765                      315 EBITDA==B2of2 and net_income==B2of2 and FFO==B2of2
 0.37050000000000033         535 EBITDA_x_net_income
 0.3700000000000004          627 (net_income >= 100907)
 0.36900000000000044         249 net_income==B2of2 impl total_oper_liabilities
 0.36900000000000044         248 net_income==B2of2 impl st_assets
 0.36900000000000044         250 net_income==B2of2 impl st_liabilities
 0.36900000000000044         621 (net_income >= 78502)
 0.36900000000000044         251 net_income==B2of2 impl inventories
 0.36900000000000044         191 net_income==B2of2 xor st_assets
 0.36900000000000044         138 net_income==B2of2 equ st_liabilities
 0.36900000000000044         196 net_income==B2of2 xor inventories
 0.36900000000000044         137 net_income==B2of2 equ total_oper_liabilities
 0.36900000000000044         203 financial_expenses xor net_income==B2of2
 0.36900000000000044         194 net_income==B2of2 xor total_oper_liabilities
 0.36900000000000044         134 net_income==B2of2 equ st_assets
 0.36900000000000044         139 net_income==B2of2 equ inventories
 0.36900000000000044         456 net_income==B2of2 or st_assets or st_liabilities
 0.36900000000000044         351 net_income==B2of2 or total_oper_liabilities or st_liabilities
 0.36900000000000044         547 net_income_x_inventories
 0.36900000000000044         554 financial_expenses_x_net_income
 0.36900000000000044         410 financial_expenses or net_income==B2of2 or total_oper_liabilities
 0.36900000000000044          89 financial_expenses or net_income==B2of2
 0.36900000000000044         412 financial_expenses or net_income==B2of2 or st_liabilities
 0.36900000000000044         546 net_income_x_st_liabilities
 0.36900000000000044          82 net_income==B2of2 or inventories
 0.36900000000000044          81 net_income==B2of2 or st_liabilities
 0.36900000000000044          77 net_income==B2of2 or st_assets
 0.36900000000000044         146 financial_expenses equ net_income==B2of2
 0.36900000000000044          80 net_income==B2of2 or total_oper_liabilities
 0.36900000000000044         545 net_income_x_total_oper_liabilities
 0.36900000000000044         542 net_income_x_st_assets
 0.36900000000000044         195 net_income==B2of2 xor st_liabilities
 0.3680000000000005          635 (net_income >= 78502) and (interest <= 80359)
 0.36450000000000066         701 num-of-N((net_income >= 100907) and (debt <= 3735270))
 0.3640000000000007           35 EBITDA==B2of2 and net_income==B2of2
 0.3640000000000007          308 EBITDA==B2of2 and net_income==B2of2 and equity==B2of2
 0.36250000000000077         540 net_income_x_debt
 0.3620000000000008          651 (net_income >= 78502) and (interest <= 79915)
