dataset: rConcept.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.11079166      819 A2==(0.399884-0.599555] impl A3==(0.400127-0.600065]
 0.10519293      818 A2==(0.399884-0.599555] impl A3==(0.200188-0.400127]
 0.1042985       817 A2==(0.399884-0.599555] impl A3==(-inf-0.200188]
 0.10376561      995 A2==(0.399884-0.599555] impl A5==(0.598188-0.79754]
 0.10331465      919 A2==(0.399884-0.599555] impl A4==(0.400586-0.600385]
 0.1030032       421 A2==(0.399884-0.599555] equ A3==(0.800004-inf)
 0.1030032       621 A2==(0.399884-0.599555] xor A3==(0.800004-inf)
 0.10288009      921 A2==(0.399884-0.599555] impl A4==(0.800183-inf)
 0.10207412      918 A2==(0.399884-0.599555] impl A4==(0.200788-0.400586]
 0.0997774       820 A2==(0.399884-0.599555] impl A3==(0.600065-0.800004]
 0.09738211      993 A2==(0.399884-0.599555] impl A5==(0.199483-0.398835]
 0.09730254      994 A2==(0.399884-0.599555] impl A5==(0.398835-0.598188]
 0.09672179      920 A2==(0.399884-0.599555] impl A4==(0.600385-0.800183]
 0.09090036      996 A2==(0.399884-0.599555] impl A5==(0.79754-inf)
 0.08954668      417 A2==(0.399884-0.599555] equ A3==(-inf-0.200188]
 0.08954668      617 A2==(0.399884-0.599555] xor A3==(-inf-0.200188]
 0.08840863      217 A2==(0.399884-0.599555] or A3==(-inf-0.200188]
 0.08786831      454 A1==(0.799949-inf) equ A2==(0.399884-0.599555]
 0.08786831      654 A1==(0.799949-inf) xor A2==(0.399884-0.599555]
 0.08669427      721 A2==(0.399884-0.599555] xor A4==(0.800183-inf)
 0.08669427      521 A2==(0.399884-0.599555] equ A4==(0.800183-inf)
 0.08361162      434 A1==(-inf-0.199989] equ A2==(0.399884-0.599555]
 0.08361162      634 A1==(-inf-0.199989] xor A2==(0.399884-0.599555]
 0.08309403      992 A2==(0.399884-0.599555] impl A5==(-inf-0.199483]
 0.08230153      619 A2==(0.399884-0.599555] xor A3==(0.400127-0.600065]
 0.08230153      419 A2==(0.399884-0.599555] equ A3==(0.400127-0.600065]
 0.08114157     1939 A1==(0.399976-0.599962] or A2==(0.200214-0.399884] or A3==(0.400127-0.600065]
 0.0807203       234 A1==(-inf-0.199989] or A2==(0.399884-0.599555]
 0.08032326      517 A2==(0.399884-0.599555] equ A4==(-inf-0.200788]
 0.08032326      717 A2==(0.399884-0.599555] xor A4==(-inf-0.200788]
 0.07925211      418 A2==(0.399884-0.599555] equ A3==(0.200188-0.400127]
 0.07925211      618 A2==(0.399884-0.599555] xor A3==(0.200188-0.400127]
 0.07892197      620 A2==(0.399884-0.599555] xor A3==(0.600065-0.800004]
 0.07892197      420 A2==(0.399884-0.599555] equ A3==(0.600065-0.800004]
 0.07795198      917 A2==(0.399884-0.599555] impl A4==(-inf-0.200788]
 0.07720267      321 A2==(0.399884-0.599555] or A4==(0.800183-inf)
 0.07675959     1892 A1==(-inf-0.199989] or A2==(0.399884-0.599555] or A3==(-inf-0.200188]
