dataset: cLogicalConcBEasy-uniqueSamples.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.40701754385965017        88 (A5 = 1) and (A4 = 1) and (A1 = 1)
 0.40701754385965017        62 A1 and A4 and A5
 0.3894736842105271         92 (A3 = 1) and (A2 = 1) and (A1 = 0)
 0.3894736842105271         89 (A2 = 1) and (A3 = 1) and (A1 = 0)
 0.35087719298245634        91 (A5 = 1) and (A4 = 1)
 0.35087719298245634         7 A4 and A5
 0.3298245614035087          8 A2 and A3
 0.3298245614035087         87 (A2 = 1) and (A3 = 1)
 0.3298245614035087         90 (A3 = 1) and (A2 = 1)
 0.25614035087719234        97 num-of-N((A5 = 1) and (A4 = 1))
 0.25438596491228005        96 num-of-N((A3 = 1) and (A2 = 1))
 0.25438596491228005        93 num-of-N((A2 = 1) and (A3 = 1))
 0.2456140350877187         77 A4_x_A5
 0.23859649122806958        98 num-of-N((A3 = 1) and (A2 = 1) and (A1 = 0))
 0.23859649122806958        95 num-of-N((A2 = 1) and (A3 = 1) and (A1 = 0))
 0.23684210526315733        78 A2_x_A3
 0.2315789473684205         80 A1_x_A2
 0.2245614035087714         94 num-of-N((A5 = 1) and (A4 = 1) and (A1 = 1))
 0.22280701754385912        58 A2 and A3 and A4
 0.22280701754385912        66 A3 and A4 and A5
 0.22105263157894686        16 A1 and A5
 0.2105263157894732         15 A1 and A4
 0.20526315789473637        85 A1_x_A4
 0.19824561403508728        65 A2 and A3 and A5
 0.19649122807017502        86 A1_x_A5
 0.18771929824561365        30 A1 equ A2
 0.18771929824561365        40 A1 xor A2
 0.18596491228070136        82 A1_x_A3
 0.18070175438596453        84 A2_x_A5
 0.17719298245613999        38 A2 xor A3
 0.17719298245613999        28 A2 equ A3
 0.17719298245613999         9 A3 and A4
 0.17543859649122773        81 A2_x_A4
 0.17368421052631544        20 A1 or A2
 0.17368421052631544        13 A3 and A5
 0.17368421052631544        83 A3_x_A5
 0.1701754385964909         79 A3_x_A4
 0.16666666666666635         5 A5
 0.1631578947368418          4 A4
 0.16140350877192952        37 A4 xor A5
 0.16140350877192952        27 A4 equ A5
 0.15438596491228043         2 A2
 0.14736842105263132        57 A2 and A4 and A5
 0.1421052631578945          3 A3
 0.13684210526315768        11 A2 and A4
 0.1350877192982454         55 A1 impl A4
 0.13333333333333314        22 A1 or A3
 0.13333333333333314        14 A2 and A5
 0.12631578947368405        45 A1 xor A4
 0.12631578947368405        35 A1 equ A4
 0.12105263157894722         1 A1
 0.1087719298245613         32 A1 equ A3
 0.1087719298245613         42 A1 xor A3
 0.10526315789473674        46 A1 xor A5
 0.10526315789473674        36 A1 equ A5
 0.09999999999999992        56 A1 impl A5
 0.09649122807017538        63 A1 and A3 and A4
 0.09298245614035082        60 A1 and A3 and A5
 0.08245614035087717        24 A2 or A5
 0.08245614035087717        21 A2 or A4
 0.07543859649122808        23 A3 or A5
 0.07192982456140352        47 A4 impl A5
 0.0666666666666667         48 A2 impl A3
 0.05964912280701757        12 A1 and A3
 0.05263157894736844        53 A3 impl A5
