dataset: cLogicalConcBEasyNoisy-uniqueSamples.arff
Testing method: CV, number of folds: 10
Feature selection on validation dataset. Percentage of split (subTrain:validation) 75%:25%
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 1.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 3.
Num. of all parameters 3. Num. of max ACC 2.
Num. of all parameters 3. Num. of max ACC 1.
