dataset: Balance scale.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.3176   103 num-of-N((left-distance >= 3) and (right-weight <= 2) and (left-weight >= 2))
 0.256    105 num-of-N((left-distance >= 3) and (left-weight >= 3))
 0.2542    85 left-weight_x_left-distance
 0.2528   107 num-of-N((left-distance >= 3) and (right-weight <= 2))
 0.2522    88 left-distance_x_right-distance
 0.2501   106 num-of-N((left-weight >= 4) and (left-distance >= 2) and (right-weight <= 3))
 0.2485    86 left-distance_x_right-weight
 0.2449    87 right-weight_x_right-distance
 0.2364   108 num-of-N((right-weight <= 2) and (left-weight >= 3))
 0.2354    76 left-distance LESSTHAN right-distance
 0.235     90 left-weight_x_right-distance
 0.2324   101 num-of-N((right-distance <= 2) and (left-distance >= 2))
 0.2318    89 left-weight_x_right-weight
 0.223      5 left-weight==B2of2 and left-distance==B2of2
 0.223     96 (left-distance >= 3) and (left-weight >= 3)
 0.2222    74 left-distance LESSTHAN right-weight
 0.2202   104 num-of-N((right-distance <= 2) and (left-weight >= 2))
 0.2201    77 left-weight LESSTHAN right-weight
 0.22      17 left-weight==B2of2 equ left-distance==B2of2
 0.22      23 left-weight==B2of2 xor left-distance==B2of2
 0.2156    25 right-weight==B2of2 xor right-distance==B2of2
 0.2156    19 right-weight==B2of2 equ right-distance==B2of2
 0.214    100 num-of-N((right-distance <= 1) and (left-distance >= 2))
 0.2117    26 left-distance==B2of2 xor right-distance==B2of2
 0.2117    20 left-distance==B2of2 equ right-distance==B2of2
 0.2116   102 num-of-N((left-distance >= 4) and (left-weight >= 3))
 0.2081    24 left-distance==B2of2 xor right-weight==B2of2
 0.2081    18 left-distance==B2of2 equ right-weight==B2of2
 0.2067     7 right-weight==B2of2 and right-distance==B2of2
 0.2044    78 left-weight LESSTHAN right-distance
 0.1962    22 left-weight==B2of2 equ right-distance==B2of2
 0.1962    28 left-weight==B2of2 xor right-distance==B2of2
 0.1952    92 (right-distance <= 2) and (left-distance >= 2)
 0.1938    27 left-weight==B2of2 xor right-weight==B2of2
 0.1938    21 left-weight==B2of2 equ right-weight==B2of2
 0.1906    94 (left-distance >= 3) and (right-weight <= 2) and (left-weight >= 2)
 0.1788    95 (right-distance <= 2) and (left-weight >= 2)
 0.1646    30 left-distance==B2of2 impl right-weight==B2of2
 0.1646    98 (left-distance >= 3) and (right-weight <= 2)
 0.1554    93 (left-distance >= 4) and (left-weight >= 3)
 0.1486    34 left-weight==B2of2 impl right-distance==B2of2
 0.1413     6 left-distance==B2of2 and right-weight==B2of2
 0.1413    97 (left-weight >= 4) and (left-distance >= 2) and (right-weight <= 3)
 0.1395     8 left-distance==B2of2 and right-distance==B2of2
 0.1367    32 left-distance==B2of2 impl right-distance==B2of2
 0.1356    37 left-weight==B2of2 and left-distance==B2of2 and right-weight==B2of2
 0.1328    36 left-distance==B2of2 and right-weight==B2of2 and right-distance==B2of2
 0.1297    91 (right-distance <= 1) and (left-distance >= 2)
 0.1294     9 left-weight==B2of2 and right-weight==B2of2
