dataset: Autos.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.361901       1170 wheel-base_x_bore
 0.34222759     1153 wheel-base_x_horsepower
 0.33422871     1167 wheel-base_x_curb-weight
 0.33031549     1172 num-of-doors_x_engine-size
 0.33004777     1168 wheel-base_x_engine-type
 0.32395404     1169 num-of-doors_x_width
 0.2893138         5 num-of-doors
 0.2893138       317 num-of-doors==two or engine-type==dohcv
 0.2893138       322 num-of-doors==two or engine-type==rotor
 0.28832451      318 num-of-doors==two or engine-type==l
 0.28513938       40 fuel-type==gas and num-of-doors==two
 0.28409725      513 num-of-doors==two equ engine-type==dohcv
 0.28409725      709 num-of-doors==two xor engine-type==dohcv
 0.28409725      900 num-of-doors==two impl engine-type==dohcv
 0.28323809      901 num-of-doors==two impl engine-type==l
 0.2822488       514 num-of-doors==two equ engine-type==l
 0.2822488       710 num-of-doors==two xor engine-type==l
 0.2768832       320 num-of-doors==two or engine-type==ohcf
 0.2739371       518 num-of-doors==two equ engine-type==rotor
 0.2739371       714 num-of-doors==two xor engine-type==rotor
 0.2739371       905 num-of-doors==two impl engine-type==rotor
 0.27307016     1151 fuel-type_x_num-of-doors
 0.27105979      316 num-of-doors==two or engine-type==dohc
 0.2643288       903 num-of-doors==two impl engine-type==ohcf
 0.26025198      516 num-of-doors==two equ engine-type==ohcf
 0.26025198      712 num-of-doors==two xor engine-type==ohcf
 0.25842395     1171 num-of-doors_x_engine-type
 0.25772971      904 num-of-doors==two impl engine-type==ohcv
 0.25598654      321 num-of-doors==two or engine-type==ohcv
 0.25434749      771 fuel-type==gas impl num-of-doors==two
 0.25183177      380 fuel-type==gas equ num-of-doors==two
 0.25183177      576 fuel-type==gas xor num-of-doors==two
 0.24264842      118 wheel-base==B6of6 and bore==B2of2
 0.24140322      890 wheel-base==B6of6 impl engine-type==ohcf
 0.24140322      892 wheel-base==B6of6 impl engine-type==rotor
 0.24140322      887 wheel-base==B6of6 impl engine-type==dohcv
 0.24140322       91 wheel-base==B6of6 and curb-weight==B2of2
 0.24059273      886 wheel-base==B6of6 impl engine-type==dohc
 0.23942973      713 num-of-doors==two xor engine-type==ohcv
 0.23942973      517 num-of-doors==two equ engine-type==ohcv
 0.23883381      304 wheel-base==B6of6 or engine-type==l
 0.23801527      308 wheel-base==B6of6 or engine-type==rotor
 0.23801527      700 wheel-base==B6of6 xor engine-type==rotor
 0.23801527      504 wheel-base==B6of6 equ engine-type==rotor
 0.23719846      695 wheel-base==B6of6 xor engine-type==dohcv
 0.23719846      499 wheel-base==B6of6 equ engine-type==dohcv
 0.23719846      303 wheel-base==B6of6 or engine-type==dohcv
 0.23332264      715 num-of-doors==two xor engine-size==B2of2
 0.23332264      519 num-of-doors==two equ engine-size==B2of2
 0.23244963      658 wheel-base==B6of6 xor curb-weight==B2of2
 0.23244963      462 wheel-base==B6of6 equ curb-weight==B2of2
 0.22980715      951 wheel-base==B6of6 and bore==B2of2 and horsepower==B2of2
 0.2279903       502 wheel-base==B6of6 equ engine-type==ohcf
