@relation 'if(A1>0.5 || A2>0.7 || A3<0.4) then 1 else 0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 and A2==B2of2-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 and A3==B2of2-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 and A3==B2of2-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 or A2==B2of2-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 or A3==B2of2-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 or A3==B2of2-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 equ A2==B2of2-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 equ A3==B2of2-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 equ A3==B2of2-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 xor A2==B2of2-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 xor A3==B2of2-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 xor A3==B2of2-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 impl A2==B2of2-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==B2of2 impl A3==B2of2-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 impl A3==B2of2-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 and A2==B2of2 and A3==B2of2-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==B2of2 or A2==B2of2 or A3==B2of2-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A1 <= 0.5) and (A3 >= 0.4)-L0,1-C23-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A1 <= 0.5) and (A2 <= 0.7)-L0,1-C24-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11)-L0,1-C25-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)-L0,1-C26-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A1 <= 0.5) and (A3 >= 0.4))-L0,1,2-C27-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A1 <= 0.5) and (A2 <= 0.7))-L0,1,2-C28-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11))-L0,1,2,3-C29-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))-L0,1,2,3-C30-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A2-C31-W1.0-weka.filters.unsupervised.attribute.Add-NA2 ADD A3-C32-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A3-C33-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A2-C34-W1.0-weka.filters.unsupervised.attribute.Add-NA2 SUBTRACT A3-C35-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A3-C36-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A2-C37-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A1-C38-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A3-C39-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A2-C40-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A3-C41-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A1-C42-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A2-C43-W1.0-weka.filters.unsupervised.attribute.Add-NA2 MULTIPLY A3-C44-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A3-C45-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A2-L0,1-C46-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 LESSTHAN A3-L0,1-C47-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A3-L0,1-C48-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A2-L0,1-C49-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 DIFF A3-L0,1-C50-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A3-L0,1-C51-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L\'(-inf-0.505]\'_x_\'(-inf-0.705]\',\'(-inf-0.505]\'_x_\'(0.705-inf)\',\'(0.505-inf)\'_x_\'(-inf-0.705]\',\'(0.505-inf)\'_x_\'(0.705-inf)\'-C52-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L\'(-inf-0.705]\'_x_\'(-inf-0.395]\',\'(-inf-0.705]\'_x_\'(0.395-inf)\',\'(0.705-inf)\'_x_\'(-inf-0.395]\',\'(0.705-inf)\'_x_\'(0.395-inf)\'-C53-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L\'(-inf-0.505]\'_x_\'(-inf-0.395]\',\'(-inf-0.505]\'_x_\'(0.395-inf)\',\'(0.505-inf)\'_x_\'(-inf-0.395]\',\'(0.505-inf)\'_x_\'(0.395-inf)\'-C54-W1.0'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute 'A1==B2of2 and A2==B2of2' {0,1}
@attribute 'A2==B2of2 and A3==B2of2' {0,1}
@attribute 'A1==B2of2 and A3==B2of2' {0,1}
@attribute 'A1==B2of2 or A2==B2of2' {0,1}
@attribute 'A2==B2of2 or A3==B2of2' {0,1}
@attribute 'A1==B2of2 or A3==B2of2' {0,1}
@attribute 'A1==B2of2 equ A2==B2of2' {0,1}
@attribute 'A2==B2of2 equ A3==B2of2' {0,1}
@attribute 'A1==B2of2 equ A3==B2of2' {0,1}
@attribute 'A1==B2of2 xor A2==B2of2' {0,1}
@attribute 'A2==B2of2 xor A3==B2of2' {0,1}
@attribute 'A1==B2of2 xor A3==B2of2' {0,1}
@attribute 'A1==B2of2 impl A2==B2of2' {0,1}
@attribute 'A2==B2of2 impl A3==B2of2' {0,1}
@attribute 'A1==B2of2 impl A3==B2of2' {0,1}
@attribute 'A1==B2of2 and A2==B2of2 and A3==B2of2' {0,1}
@attribute 'A1==B2of2 or A2==B2of2 or A3==B2of2' {0,1}
@attribute '(A1 <= 0.5) and (A3 >= 0.4)' {0,1}
@attribute '(A1 <= 0.5) and (A2 <= 0.7)' {0,1}
@attribute '(A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11)' {0,1}
@attribute '(A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7)' {0,1}
@attribute 'num-of-N((A1 <= 0.5) and (A3 >= 0.4))' {0,1,2}
@attribute 'num-of-N((A1 <= 0.5) and (A2 <= 0.7))' {0,1,2}
@attribute 'num-of-N((A3 >= 0.44) and (A2 <= 0.68) and (A2 >= 0.11))' {0,1,2,3}
@attribute 'num-of-N((A1 <= 0.5) and (A3 >= 0.4) and (A2 <= 0.7))' {0,1,2,3}
@attribute 'A1 ADD A2' numeric
@attribute 'A2 ADD A3' numeric
@attribute 'A1 ADD A3' numeric
@attribute 'A1 SUBTRACT A2' numeric
@attribute 'A2 SUBTRACT A3' numeric
@attribute 'A1 SUBTRACT A3' numeric
@attribute 'A1 DIVIDE A2' numeric
@attribute 'A2 DIVIDE A1' numeric
@attribute 'A2 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A2' numeric
@attribute 'A1 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A1' numeric
@attribute 'A1 MULTIPLY A2' numeric
@attribute 'A2 MULTIPLY A3' numeric
@attribute 'A1 MULTIPLY A3' numeric
@attribute 'A1 LESSTHAN A2' {0,1}
@attribute 'A2 LESSTHAN A3' {0,1}
@attribute 'A1 LESSTHAN A3' {0,1}
@attribute 'A1 DIFF A2' {0,1}
@attribute 'A2 DIFF A3' {0,1}
@attribute 'A1 DIFF A3' {0,1}
@attribute A1_x_A2 {'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(0.505-inf)\'_x_\'(0.705-inf)\''}
@attribute A2_x_A3 {'\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.705-inf)\'_x_\'(-inf-0.395]\'','\'(0.705-inf)\'_x_\'(0.395-inf)\''}
@attribute A1_x_A3 {'\'(-inf-0.505]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(0.395-inf)\''}
@attribute class {0,1}

@data
0.67,0.43,1,0.25,0.58,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,3,2,1.1,1.43,1.67,0.24,-0.57,-0.33,1.55814,0.641791,0.43,2.325581,0.67,1.492537,0.2881,0.43,0.67,0,1,1,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.24,0.57,0.97,0.57,0.3,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.81,1.54,1.21,-0.33,-0.4,-0.73,0.421053,2.375,0.587629,1.701754,0.247423,4.041667,0.1368,0.5529,0.2328,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.79,0.95,0.87,0.83,0.33,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,1,1.74,1.82,1.66,-0.16,0.08,-0.08,0.831579,1.202532,1.091954,0.915789,0.908046,1.101266,0.7505,0.8265,0.6873,1,0,1,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.29,0.19,0.88,0.48,0.04,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.48,1.07,1.17,0.1,-0.69,-0.59,1.526316,0.655172,0.215909,4.631579,0.329545,3.034483,0.0551,0.1672,0.2552,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.27,0.5,0.8,0.92,0.44,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.77,1.3,1.07,-0.23,-0.3,-0.53,0.54,1.851852,0.625,1.6,0.3375,2.962963,0.135,0.4,0.216,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.29,0.46,0.28,0.09,0.77,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.75,0.74,0.57,-0.17,0.18,0.01,0.630435,1.586207,1.642857,0.608696,1.035714,0.965517,0.1334,0.1288,0.0812,1,0,0,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.46,0.12,0.94,0.27,0.07,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.58,1.06,1.4,0.34,-0.82,-0.48,3.833333,0.26087,0.12766,7.833333,0.489362,2.043478,0.0552,0.1128,0.4324,0,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0,0.34,1,0.83,0.07,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.34,1.34,1,-0.34,-0.66,-1,0,340282346638528860000000000000000000000,0.34,2.941176,0,340282346638528860000000000000000000000,0,0.34,0,1,1,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.77,0.41,0.19,0.16,0.07,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1.18,0.6,0.96,0.36,0.22,0.58,1.878049,0.532468,2.157895,0.463415,4.052632,0.246753,0.3157,0.0779,0.1463,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.27,0.27,0.46,0.32,0.88,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,3,3,0.54,0.73,0.73,0,-0.19,-0.19,1,1,0.586957,1.703704,0.586957,1.703704,0.0729,0.1242,0.1242,0,1,1,0,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',0
0.79,0.92,0.96,0.85,0.06,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,1,1.71,1.88,1.75,-0.13,-0.04,-0.17,0.858696,1.164557,0.958333,1.043478,0.822917,1.21519,0.7268,0.8832,0.7584,1,1,1,1,1,1,'\'(0.505-inf)\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.03,0.25,0.21,0.29,0.05,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,2,2,2,0.28,0.46,0.24,-0.22,0.04,-0.18,0.12,8.333333,1.190476,0.84,0.142857,7,0.0075,0.0525,0.0063,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(-inf-0.505]\'_x_\'(-inf-0.395]\'',1
0.53,0.68,0.07,0.19,0.67,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1.21,0.75,0.6,-0.15,0.61,0.46,0.779412,1.283019,9.714286,0.102941,7.571429,0.132075,0.3604,0.0476,0.0371,1,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.32,0.96,0.6,0.57,0.5,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,2,1,2,2,1.28,1.56,0.92,-0.64,0.36,-0.28,0.333333,3,1.6,0.625,0.533333,1.875,0.3072,0.576,0.192,1,0,1,1,1,1,'\'(-inf-0.505]\'_x_\'(0.705-inf)\'','\'(0.705-inf)\'_x_\'(0.395-inf)\'','\'(-inf-0.505]\'_x_\'(0.395-inf)\'',1
0.88,0.65,0,0.06,0.68,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1.53,0.65,0.88,0.23,0.65,0.88,1.353846,0.738636,340282346638528860000000000000000000000,0,340282346638528860000000000000000000000,0,0.572,0,0,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.73,0.7,0.11,0.4,0.65,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1.43,0.81,0.84,0.03,0.59,0.62,1.042857,0.958904,6.363636,0.157143,6.636364,0.150685,0.511,0.077,0.0803,0,0,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(-inf-0.395]\'','\'(0.505-inf)\'_x_\'(-inf-0.395]\'',1
0.77,0.5,0.66,0.77,0.61,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,3,2,1.27,1.16,1.43,0.27,-0.16,0.11,1.54,0.649351,0.757576,1.32,1.166667,0.857143,0.385,0.33,0.5082,0,1,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
0.62,0.27,0.69,0.45,0.83,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,3,2,0.89,0.96,1.31,0.35,-0.42,-0.07,2.296296,0.435484,0.391304,2.555556,0.898551,1.112903,0.1674,0.1863,0.4278,0,1,1,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
1,0,0.81,0.04,0.71,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,2,2,1,0.81,1.81,1,-0.81,0.19,340282346638528860000000000000000000000,0,0,340282346638528860000000000000000000000,1.234568,0.81,0,0,0.81,0,1,0,1,1,1,'\'(0.505-inf)\'_x_\'(-inf-0.705]\'','\'(-inf-0.705]\'_x_\'(0.395-inf)\'','\'(0.505-inf)\'_x_\'(0.395-inf)\'',1
