@relation 'modGroup-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NI1 and I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 and R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 and R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 or I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 or R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 or R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 equ I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 equ R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 equ R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 xor I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 xor R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 xor R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 impl I2-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI2 impl R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 impl R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 and I2 and R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-NI1 or I2 or R1-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 <= 0.140835) and (I2 >= 0.737664)-L0,1-C5-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 <= 0.313643) and (I2 >= 0.669821)-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 >= 0.372994) and (I2 <= 0.596417) and (I1 <= 0.640129) and (I2 >= 0.396389)-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I2 <= 0.304998) and (I1 >= 0.703413)-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I2 <= 0.594098) and (I1 >= 0.372994) and (I2 >= 0.38795) and (I1 <= 0.505561)-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 >= 0.408338) and (I2 <= 0.596417) and (I2 >= 0.403317) and (I1 <= 0.630798)-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-N(I1 <= 0.265298) and (I2 >= 0.669821)-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 <= 0.140835) and (I2 >= 0.737664))-L0,1,2-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 <= 0.313643) and (I2 >= 0.669821))-L0,1,2-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 >= 0.372994) and (I2 <= 0.596417) and (I1 <= 0.640129) and (I2 >= 0.396389))-L0,1,2,3,4-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I2 <= 0.304998) and (I1 >= 0.703413))-L0,1,2-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I2 <= 0.594098) and (I1 >= 0.372994) and (I2 >= 0.38795) and (I1 <= 0.505561))-L0,1,2,3,4-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 >= 0.408338) and (I2 <= 0.596417) and (I2 >= 0.403317) and (I1 <= 0.630798))-L0,1,2,3,4-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-Nnum-of-N((I1 <= 0.265298) and (I2 >= 0.669821))-L0,1,2-C18-W1.0-weka.filters.unsupervised.attribute.Add-NI1 ADD I2-C19-W1.0-weka.filters.unsupervised.attribute.Add-NI2 ADD R1-C20-W1.0-weka.filters.unsupervised.attribute.Add-NI1 ADD R1-C21-W1.0-weka.filters.unsupervised.attribute.Add-NI1 SUBTRACT I2-C22-W1.0-weka.filters.unsupervised.attribute.Add-NI2 SUBTRACT R1-C23-W1.0-weka.filters.unsupervised.attribute.Add-NI1 SUBTRACT R1-C24-W1.0-weka.filters.unsupervised.attribute.Add-NI1 DIVIDE I2-C25-W1.0-weka.filters.unsupervised.attribute.Add-NI2 DIVIDE I1-C26-W1.0-weka.filters.unsupervised.attribute.Add-NI2 DIVIDE R1-C27-W1.0-weka.filters.unsupervised.attribute.Add-NR1 DIVIDE I2-C28-W1.0-weka.filters.unsupervised.attribute.Add-NI1 DIVIDE R1-C29-W1.0-weka.filters.unsupervised.attribute.Add-NR1 DIVIDE I1-C30-W1.0-weka.filters.unsupervised.attribute.Add-NI1 MULTIPLY I2-C31-W1.0-weka.filters.unsupervised.attribute.Add-NI2 MULTIPLY R1-C32-W1.0-weka.filters.unsupervised.attribute.Add-NI1 MULTIPLY R1-C33-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NI1 LESSTHAN I2-L0,1-C34-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NI2 LESSTHAN R1-L0,1-C35-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NI1 LESSTHAN R1-L0,1-C36-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NI1 DIFF I2-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI2 DIFF R1-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI1 DIFF R1-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI1_x_I2-L\'All\'_x_\'All\'-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI2_x_R1-L\'All\'_x_\'All\'-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NI1_x_R1-L\'All\'_x_\'All\'-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37'

@attribute I1 numeric
@attribute I2 numeric
@attribute R1 numeric
@attribute R2 numeric
@attribute '(I1 <= 0.140835) and (I2 >= 0.737664)' {0,1}
@attribute '(I1 <= 0.313643) and (I2 >= 0.669821)' {0,1}
@attribute '(I1 >= 0.372994) and (I2 <= 0.596417) and (I1 <= 0.640129) and (I2 >= 0.396389)' {0,1}
@attribute '(I2 <= 0.304998) and (I1 >= 0.703413)' {0,1}
@attribute '(I2 <= 0.594098) and (I1 >= 0.372994) and (I2 >= 0.38795) and (I1 <= 0.505561)' {0,1}
@attribute '(I1 >= 0.408338) and (I2 <= 0.596417) and (I2 >= 0.403317) and (I1 <= 0.630798)' {0,1}
@attribute '(I1 <= 0.265298) and (I2 >= 0.669821)' {0,1}
@attribute 'num-of-N((I1 <= 0.140835) and (I2 >= 0.737664))' {0,1,2}
@attribute 'num-of-N((I1 <= 0.313643) and (I2 >= 0.669821))' {0,1,2}
@attribute 'num-of-N((I1 >= 0.372994) and (I2 <= 0.596417) and (I1 <= 0.640129) and (I2 >= 0.396389))' {0,1,2,3,4}
@attribute 'num-of-N((I2 <= 0.304998) and (I1 >= 0.703413))' {0,1,2}
@attribute 'num-of-N((I2 <= 0.594098) and (I1 >= 0.372994) and (I2 >= 0.38795) and (I1 <= 0.505561))' {0,1,2,3,4}
@attribute 'num-of-N((I1 >= 0.408338) and (I2 <= 0.596417) and (I2 >= 0.403317) and (I1 <= 0.630798))' {0,1,2,3,4}
@attribute 'num-of-N((I1 <= 0.265298) and (I2 >= 0.669821))' {0,1,2}
@attribute 'I1 ADD I2' numeric
@attribute 'I2 ADD R1' numeric
@attribute 'I1 ADD R1' numeric
@attribute 'I1 SUBTRACT I2' numeric
@attribute 'I2 SUBTRACT R1' numeric
@attribute 'I1 SUBTRACT R1' numeric
@attribute 'I1 DIVIDE I2' numeric
@attribute 'I2 DIVIDE I1' numeric
@attribute 'I2 DIVIDE R1' numeric
@attribute 'R1 DIVIDE I2' numeric
@attribute 'I1 DIVIDE R1' numeric
@attribute 'R1 DIVIDE I1' numeric
@attribute 'I1 MULTIPLY I2' numeric
@attribute 'I2 MULTIPLY R1' numeric
@attribute 'I1 MULTIPLY R1' numeric
@attribute 'I1 LESSTHAN I2' {0,1}
@attribute 'I2 LESSTHAN R1' {0,1}
@attribute 'I1 LESSTHAN R1' {0,1}
@attribute class {0,1,2}

@data
0.507397,0.499647,0.383815,0.221328,0,0,1,0,0,1,0,0,0,4,0,3,4,0,1.007044,0.883462,0.891212,0.00775,0.115832,0.123582,1.015511,0.984726,1.301791,0.768172,1.321983,0.756439,0.253519,0.191772,0.194747,0,0,0,2
0.795808,0.519813,0.548724,0.404491,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1.315621,1.068537,1.344532,0.275995,-0.028911,0.247084,1.530951,0.653189,0.947312,1.055618,1.450288,0.689518,0.413671,0.285234,0.436679,0,1,0,2
0.464533,0.191399,0.799286,0.782365,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0.655932,0.990685,1.263819,0.273134,-0.607887,-0.334753,2.42704,0.412025,0.239462,4.17602,0.581185,1.720623,0.088911,0.152983,0.371295,0,1,1,1
0.822775,0.162006,0.259475,0.470061,0,0,0,1,0,0,0,0,0,2,2,2,2,0,0.984781,0.421481,1.08225,0.660769,-0.097469,0.5633,5.07867,0.196902,0.624361,1.601638,3.170922,0.315366,0.133294,0.042037,0.21349,0,1,0,2
0.172383,0.406415,0.780752,0.46988,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.578798,1.187167,0.953135,-0.234032,-0.374337,-0.608369,0.424155,2.357628,0.520543,1.921071,0.220791,4.529171,0.070059,0.317309,0.134588,1,1,1,1
0.769032,0.863121,0.473664,0.576327,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.632153,1.336785,1.242696,-0.094089,0.389457,0.295368,0.89099,1.122347,1.822222,0.548781,1.623581,0.615922,0.663768,0.408829,0.364263,1,0,0,1
0.816596,0.146788,0.070739,0.231593,0,0,0,1,0,0,0,0,0,2,2,2,2,0,0.963384,0.217527,0.887335,0.669808,0.076049,0.745857,5.563098,0.179756,2.075065,0.481913,11.543788,0.086627,0.119866,0.010384,0.057765,0,0,0,2
0.549984,0.738637,0.812051,0.869424,0,0,0,0,0,0,0,1,1,3,0,2,3,1,1.288621,1.550688,1.362035,-0.188653,-0.073414,-0.262067,0.744593,1.343015,0.909594,1.099391,0.677278,1.476499,0.406239,0.599811,0.446615,1,1,1,0
0.514851,0.413399,0.824714,0.487424,0,0,1,0,0,1,0,0,0,4,0,3,4,0,0.92825,1.238113,1.339565,0.101452,-0.411315,-0.309863,1.245409,0.802949,0.501263,1.994959,0.624278,1.60185,0.212839,0.340936,0.424605,0,1,1,2
0.741401,0.863679,0.454044,0.804682,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.60508,1.317723,1.195445,-0.122278,0.409635,0.287357,0.858422,1.164928,1.902192,0.525709,1.632884,0.612414,0.640332,0.392148,0.336629,1,0,0,1
0.440748,0.214293,0.187256,0.499564,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0.655041,0.401549,0.628004,0.226455,0.027037,0.253492,2.056754,0.486203,1.144385,0.873832,2.353719,0.42486,0.094449,0.040128,0.082533,0,0,0,1
0.203073,0.506196,0.801184,0.126287,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.709269,1.30738,1.004257,-0.303123,-0.294988,-0.598111,0.401175,2.49268,0.63181,1.582755,0.253466,3.9453,0.102795,0.405556,0.162699,1,1,1,1
0.737248,0.151383,0.180305,0.475491,0,0,0,1,0,0,0,0,0,2,2,2,2,0,0.888631,0.331688,0.917553,0.585865,-0.028922,0.556943,4.870084,0.205335,0.839594,1.191052,4.088894,0.244565,0.111607,0.027295,0.13293,0,1,0,2
0.486005,0.802436,0.503929,0.858784,0,0,0,0,0,0,0,1,1,3,0,3,3,1,1.288441,1.306365,0.989934,-0.316431,0.298507,-0.017924,0.605662,1.651086,1.592359,0.627999,0.964431,1.03688,0.389988,0.404371,0.244912,1,0,1,0
0.550614,0.302547,0.453505,0.523952,0,0,0,0,0,0,0,0,0,3,1,2,3,0,0.853161,0.756052,1.004119,0.248067,-0.150958,0.097109,1.819929,0.549472,0.66713,1.498957,1.21413,0.823635,0.166587,0.137207,0.249706,0,1,0,1
0.782498,0.879851,0.490473,0.475287,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.662349,1.370324,1.272971,-0.097353,0.389378,0.292025,0.889353,1.124413,1.793883,0.55745,1.595395,0.626804,0.688482,0.431543,0.383794,1,0,0,1
0.153617,0.525148,0.884191,0.939396,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.678765,1.409339,1.037808,-0.371531,-0.359043,-0.730574,0.292521,3.418554,0.59393,1.683699,0.173737,5.755815,0.080672,0.464331,0.135827,1,1,1,1
0.825911,0.19406,0.499257,0.868422,0,0,0,1,0,0,0,0,0,2,2,2,2,0,1.019971,0.693317,1.325168,0.631851,-0.305197,0.326654,4.255957,0.234965,0.388698,2.572694,1.65428,0.604492,0.160276,0.096886,0.412342,0,1,0,2
0.867074,0.145963,0.441823,0.476894,0,0,0,1,0,0,0,0,0,2,2,2,2,0,1.013037,0.587786,1.308897,0.721111,-0.29586,0.425251,5.940368,0.16834,0.330365,3.026952,1.962492,0.509556,0.126561,0.06449,0.383093,0,1,0,2
0.640129,0.455925,0.163832,0.883894,0,0,1,0,0,0,0,0,0,4,0,3,3,0,1.096054,0.619757,0.803961,0.184204,0.292093,0.476297,1.404023,0.712239,2.782881,0.35934,3.907228,0.255936,0.291851,0.074695,0.104874,0,0,0,2
0.201043,0.533477,0.85705,0.250614,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.73452,1.390527,1.058093,-0.332434,-0.323573,-0.656007,0.376854,2.653547,0.622457,1.606536,0.234576,4.263018,0.107252,0.457216,0.172304,1,1,1,1
0.172644,0.573382,0.17676,0.13292,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.746026,0.750142,0.349404,-0.400738,0.396622,-0.004116,0.301098,3.321181,3.243845,0.308276,0.976714,1.023841,0.098991,0.101351,0.030517,1,0,1,0
0.513639,0.850762,0.13714,0.471451,0,0,0,0,0,0,0,1,1,3,0,2,3,1,1.364401,0.987902,0.650779,-0.337123,0.713622,0.376499,0.60374,1.656342,6.203602,0.161197,3.745362,0.266997,0.436985,0.116674,0.07044,1,0,0,0
0.157737,0.451364,0.816343,0.244557,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.609101,1.267707,0.97408,-0.293627,-0.364979,-0.658606,0.349467,2.861497,0.55291,1.808613,0.193224,5.175343,0.071197,0.368468,0.128767,1,1,1,1
0.911362,0.489315,0.235469,0.088515,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1.400677,0.724784,1.146831,0.422047,0.253846,0.675893,1.862526,0.536905,2.078044,0.481222,3.870412,0.25837,0.445943,0.115219,0.214597,0,0,0,0
0.783064,0.50886,0.50075,0.818226,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1.291924,1.00961,1.283814,0.274204,0.00811,0.282314,1.538859,0.649832,1.016196,0.984062,1.563782,0.639475,0.39847,0.254812,0.392119,0,0,0,0
0.126836,0.10248,0.819204,0.075661,0,0,0,0,0,0,0,1,1,2,1,2,2,1,0.229316,0.921684,0.94604,0.024356,-0.716724,-0.692368,1.237666,0.807972,0.125097,7.993794,0.154828,6.458766,0.012998,0.083952,0.103905,0,1,1,0
0.758945,0.575653,0.422817,0.812344,0,0,0,0,0,0,0,0,0,3,1,3,3,0,1.334598,0.99847,1.181762,0.183292,0.152836,0.336128,1.318407,0.758491,1.361471,0.7345,1.794973,0.557112,0.436889,0.243396,0.320895,0,0,0,0
0.213101,0.158799,0.814963,0.131606,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0.3719,0.973762,1.028064,0.054302,-0.656164,-0.601862,1.341954,0.745182,0.194854,5.132041,0.261485,3.824304,0.03384,0.129415,0.173669,0,1,1,0
0.241441,0.130269,0.180727,0.489548,0,0,0,0,0,0,0,0,1,2,1,2,2,1,0.37171,0.310996,0.422168,0.111172,-0.050458,0.060714,1.853403,0.539548,0.720805,1.387337,1.335943,0.748535,0.031452,0.023543,0.043635,0,1,0,0
0.778945,0.77899,0.501608,0.477082,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1.557935,1.280598,1.280553,-0.000045,0.277382,0.277337,0.999942,1.000058,1.552986,0.643921,1.552896,0.643958,0.60679,0.390748,0.390725,1,0,0,1
0.784203,0.126288,0.846141,0.971242,0,0,0,1,0,0,0,0,0,2,2,2,2,0,0.910491,0.972429,1.630344,0.657915,-0.719853,-0.061938,6.20964,0.16104,0.149252,6.70009,0.926799,1.078982,0.099035,0.106857,0.663546,0,1,1,2
0.161805,0.480232,0.910473,0.824413,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.642037,1.390705,1.072278,-0.318427,-0.430241,-0.748668,0.336931,2.967968,0.527453,1.895902,0.177715,5.626977,0.077704,0.437238,0.147319,1,1,1,1
0.823076,0.224231,0.379411,0.066146,0,0,0,1,0,0,0,0,0,2,2,2,2,0,1.047307,0.603642,1.202487,0.598845,-0.15518,0.443665,3.670661,0.27243,0.590998,1.692054,2.169352,0.460967,0.184559,0.085076,0.312284,0,1,0,2
0.25921,0.458929,0.380024,0.821734,0,0,0,0,0,0,0,0,1,3,0,3,3,1,0.718139,0.838953,0.639234,-0.199719,0.078905,-0.120814,0.564815,1.770491,1.207632,0.828067,0.682088,1.466085,0.118959,0.174404,0.098506,1,0,1,1
