@relation 'if(A1==1 || A2==1 || A3==1) then 1 else 0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA1 and A2-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 and A3-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 and A3-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 or A2-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 or A3-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 or A3-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 equ A2-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 equ A3-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 equ A3-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 xor A2-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 xor A3-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 xor A3-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 impl A2-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 impl A3-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 impl A3-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 and A2 and A3-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 or A2 or A3-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L0_x_0,0_x_1,1_x_0,1_x_1-C23-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L0_x_0,0_x_1,1_x_0,1_x_1-C24-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L0_x_0,0_x_1,1_x_0,1_x_1-C25-W1.0'

@attribute A1 {0,1}
@attribute A2 {0,1}
@attribute A3 {0,1}
@attribute A4 {0,1}
@attribute A5 numeric
@attribute 'A1 and A2' {0,1}
@attribute 'A2 and A3' {0,1}
@attribute 'A1 and A3' {0,1}
@attribute 'A1 or A2' {0,1}
@attribute 'A2 or A3' {0,1}
@attribute 'A1 or A3' {0,1}
@attribute 'A1 equ A2' {0,1}
@attribute 'A2 equ A3' {0,1}
@attribute 'A1 equ A3' {0,1}
@attribute 'A1 xor A2' {0,1}
@attribute 'A2 xor A3' {0,1}
@attribute 'A1 xor A3' {0,1}
@attribute 'A1 impl A2' {0,1}
@attribute 'A2 impl A3' {0,1}
@attribute 'A1 impl A3' {0,1}
@attribute 'A1 and A2 and A3' {0,1}
@attribute 'A1 or A2 or A3' {0,1}
@attribute A1_x_A2 {0_x_0,0_x_1,1_x_0,1_x_1}
@attribute A2_x_A3 {0_x_0,0_x_1,1_x_0,1_x_1}
@attribute A1_x_A3 {0_x_0,0_x_1,1_x_0,1_x_1}
@attribute class numeric

@data
1,1,0,1,0.566884,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1_x_1,1_x_0,1_x_0,1
1,1,1,0,0.987003,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,1,1,0,0.486238,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,1_x_1,0_x_1,1
1,1,1,0,0.505175,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
1,1,1,1,0.4849,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,1,1,1,0.562081,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,1_x_1,0_x_1,1
1,1,1,1,0.765006,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1_x_1,1_x_1,1_x_1,1
0,1,0,0,0.058994,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,0_x_0,1
1,1,0,1,0.367471,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1_x_1,1_x_0,1_x_0,1
1,0,0,1,0.523589,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,0_x_0,1_x_0,1
1,0,1,0,0.571406,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,1_x_1,1
0,1,1,0,0.240874,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,1_x_1,0_x_1,1
1,0,1,1,0.04181,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,1_x_1,1
1,0,0,0,0.71164,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1_x_0,0_x_0,1_x_0,1
0,1,0,0,0.016405,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0_x_1,1_x_0,0_x_0,1
0,0,1,1,0.479336,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0_x_0,0_x_1,0_x_1,1
1,1,0,0,0.352266,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1_x_1,1_x_0,1_x_0,1
1,1,0,0,0.085997,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1_x_1,1_x_0,1_x_0,1
0,1,1,1,0.858174,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0_x_1,1_x_1,0_x_1,1
1,0,1,1,0.574965,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,1_x_1,1
0,0,1,1,0.700104,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0_x_0,0_x_1,0_x_1,1
0,0,0,0,0.303497,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0_x_0,0_x_0,0_x_0,0
1,0,1,1,0.168639,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1_x_0,0_x_1,1_x_1,1
