@relation 'Linear function with noise: A1 + 2*A2 + 3*A3 = R; randomly chosen value from the interval [-0.1,0.1] is added to the attribute value-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.498307-inf) and A3==(0.497679-inf)-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) and A2==(0.498307-inf)-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) and A3==(0.497679-inf)-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.498307-inf) or A3==(0.497679-inf)-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) or A2==(0.498307-inf)-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) or A3==(0.497679-inf)-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.498307-inf) equ A3==(0.497679-inf)-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) equ A2==(0.498307-inf)-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) equ A3==(0.497679-inf)-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.498307-inf) xor A3==(0.497679-inf)-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) xor A2==(0.498307-inf)-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) xor A3==(0.497679-inf)-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.498307-inf) impl A3==(0.497679-inf)-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) impl A2==(0.498307-inf)-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) impl A3==(0.497679-inf)-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) and A2==(0.498307-inf) and A3==(0.497679-inf)-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.511591-inf) or A2==(0.498307-inf) or A3==(0.497679-inf)-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-NA2 ADD A3-C23-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A2-C24-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A3-C25-W1.0-weka.filters.unsupervised.attribute.Add-NA2 SUBTRACT A3-C26-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A2-C27-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A3-C28-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A3-C29-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A2-C30-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A2-C31-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A1-C32-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A3-C33-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A1-C34-W1.0-weka.filters.unsupervised.attribute.Add-NA2 MULTIPLY A3-C35-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A2-C36-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A3-C37-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 LESSTHAN A3-L0,1-C38-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A2-L0,1-C39-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A3-L0,1-C40-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 DIFF A3-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A2-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A3-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L\'(-inf-0.498307]\'_x_\'(-inf-0.497679]\',\'(-inf-0.498307]\'_x_\'(0.497679-inf)\',\'(0.498307-inf)\'_x_\'(-inf-0.497679]\',\'(0.498307-inf)\'_x_\'(0.497679-inf)\'-C41-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L\'(-inf-0.511591]\'_x_\'(-inf-0.498307]\',\'(-inf-0.511591]\'_x_\'(0.498307-inf)\',\'(0.511591-inf)\'_x_\'(-inf-0.498307]\',\'(0.511591-inf)\'_x_\'(0.498307-inf)\'-C42-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L\'(-inf-0.511591]\'_x_\'(-inf-0.497679]\',\'(-inf-0.511591]\'_x_\'(0.497679-inf)\',\'(0.511591-inf)\'_x_\'(-inf-0.497679]\',\'(0.511591-inf)\'_x_\'(0.497679-inf)\'-C43-W1.0'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute F1L1 {0,1}
@attribute F2L1 {0,1}
@attribute F3L1 {0,1}
@attribute F4L1 {0,1}
@attribute F5L1 {0,1}
@attribute F6L1 {0,1}
@attribute F7L1 {0,1}
@attribute F8L1 {0,1}
@attribute F9L1 {0,1}
@attribute F10L1 {0,1}
@attribute F11L1 {0,1}
@attribute F12L1 {0,1}
@attribute F13L1 {0,1}
@attribute F14L1 {0,1}
@attribute F15L1 {0,1}
@attribute F16L1 {0,1}
@attribute F17L1 {0,1}
@attribute F18L1 numeric
@attribute F19L1 numeric
@attribute F20L1 numeric
@attribute F21L1 numeric
@attribute F22L1 numeric
@attribute F23L1 numeric
@attribute F24L1 numeric
@attribute F25L1 numeric
@attribute F26L1 numeric
@attribute F27L1 numeric
@attribute F28L1 numeric
@attribute F29L1 numeric
@attribute F30L1 numeric
@attribute F31L1 numeric
@attribute F32L1 numeric
@attribute F33L1 {0,1}
@attribute F34L1 {0,1}
@attribute F35L1 {0,1}
@attribute F36L1 {'\'(-inf-0.498307]\'_x_\'(-inf-0.497679]\'','\'(-inf-0.498307]\'_x_\'(0.497679-inf)\'','\'(0.498307-inf)\'_x_\'(-inf-0.497679]\'','\'(0.498307-inf)\'_x_\'(0.497679-inf)\''}
@attribute F37L1 {'\'(-inf-0.511591]\'_x_\'(-inf-0.498307]\'','\'(-inf-0.511591]\'_x_\'(0.498307-inf)\'','\'(0.511591-inf)\'_x_\'(-inf-0.498307]\'','\'(0.511591-inf)\'_x_\'(0.498307-inf)\''}
@attribute F38L1 {'\'(-inf-0.511591]\'_x_\'(-inf-0.497679]\'','\'(-inf-0.511591]\'_x_\'(0.497679-inf)\'','\'(0.511591-inf)\'_x_\'(-inf-0.497679]\'','\'(0.511591-inf)\'_x_\'(0.497679-inf)\''}
@attribute class numeric

@data
0.974519,0.843477,0.402573,0.248554,0.604042,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1.24605,1.817996,1.377092,0.440904,0.131042,0.571946,2.095215,0.477278,1.155359,0.865532,2.420726,0.413099,0.339561,0.821984,0.392315,0,0,0,'\'(0.498307-inf)\'_x_\'(-inf-0.497679]\'','\'(0.511591-inf)\'_x_\'(0.498307-inf)\'','\'(0.511591-inf)\'_x_\'(-inf-0.497679]\'',3.831293
0.62742,0.504434,0.798109,0.572677,0.824975,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.302543,1.131854,1.425529,-0.293675,0.122986,-0.170689,0.632036,1.582187,1.24381,0.803981,0.786133,1.272049,0.402593,0.316492,0.50075,1,0,1,'\'(0.498307-inf)\'_x_\'(0.497679-inf)\'','\'(0.511591-inf)\'_x_\'(0.498307-inf)\'','\'(0.511591-inf)\'_x_\'(0.497679-inf)\'',3.806534
0.649222,0.201499,0.380611,0.276207,0.913633,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0.58211,0.850721,1.029833,-0.179112,0.447723,0.268611,0.529409,1.888898,3.221961,0.31037,1.705736,0.586257,0.076693,0.130818,0.247101,1,0,0,'\'(-inf-0.498307]\'_x_\'(-inf-0.497679]\'','\'(0.511591-inf)\'_x_\'(-inf-0.498307]\'','\'(0.511591-inf)\'_x_\'(-inf-0.497679]\'',2.165848
0.766484,0.077976,0.608859,0.906162,0.269986,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0.686835,0.84446,1.375343,-0.530883,0.688508,0.157625,0.128069,7.808287,9.829742,0.101732,1.258886,0.794353,0.047476,0.059767,0.466681,1,0,0,'\'(-inf-0.498307]\'_x_\'(0.497679-inf)\'','\'(0.511591-inf)\'_x_\'(-inf-0.498307]\'','\'(0.511591-inf)\'_x_\'(0.497679-inf)\'',2.907644
0.796572,0.528495,0.966464,0.0405,0.067238,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.494959,1.325067,1.763036,-0.437969,0.268077,-0.169892,0.546834,1.82871,1.507246,0.663462,0.824213,1.213279,0.510771,0.420984,0.769858,1,0,1,'\'(0.498307-inf)\'_x_\'(0.497679-inf)\'','\'(0.511591-inf)\'_x_\'(0.498307-inf)\'','\'(0.511591-inf)\'_x_\'(0.497679-inf)\'',4.989747
0.719131,0.460989,0.424875,0.868577,0.711051,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0.885864,1.18012,1.144006,0.036114,0.258142,0.294256,1.084999,0.92166,1.559974,0.641036,1.692571,0.590817,0.195863,0.331511,0.305541,0,0,0,'\'(-inf-0.498307]\'_x_\'(-inf-0.497679]\'','\'(0.511591-inf)\'_x_\'(-inf-0.498307]\'','\'(0.511591-inf)\'_x_\'(-inf-0.497679]\'',2.561021
0.444559,1.014271,0.169597,1.048246,0.391559,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1.183868,1.45883,0.614156,0.844674,-0.569712,0.274962,5.980477,0.167211,0.438304,2.281522,2.621267,0.381495,0.172017,0.450903,0.075396,0,1,0,'\'(0.498307-inf)\'_x_\'(-inf-0.497679]\'','\'(-inf-0.511591]\'_x_\'(0.498307-inf)\'','\'(-inf-0.511591]\'_x_\'(-inf-0.497679]\'',3.024921
0.697209,0.610768,0.775362,0.535518,0.583684,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.38613,1.307977,1.472571,-0.164594,0.086441,-0.078153,0.78772,1.269487,1.141528,0.876019,0.899205,1.112094,0.473566,0.425833,0.540589,1,0,1,'\'(0.498307-inf)\'_x_\'(0.497679-inf)\'','\'(0.511591-inf)\'_x_\'(0.498307-inf)\'','\'(0.511591-inf)\'_x_\'(0.497679-inf)\'',4.052616
0.138413,0.471463,0.825383,0.890753,0.553046,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1.296846,0.609876,0.963796,-0.35392,-0.33305,-0.68697,0.571205,1.750685,0.293582,3.406205,0.167695,5.96319,0.389138,0.065257,0.114244,1,1,1,'\'(-inf-0.498307]\'_x_\'(0.497679-inf)\'','\'(-inf-0.511591]\'_x_\'(-inf-0.498307]\'','\'(-inf-0.511591]\'_x_\'(0.497679-inf)\'',3.355667
0.912182,0.553811,0.618466,0.270118,0.573172,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.172277,1.465993,1.530648,-0.064655,0.358371,0.293716,0.895459,1.116746,1.6471,0.607128,1.474911,0.678007,0.342513,0.505176,0.564154,1,0,0,'\'(0.498307-inf)\'_x_\'(0.497679-inf)\'','\'(0.511591-inf)\'_x_\'(0.498307-inf)\'','\'(0.511591-inf)\'_x_\'(0.497679-inf)\'',3.767464
0.235602,0.933548,0.120065,0.696587,0.972967,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1.053613,1.16915,0.355667,0.813483,-0.697946,0.115537,7.775355,0.128611,0.252373,3.962394,1.962287,0.509609,0.112086,0.219946,0.028288,0,1,0,'\'(0.498307-inf)\'_x_\'(-inf-0.497679]\'','\'(-inf-0.511591]\'_x_\'(0.498307-inf)\'','\'(-inf-0.511591]\'_x_\'(-inf-0.497679]\'',2.552469
0.875951,0.296898,-0.017176,0.473731,0.398748,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0.279722,1.172849,0.858775,0.314074,0.579053,0.893127,-17.285631,-0.057852,2.950343,0.338944,-50.998544,-0.019608,-0.0051,0.260068,-0.015045,0,0,0,'\'(-inf-0.498307]\'_x_\'(-inf-0.497679]\'','\'(0.511591-inf)\'_x_\'(-inf-0.498307]\'','\'(0.511591-inf)\'_x_\'(-inf-0.497679]\'',1.665724
0.625961,0.21842,0.550804,0.279521,0.548355,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0.769224,0.844381,1.176765,-0.332384,0.407541,0.075157,0.396548,2.521765,2.865859,0.348935,1.13645,0.879933,0.120307,0.136722,0.344782,1,0,0,'\'(-inf-0.498307]\'_x_\'(0.497679-inf)\'','\'(0.511591-inf)\'_x_\'(-inf-0.498307]\'','\'(0.511591-inf)\'_x_\'(0.497679-inf)\'',2.443367
0.84435,0.368107,1.00032,0.69647,0.440512,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1.368427,1.212457,1.84467,-0.632213,0.476243,-0.15597,0.367989,2.717471,2.293762,0.435965,0.84408,1.184722,0.368225,0.310811,0.84462,1,0,1,'\'(-inf-0.498307]\'_x_\'(0.497679-inf)\'','\'(0.511591-inf)\'_x_\'(-inf-0.498307]\'','\'(0.511591-inf)\'_x_\'(0.497679-inf)\'',4.658442
0.676788,0.434628,0.058735,0.957797,0.81422,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0.493363,1.111416,0.735523,0.375893,0.24216,0.618053,7.399813,0.135139,1.557166,0.642192,11.522738,0.086785,0.025528,0.294151,0.039751,0,0,0,'\'(-inf-0.498307]\'_x_\'(-inf-0.497679]\'','\'(0.511591-inf)\'_x_\'(-inf-0.498307]\'','\'(0.511591-inf)\'_x_\'(-inf-0.497679]\'',1.483974
