@relation 'if(A1 == 0 ||  A2 == 0) then R=5*A1 + A2 else if(A1 == 0 ||  A2 == 1) then //R=A1 - 4*A2 else if(A1 == 1 ||  A2 == 0) then //R=2*A1 + 8*A2 else if(A1 == 1 ||  A2 == 1) then R=-2*A1 - 3*A2 -weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA3 and A4-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) and A3-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) and A2==(0.49991-inf)-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) and A4-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) and A3-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) and A4-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA3 or A4-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) or A3-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) or A2==(0.49991-inf)-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) or A4-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) or A3-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) or A4-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA3 equ A4-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) equ A3-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) equ A2==(0.49991-inf)-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) equ A4-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) equ A3-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) equ A4-L0,1-C23-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA3 xor A4-L0,1-C24-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) xor A3-L0,1-C25-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) xor A2==(0.49991-inf)-L0,1-C26-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) xor A4-L0,1-C27-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) xor A3-L0,1-C28-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) xor A4-L0,1-C29-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA3 impl A4-L0,1-C30-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) impl A3-L0,1-C31-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) impl A2==(0.49991-inf)-L0,1-C32-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) impl A4-L0,1-C33-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) impl A3-L0,1-C34-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) impl A4-L0,1-C35-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) and A3 and A4-L0,1-C36-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) and A2==(0.49991-inf) and A4-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) and A3 and A4-L0,1-C38-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.49991-inf) or A3 or A4-L0,1-C39-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) or A2==(0.49991-inf) or A4-L0,1-C40-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.50008-inf) or A3 or A4-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A2-C42-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A2-C43-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A2-C44-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A1-C45-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A2-C46-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A2-L0,1-C47-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A2-L0,1-C48-W1.0-weka.filters.unsupervised.attribute.Remove-R48-weka.filters.unsupervised.attribute.Add-TNOM-NA3_x_A4-L0_x_0,0_x_1,1_x_0,1_x_1-C48-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L\'(-inf-0.49991]\'_x_0,\'(-inf-0.49991]\'_x_1,\'(0.49991-inf)\'_x_0,\'(0.49991-inf)\'_x_1-C49-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L\'(-inf-0.50008]\'_x_\'(-inf-0.49991]\',\'(-inf-0.50008]\'_x_\'(0.49991-inf)\',\'(0.50008-inf)\'_x_\'(-inf-0.49991]\',\'(0.50008-inf)\'_x_\'(0.49991-inf)\'-C50-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A4-L\'(-inf-0.49991]\'_x_0,\'(-inf-0.49991]\'_x_1,\'(0.49991-inf)\'_x_0,\'(0.49991-inf)\'_x_1-C51-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L\'(-inf-0.50008]\'_x_0,\'(-inf-0.50008]\'_x_1,\'(0.50008-inf)\'_x_0,\'(0.50008-inf)\'_x_1-C52-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A4-L\'(-inf-0.50008]\'_x_0,\'(-inf-0.50008]\'_x_1,\'(0.50008-inf)\'_x_0,\'(0.50008-inf)\'_x_1-C53-W1.0'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 {0,1}
@attribute A4 {0,1}
@attribute A5 numeric
@attribute F1L1 {0,1}
@attribute F2L1 {0,1}
@attribute F3L1 {0,1}
@attribute F4L1 {0,1}
@attribute F5L1 {0,1}
@attribute F6L1 {0,1}
@attribute F7L1 {0,1}
@attribute F8L1 {0,1}
@attribute F9L1 {0,1}
@attribute F10L1 {0,1}
@attribute F11L1 {0,1}
@attribute F12L1 {0,1}
@attribute F13L1 {0,1}
@attribute F14L1 {0,1}
@attribute F15L1 {0,1}
@attribute F16L1 {0,1}
@attribute F17L1 {0,1}
@attribute F18L1 {0,1}
@attribute F19L1 {0,1}
@attribute F20L1 {0,1}
@attribute F21L1 {0,1}
@attribute F22L1 {0,1}
@attribute F23L1 {0,1}
@attribute F24L1 {0,1}
@attribute F25L1 {0,1}
@attribute F26L1 {0,1}
@attribute F27L1 {0,1}
@attribute F28L1 {0,1}
@attribute F29L1 {0,1}
@attribute F30L1 {0,1}
@attribute F31L1 {0,1}
@attribute F32L1 {0,1}
@attribute F33L1 {0,1}
@attribute F34L1 {0,1}
@attribute F35L1 {0,1}
@attribute F36L1 {0,1}
@attribute F37L1 numeric
@attribute F38L1 numeric
@attribute F39L1 numeric
@attribute F40L1 numeric
@attribute F41L1 numeric
@attribute F42L1 {0,1}
@attribute F43L1 {0_x_0,0_x_1,1_x_0,1_x_1}
@attribute F44L1 {'\'(-inf-0.49991]\'_x_0','\'(-inf-0.49991]\'_x_1','\'(0.49991-inf)\'_x_0','\'(0.49991-inf)\'_x_1'}
@attribute F45L1 {'\'(-inf-0.50008]\'_x_\'(-inf-0.49991]\'','\'(-inf-0.50008]\'_x_\'(0.49991-inf)\'','\'(0.50008-inf)\'_x_\'(-inf-0.49991]\'','\'(0.50008-inf)\'_x_\'(0.49991-inf)\''}
@attribute F46L1 {'\'(-inf-0.49991]\'_x_0','\'(-inf-0.49991]\'_x_1','\'(0.49991-inf)\'_x_0','\'(0.49991-inf)\'_x_1'}
@attribute F47L1 {'\'(-inf-0.50008]\'_x_0','\'(-inf-0.50008]\'_x_1','\'(0.50008-inf)\'_x_0','\'(0.50008-inf)\'_x_1'}
@attribute F48L1 {'\'(-inf-0.50008]\'_x_0','\'(-inf-0.50008]\'_x_1','\'(0.50008-inf)\'_x_0','\'(0.50008-inf)\'_x_1'}
@attribute class numeric

@data
0.306388,0.13942,1,1,0.112469,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0.445808,0.166968,2.19759,0.455044,0.042717,0,1_x_1,'\'(-inf-0.49991]\'_x_1','\'(-inf-0.50008]\'_x_\'(-inf-0.49991]\'','\'(-inf-0.49991]\'_x_1','\'(-inf-0.50008]\'_x_1','\'(-inf-0.50008]\'_x_1',-1.031035
0.019651,0.972754,0,0,0.149183,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0.992405,-0.953103,0.020201,49.501501,0.019116,1,0_x_0,'\'(0.49991-inf)\'_x_0','\'(-inf-0.50008]\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_0','\'(-inf-0.50008]\'_x_0','\'(-inf-0.50008]\'_x_0',1.07101
0.311528,0.561597,1,0,0.17842,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0.873125,-0.250069,0.554718,1.802718,0.174953,1,1_x_0,'\'(0.49991-inf)\'_x_1','\'(-inf-0.50008]\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_0','\'(-inf-0.50008]\'_x_1','\'(-inf-0.50008]\'_x_0',5.115832
0.605777,0.658821,0,0,0.630065,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1.264598,-0.053044,0.919486,1.087564,0.399099,1,0_x_0,'\'(0.49991-inf)\'_x_0','\'(0.50008-inf)\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_0','\'(0.50008-inf)\'_x_0','\'(0.50008-inf)\'_x_0',3.687708
0.392154,0.535459,1,0,0.360574,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0.927613,-0.143305,0.73237,1.36543,0.209982,1,1_x_0,'\'(0.49991-inf)\'_x_1','\'(-inf-0.50008]\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_0','\'(-inf-0.50008]\'_x_1','\'(-inf-0.50008]\'_x_0',5.06798
0.004242,0.651339,0,1,0.128598,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0.655581,-0.647097,0.006513,153.545262,0.002763,1,0_x_1,'\'(0.49991-inf)\'_x_0','\'(-inf-0.50008]\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_1','\'(-inf-0.50008]\'_x_0','\'(-inf-0.50008]\'_x_1',-2.601114
0.551267,0.010869,1,0,0.216077,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0.562136,0.540398,50.719201,0.019716,0.005992,0,1_x_0,'\'(-inf-0.49991]\'_x_1','\'(0.50008-inf)\'_x_\'(-inf-0.49991]\'','\'(-inf-0.49991]\'_x_0','\'(0.50008-inf)\'_x_1','\'(0.50008-inf)\'_x_0',1.189489
0.794176,0.651623,1,1,0.031226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1.445799,0.142553,1.218766,0.820502,0.517503,0,1_x_1,'\'(0.49991-inf)\'_x_1','\'(0.50008-inf)\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_1','\'(0.50008-inf)\'_x_1','\'(0.50008-inf)\'_x_1',-3.543223
0.6711,0.151093,0,0,0.134921,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0.822193,0.520007,4.441635,0.225142,0.101399,0,0_x_0,'\'(-inf-0.49991]\'_x_0','\'(0.50008-inf)\'_x_\'(-inf-0.49991]\'','\'(-inf-0.49991]\'_x_0','\'(0.50008-inf)\'_x_0','\'(0.50008-inf)\'_x_0',3.506591
0.336885,0.852398,1,1,0.045924,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1.189283,-0.515513,0.39522,2.530234,0.28716,1,1_x_1,'\'(0.49991-inf)\'_x_1','\'(-inf-0.50008]\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_1','\'(-inf-0.50008]\'_x_1','\'(-inf-0.50008]\'_x_1',-3.230965
0.513909,0.581022,0,0,0.155904,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1.094931,-0.067113,0.884491,1.130593,0.298592,1,0_x_0,'\'(0.49991-inf)\'_x_0','\'(0.50008-inf)\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_0','\'(0.50008-inf)\'_x_0','\'(0.50008-inf)\'_x_0',3.150566
0.850758,0.432627,1,0,0.110058,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1.283385,0.418131,1.966493,0.508519,0.368061,0,1_x_0,'\'(-inf-0.49991]\'_x_1','\'(0.50008-inf)\'_x_\'(-inf-0.49991]\'','\'(-inf-0.49991]\'_x_0','\'(0.50008-inf)\'_x_1','\'(0.50008-inf)\'_x_0',5.162529
0.976925,0.290935,1,1,0.775534,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1.26786,0.68599,3.357881,0.297807,0.284222,0,1_x_1,'\'(-inf-0.49991]\'_x_1','\'(0.50008-inf)\'_x_\'(-inf-0.49991]\'','\'(-inf-0.49991]\'_x_1','\'(0.50008-inf)\'_x_1','\'(0.50008-inf)\'_x_1',-2.826656
0.06545,0.892748,0,0,0.904542,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0.958198,-0.827298,0.073313,13.640153,0.05843,1,0_x_0,'\'(0.49991-inf)\'_x_0','\'(-inf-0.50008]\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_0','\'(-inf-0.50008]\'_x_0','\'(-inf-0.50008]\'_x_0',1.219998
0.195953,0.04037,1,1,0.443811,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0.236323,0.155583,4.853926,0.206019,0.007911,0,1_x_1,'\'(-inf-0.49991]\'_x_1','\'(-inf-0.50008]\'_x_\'(-inf-0.49991]\'','\'(-inf-0.49991]\'_x_1','\'(-inf-0.50008]\'_x_1','\'(-inf-0.50008]\'_x_1',-0.513015
0.209915,0.713407,1,0,0.358843,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0.923322,-0.503492,0.294243,3.398552,0.149755,1,1_x_0,'\'(0.49991-inf)\'_x_1','\'(-inf-0.50008]\'_x_\'(0.49991-inf)\'','\'(0.49991-inf)\'_x_0','\'(-inf-0.50008]\'_x_1','\'(-inf-0.50008]\'_x_0',6.127086
0.882713,0.03488,0,0,0.044956,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0.917593,0.847833,25.307139,0.039515,0.030789,0,0_x_0,'\'(-inf-0.49991]\'_x_0','\'(0.50008-inf)\'_x_\'(-inf-0.49991]\'','\'(-inf-0.49991]\'_x_0','\'(0.50008-inf)\'_x_0','\'(0.50008-inf)\'_x_0',4.448448
0.257439,0.01289,1,0,0.100495,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0.270329,0.244549,19.971994,0.05007,0.003318,0,1_x_0,'\'(-inf-0.49991]\'_x_1','\'(-inf-0.50008]\'_x_\'(-inf-0.49991]\'','\'(-inf-0.49991]\'_x_0','\'(-inf-0.50008]\'_x_1','\'(-inf-0.50008]\'_x_0',0.618001
