@relation 'Non Linear function: 2*A1^2 - 3*A2^2 - A3 = R-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) and A2==(0.500065-inf)-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) and A3==(0.499977-inf)-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) and A3==(0.499977-inf)-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) or A2==(0.500065-inf)-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) or A3==(0.499977-inf)-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) or A3==(0.499977-inf)-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) equ A2==(0.500065-inf)-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) equ A3==(0.499977-inf)-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) equ A3==(0.499977-inf)-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) xor A2==(0.500065-inf)-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) xor A3==(0.499977-inf)-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) xor A3==(0.499977-inf)-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) impl A2==(0.500065-inf)-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500065-inf) impl A3==(0.499977-inf)-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) impl A3==(0.499977-inf)-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) and A2==(0.500065-inf) and A3==(0.499977-inf)-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.5-inf) or A2==(0.500065-inf) or A3==(0.499977-inf)-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A2-C23-W1.0-weka.filters.unsupervised.attribute.Add-NA2 ADD A3-C24-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A3-C25-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A2-C26-W1.0-weka.filters.unsupervised.attribute.Add-NA2 SUBTRACT A3-C27-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A3-C28-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A2-C29-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A1-C30-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A3-C31-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A2-C32-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A3-C33-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A1-C34-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A2-C35-W1.0-weka.filters.unsupervised.attribute.Add-NA2 MULTIPLY A3-C36-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A3-C37-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A2-L0,1-C38-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 LESSTHAN A3-L0,1-C39-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A3-L0,1-C40-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A2-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA2 DIFF A3-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A3-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L\'(-inf-0.5]\'_x_\'(-inf-0.500065]\',\'(-inf-0.5]\'_x_\'(0.500065-inf)\',\'(0.5-inf)\'_x_\'(-inf-0.500065]\',\'(0.5-inf)\'_x_\'(0.500065-inf)\'-C41-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\',\'(-inf-0.500065]\'_x_\'(0.499977-inf)\',\'(0.500065-inf)\'_x_\'(-inf-0.499977]\',\'(0.500065-inf)\'_x_\'(0.499977-inf)\'-C42-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L\'(-inf-0.5]\'_x_\'(-inf-0.499977]\',\'(-inf-0.5]\'_x_\'(0.499977-inf)\',\'(0.5-inf)\'_x_\'(-inf-0.499977]\',\'(0.5-inf)\'_x_\'(0.499977-inf)\'-C43-W1.0'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute 'A1==(0.5-inf) and A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) and A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) and A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) or A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) or A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) or A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) equ A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) equ A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) equ A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) xor A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) xor A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) xor A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) impl A2==(0.500065-inf)' {0,1}
@attribute 'A2==(0.500065-inf) impl A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) impl A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) and A2==(0.500065-inf) and A3==(0.499977-inf)' {0,1}
@attribute 'A1==(0.5-inf) or A2==(0.500065-inf) or A3==(0.499977-inf)' {0,1}
@attribute 'A1 ADD A2' numeric
@attribute 'A2 ADD A3' numeric
@attribute 'A1 ADD A3' numeric
@attribute 'A1 SUBTRACT A2' numeric
@attribute 'A2 SUBTRACT A3' numeric
@attribute 'A1 SUBTRACT A3' numeric
@attribute 'A1 DIVIDE A2' numeric
@attribute 'A2 DIVIDE A1' numeric
@attribute 'A2 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A2' numeric
@attribute 'A1 DIVIDE A3' numeric
@attribute 'A3 DIVIDE A1' numeric
@attribute 'A1 MULTIPLY A2' numeric
@attribute 'A2 MULTIPLY A3' numeric
@attribute 'A1 MULTIPLY A3' numeric
@attribute 'A1 LESSTHAN A2' {0,1}
@attribute 'A2 LESSTHAN A3' {0,1}
@attribute 'A1 LESSTHAN A3' {0,1}
@attribute A1_x_A2 {'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(0.5-inf)\'_x_\'(0.500065-inf)\''}
@attribute A2_x_A3 {'\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\''}
@attribute A1_x_A3 {'\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\''}
@attribute class numeric

@data
0.664263,0.56099,0.176547,0.572305,0.851698,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.225253,0.737537,0.84081,0.103273,0.384443,0.487716,1.184091,0.84453,3.177567,0.314706,3.762528,0.265779,0.372645,0.099041,0.117274,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',-0.238184
0.502664,0.272293,0.545282,0.909008,0.545041,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0.774957,0.817575,1.047946,0.230371,-0.272989,-0.042618,1.846041,0.5417,0.499362,2.002556,0.921842,1.084784,0.136872,0.148476,0.274094,0,1,1,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-0.26237
0.931427,0.922274,0.836041,0.015491,0.884101,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.853701,1.758315,1.767468,0.009153,0.086233,0.095386,1.009924,0.990173,1.103144,0.9065,1.114092,0.897592,0.859031,0.771059,0.778711,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-1.652698
0.783962,0.421769,0.416172,0.682101,0.120772,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.205731,0.837941,1.200134,0.362193,0.005597,0.36779,1.858747,0.537997,1.013449,0.98673,1.883745,0.530857,0.330651,0.175528,0.326263,0,0,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',0.279354
0.784435,0.600993,0.508949,0.440336,0.455335,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.385428,1.109942,1.293384,0.183442,0.092044,0.275486,1.305232,0.766148,1.180851,0.846847,1.541284,0.64881,0.47144,0.305875,0.399237,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-0.361853
0.756093,0.333218,0.047991,0.08221,0.61256,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.089311,0.381209,0.804084,0.422875,0.285227,0.708102,2.269064,0.44071,6.943344,0.144023,15.754892,0.063472,0.251944,0.015991,0.036286,0,0,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',0.762259
0.001051,0.281087,0.06354,0.532059,0.614814,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0.282138,0.344627,0.064591,-0.280036,0.217547,-0.062489,0.003739,267.447193,4.42378,0.226051,0.016541,60.456708,0.000295,0.01786,0.000067,1,0,1,'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-0.300567
0.330458,0.941658,0.849179,0.077097,0.666156,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1.272116,1.790837,1.179637,-0.6112,0.092479,-0.518721,0.350932,2.849554,1.108904,0.901791,0.38915,2.569703,0.311178,0.799636,0.280618,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-3.290931
0.180452,0.128734,0.992687,0.499621,0.032515,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.309186,1.121421,1.173139,0.051718,-0.863953,-0.812235,1.401743,0.713397,0.129682,7.711149,0.181781,5.501114,0.02323,0.127793,0.179132,0,1,1,'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-0.977279
0.801926,0.215922,0.16073,0.560952,0.982162,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.017848,0.376652,0.962656,0.586004,0.055192,0.641196,3.713962,0.269254,1.343383,0.744389,4.989274,0.20043,0.173153,0.034705,0.128894,0,0,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',0.985574
0.20677,0.74571,0.522674,0.129524,0.016236,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0.95248,1.268384,0.729444,-0.53894,0.223036,-0.315904,0.277279,3.606471,1.426721,0.700908,0.3956,2.527804,0.15419,0.389763,0.108073,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-2.105418
0.900704,0.742846,0.632261,0.160143,0.145782,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.64355,1.375107,1.532965,0.157858,0.110585,0.268443,1.212504,0.824739,1.174904,0.851133,1.424576,0.701963,0.669084,0.469673,0.56948,0,0,0,'\'(0.5-inf)\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',-0.665188
0.814251,0.30437,0.860092,0.715532,0.440699,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1.118621,1.164462,1.674343,0.509881,-0.555722,-0.045841,2.675201,0.373804,0.353881,2.825811,0.946702,1.056298,0.247834,0.261786,0.700331,0,1,1,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(0.499977-inf)\'','\'(0.5-inf)\'_x_\'(0.499977-inf)\'',0.187995
0.260233,0.131358,0.494849,0.510203,0.620437,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0.391591,0.626207,0.755082,0.128875,-0.363491,-0.234616,1.981097,0.504771,0.265451,3.767178,0.525884,1.901561,0.034184,0.065002,0.128776,0,1,1,'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-0.411171
0.979724,0.262368,0.031505,0.027319,0.532712,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.242092,0.293873,1.011229,0.717356,0.230863,0.948219,3.73416,0.267798,8.327821,0.120079,31.097413,0.032157,0.257048,0.008266,0.030866,0,0,0,'\'(0.5-inf)\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(0.5-inf)\'_x_\'(-inf-0.499977]\'',1.681701
0.119009,0.396612,0.004467,0.275424,0.675402,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0.515621,0.401079,0.123476,-0.277603,0.392145,0.114542,0.300064,3.332622,88.787105,0.011263,26.641818,0.037535,0.0472,0.001772,0.000532,1,0,0,'\'(-inf-0.5]\'_x_\'(-inf-0.500065]\'','\'(-inf-0.500065]\'_x_\'(-inf-0.499977]\'','\'(-inf-0.5]\'_x_\'(-inf-0.499977]\'',-0.448045
0.04239,0.781272,0.687145,0.299472,0.475828,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0.823662,1.468417,0.729535,-0.738882,0.094127,-0.644755,0.054258,18.430573,1.136983,0.879521,0.06169,16.210073,0.033118,0.536847,0.029128,1,0,1,'\'(-inf-0.5]\'_x_\'(0.500065-inf)\'','\'(0.500065-inf)\'_x_\'(0.499977-inf)\'','\'(-inf-0.5]\'_x_\'(0.499977-inf)\'',-2.514711
