@relation 'Non Linear trigonometric function: sin(2*PI*A1) + A2 - A3 = R-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) and A2==(0.500601-inf)-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500601-inf) and A3==(0.500023-inf)-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) and A3==(0.500023-inf)-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) or A2==(0.500601-inf)-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500601-inf) or A3==(0.500023-inf)-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) or A3==(0.500023-inf)-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) equ A2==(0.500601-inf)-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500601-inf) equ A3==(0.500023-inf)-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) equ A3==(0.500023-inf)-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) xor A2==(0.500601-inf)-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500601-inf) xor A3==(0.500023-inf)-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) xor A3==(0.500023-inf)-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) impl A2==(0.500601-inf)-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.500601-inf) impl A3==(0.500023-inf)-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) impl A3==(0.500023-inf)-L0,1-C20-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) and A2==(0.500601-inf) and A3==(0.500023-inf)-L0,1-C21-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500172-inf) or A2==(0.500601-inf) or A3==(0.500023-inf)-L0,1-C22-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A2-C23-W1.0-weka.filters.unsupervised.attribute.Add-NA2 ADD A3-C24-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A3-C25-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A2-C26-W1.0-weka.filters.unsupervised.attribute.Add-NA2 SUBTRACT A3-C27-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A3-C28-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A2-C29-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A1-C30-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A3-C31-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A2-C32-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A3-C33-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A1-C34-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A2-C35-W1.0-weka.filters.unsupervised.attribute.Add-NA2 MULTIPLY A3-C36-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A3-C37-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A2-L0,1-C38-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 LESSTHAN A3-L0,1-C39-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A3-L0,1-C40-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A2-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA2 DIFF A3-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A3-L0,1-C41-W1.0-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L\'(-inf-0.500172]\'_x_\'(-inf-0.500601]\',\'(-inf-0.500172]\'_x_\'(0.500601-inf)\',\'(0.500172-inf)\'_x_\'(-inf-0.500601]\',\'(0.500172-inf)\'_x_\'(0.500601-inf)\'-C41-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L\'(-inf-0.500601]\'_x_\'(-inf-0.500023]\',\'(-inf-0.500601]\'_x_\'(0.500023-inf)\',\'(0.500601-inf)\'_x_\'(-inf-0.500023]\',\'(0.500601-inf)\'_x_\'(0.500023-inf)\'-C42-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L\'(-inf-0.500172]\'_x_\'(-inf-0.500023]\',\'(-inf-0.500172]\'_x_\'(0.500023-inf)\',\'(0.500172-inf)\'_x_\'(-inf-0.500023]\',\'(0.500172-inf)\'_x_\'(0.500023-inf)\'-C43-W1.0'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute F1L1 {0,1}
@attribute F2L1 {0,1}
@attribute F3L1 {0,1}
@attribute F4L1 {0,1}
@attribute F5L1 {0,1}
@attribute F6L1 {0,1}
@attribute F7L1 {0,1}
@attribute F8L1 {0,1}
@attribute F9L1 {0,1}
@attribute F10L1 {0,1}
@attribute F11L1 {0,1}
@attribute F12L1 {0,1}
@attribute F13L1 {0,1}
@attribute F14L1 {0,1}
@attribute F15L1 {0,1}
@attribute F16L1 {0,1}
@attribute F17L1 {0,1}
@attribute F18L1 numeric
@attribute F19L1 numeric
@attribute F20L1 numeric
@attribute F21L1 numeric
@attribute F22L1 numeric
@attribute F23L1 numeric
@attribute F24L1 numeric
@attribute F25L1 numeric
@attribute F26L1 numeric
@attribute F27L1 numeric
@attribute F28L1 numeric
@attribute F29L1 numeric
@attribute F30L1 numeric
@attribute F31L1 numeric
@attribute F32L1 numeric
@attribute F33L1 {0,1}
@attribute F34L1 {0,1}
@attribute F35L1 {0,1}
@attribute F36L1 {'\'(-inf-0.500172]\'_x_\'(-inf-0.500601]\'','\'(-inf-0.500172]\'_x_\'(0.500601-inf)\'','\'(0.500172-inf)\'_x_\'(-inf-0.500601]\'','\'(0.500172-inf)\'_x_\'(0.500601-inf)\''}
@attribute F37L1 {'\'(-inf-0.500601]\'_x_\'(-inf-0.500023]\'','\'(-inf-0.500601]\'_x_\'(0.500023-inf)\'','\'(0.500601-inf)\'_x_\'(-inf-0.500023]\'','\'(0.500601-inf)\'_x_\'(0.500023-inf)\''}
@attribute F38L1 {'\'(-inf-0.500172]\'_x_\'(-inf-0.500023]\'','\'(-inf-0.500172]\'_x_\'(0.500023-inf)\'','\'(0.500172-inf)\'_x_\'(-inf-0.500023]\'','\'(0.500172-inf)\'_x_\'(0.500023-inf)\''}
@attribute class numeric

@data
0.212382,0.446148,0.159866,0.298395,0.364708,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0.65853,0.606014,0.372248,-0.233766,0.286282,0.052516,0.476035,2.100686,2.790762,0.358325,1.3285,0.752729,0.094754,0.071324,0.033953,1,0,0,'\'(-inf-0.500172]\'_x_\'(-inf-0.500601]\'','\'(-inf-0.500601]\'_x_\'(-inf-0.500023]\'','\'(-inf-0.500172]\'_x_\'(-inf-0.500023]\'',1.258478
0.742634,0.019853,0.040827,0.122185,0.970405,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0.762487,0.06068,0.783461,0.722781,-0.020974,0.701807,37.406639,0.026733,0.486271,2.056465,18.189776,0.054976,0.014744,0.000811,0.03032,0,1,0,'\'(0.500172-inf)\'_x_\'(-inf-0.500601]\'','\'(-inf-0.500601]\'_x_\'(-inf-0.500023]\'','\'(0.500172-inf)\'_x_\'(-inf-0.500023]\'',-1.019904
0.77446,0.421505,0.165931,0.856464,0.29422,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.195965,0.587436,0.940391,0.352955,0.255574,0.608529,1.837368,0.544257,2.540243,0.393663,4.667362,0.214254,0.326439,0.069941,0.128507,0,0,0,'\'(0.500172-inf)\'_x_\'(-inf-0.500601]\'','\'(-inf-0.500601]\'_x_\'(-inf-0.500023]\'','\'(0.500172-inf)\'_x_\'(-inf-0.500023]\'',-0.73264
0.745528,0.648408,0.762326,0.530685,0.334431,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1.393936,1.410734,1.507854,0.09712,-0.113918,-0.016798,1.149782,0.86973,0.850565,1.175689,0.977965,1.022532,0.483406,0.494298,0.568335,0,1,1,'\'(0.500172-inf)\'_x_\'(0.500601-inf)\'','\'(0.500601-inf)\'_x_\'(0.500023-inf)\'','\'(0.500172-inf)\'_x_\'(0.500023-inf)\'',-1.113524
0.98333,0.48195,0.207157,0.015188,0.22037,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.46528,0.689107,1.190487,0.50138,0.274793,0.776173,2.040315,0.49012,2.326496,0.429831,4.746786,0.210669,0.473916,0.099839,0.203704,0,0,0,'\'(0.500172-inf)\'_x_\'(-inf-0.500601]\'','\'(-inf-0.500601]\'_x_\'(-inf-0.500023]\'','\'(0.500172-inf)\'_x_\'(-inf-0.500023]\'',0.170244
0.515807,0.392086,0.900415,0.487352,0.207336,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0.907893,1.292501,1.416222,0.123721,-0.508329,-0.384608,1.315546,0.760141,0.43545,2.296473,0.572855,1.745643,0.202241,0.35304,0.46444,0,1,1,'\'(0.500172-inf)\'_x_\'(-inf-0.500601]\'','\'(-inf-0.500601]\'_x_\'(0.500023-inf)\'','\'(0.500172-inf)\'_x_\'(0.500023-inf)\'',-0.60748
0.340647,0.893414,0.10861,0.85559,0.881646,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1.234061,1.002024,0.449257,-0.552767,0.784804,0.232037,0.381287,2.622697,8.225891,0.121567,3.136424,0.318834,0.304339,0.097034,0.036998,1,0,0,'\'(-inf-0.500172]\'_x_\'(0.500601-inf)\'','\'(0.500601-inf)\'_x_\'(-inf-0.500023]\'','\'(-inf-0.500172]\'_x_\'(-inf-0.500023]\'',1.626946
0.469834,0.915409,0.676657,0.799719,0.937146,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1.385243,1.592066,1.146491,-0.445575,0.238752,-0.206823,0.51325,1.948367,1.352841,0.739185,0.694346,1.440204,0.43009,0.619418,0.317916,1,0,1,'\'(-inf-0.500172]\'_x_\'(0.500601-inf)\'','\'(0.500601-inf)\'_x_\'(0.500023-inf)\'','\'(-inf-0.500172]\'_x_\'(0.500023-inf)\'',0.427157
0.952808,0.276495,0.116927,0.553822,0.257065,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1.229303,0.393422,1.069735,0.676313,0.159568,0.835881,3.446023,0.29019,2.364681,0.42289,8.148742,0.122718,0.263447,0.03233,0.111409,0,0,0,'\'(0.500172-inf)\'_x_\'(-inf-0.500601]\'','\'(-inf-0.500601]\'_x_\'(-inf-0.500023]\'','\'(0.500172-inf)\'_x_\'(-inf-0.500023]\'',-0.13262
0.119083,0.913156,0.601968,0.628656,0.326357,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1.032239,1.515124,0.721051,-0.794073,0.311188,-0.482885,0.130408,7.668231,1.516951,0.659217,0.197823,5.055029,0.108741,0.549691,0.071684,1,0,1,'\'(-inf-0.500172]\'_x_\'(0.500601-inf)\'','\'(0.500601-inf)\'_x_\'(0.500023-inf)\'','\'(-inf-0.500172]\'_x_\'(0.500023-inf)\'',0.991523
0.341384,0.750382,0.358237,0.030174,0.791686,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1.091766,1.108619,0.699621,-0.408998,0.392145,-0.016853,0.454947,2.198058,2.094652,0.477406,0.952956,1.049367,0.256168,0.268815,0.122296,1,0,1,'\'(-inf-0.500172]\'_x_\'(0.500601-inf)\'','\'(0.500601-inf)\'_x_\'(-inf-0.500023]\'','\'(-inf-0.500172]\'_x_\'(-inf-0.500023]\'',1.231782
0.81938,0.676296,0.41158,0.736975,0.364417,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.495676,1.087876,1.23096,0.143084,0.264716,0.4078,1.21157,0.825375,1.64317,0.60858,1.990816,0.502307,0.554143,0.27835,0.33724,0,0,0,'\'(0.500172-inf)\'_x_\'(0.500601-inf)\'','\'(0.500601-inf)\'_x_\'(-inf-0.500023]\'','\'(0.500172-inf)\'_x_\'(-inf-0.500023]\'',-0.641762
0.292048,0.508968,0.653812,0.332437,0.763008,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0.801016,1.16278,0.94586,-0.21692,-0.144844,-0.361764,0.573804,1.742755,0.778462,1.284584,0.446685,2.238714,0.148643,0.332769,0.190944,1,1,1,'\'(-inf-0.500172]\'_x_\'(0.500601-inf)\'','\'(0.500601-inf)\'_x_\'(0.500023-inf)\'','\'(-inf-0.500172]\'_x_\'(0.500023-inf)\'',0.82046
0.854227,0.553243,0.413067,0.594007,0.004792,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1.40747,0.96631,1.267294,0.300984,0.140176,0.44116,1.544036,0.647653,1.339354,0.746629,2.068011,0.483556,0.472595,0.228526,0.352853,0,0,0,'\'(0.500172-inf)\'_x_\'(0.500601-inf)\'','\'(0.500601-inf)\'_x_\'(-inf-0.500023]\'','\'(0.500172-inf)\'_x_\'(-inf-0.500023]\'',-0.652946
0.079434,0.606143,0.902792,0.079532,0.838025,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0.685577,1.508935,0.982226,-0.526709,-0.296649,-0.823358,0.131048,7.630775,0.671409,1.489404,0.087987,11.36531,0.048148,0.547221,0.071712,1,1,1,'\'(-inf-0.500172]\'_x_\'(0.500601-inf)\'','\'(0.500601-inf)\'_x_\'(0.500023-inf)\'','\'(-inf-0.500172]\'_x_\'(0.500023-inf)\'',0.181987
