@relation 'Linear function with redundant attributes: 2*A1 - 2*A2 = R; A2 == A3, A4 == A5-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) and A2==(0.499958-inf)-L0,1-C6-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.499958-inf) and A3==(0.499958-inf)-L0,1-C7-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) and A3==(0.499958-inf)-L0,1-C8-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) or A2==(0.499958-inf)-L0,1-C9-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.499958-inf) or A3==(0.499958-inf)-L0,1-C10-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) or A3==(0.499958-inf)-L0,1-C11-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) equ A2==(0.499958-inf)-L0,1-C12-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.499958-inf) equ A3==(0.499958-inf)-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) equ A3==(0.499958-inf)-L0,1-C13-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) xor A2==(0.499958-inf)-L0,1-C14-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.499958-inf) xor A3==(0.499958-inf)-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) xor A3==(0.499958-inf)-L0,1-C15-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) impl A2==(0.499958-inf)-L0,1-C16-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2==(0.499958-inf) impl A3==(0.499958-inf)-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) impl A3==(0.499958-inf)-L0,1-C17-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) and A2==(0.499958-inf) and A3==(0.499958-inf)-L0,1-C18-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1==(0.500055-inf) or A2==(0.499958-inf) or A3==(0.499958-inf)-L0,1-C19-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A2-C20-W1.0-weka.filters.unsupervised.attribute.Add-NA2 ADD A3-C21-W1.0-weka.filters.unsupervised.attribute.Add-NA1 ADD A3-C22-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A2-C23-W1.0-weka.filters.unsupervised.attribute.Add-NA2 SUBTRACT A3-C24-W1.0-weka.filters.unsupervised.attribute.Add-NA1 SUBTRACT A3-C25-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A2-C26-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A1-C27-W1.0-weka.filters.unsupervised.attribute.Add-NA2 DIVIDE A3-C28-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A2-C29-W1.0-weka.filters.unsupervised.attribute.Add-NA1 DIVIDE A3-C30-W1.0-weka.filters.unsupervised.attribute.Add-NA3 DIVIDE A1-C31-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A2-C32-W1.0-weka.filters.unsupervised.attribute.Add-NA2 MULTIPLY A3-C33-W1.0-weka.filters.unsupervised.attribute.Add-NA1 MULTIPLY A3-C34-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A2-L0,1-C35-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2 LESSTHAN A3-L0,1-C36-W1.0-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Add-TNOM-NA1 LESSTHAN A3-L0,1-C36-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A2-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NA2 DIFF A3-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NA1 DIFF A3-L0,1-C37-W1.0-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A2-L\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\',\'(-inf-0.500055]\'_x_\'(0.499958-inf)\',\'(0.500055-inf)\'_x_\'(-inf-0.499958]\',\'(0.500055-inf)\'_x_\'(0.499958-inf)\'-C37-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA2_x_A3-L\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\',\'(-inf-0.499958]\'_x_\'(0.499958-inf)\',\'(0.499958-inf)\'_x_\'(-inf-0.499958]\',\'(0.499958-inf)\'_x_\'(0.499958-inf)\'-C38-W1.0-weka.filters.unsupervised.attribute.Add-TNOM-NA1_x_A3-L\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\',\'(-inf-0.500055]\'_x_\'(0.499958-inf)\',\'(0.500055-inf)\'_x_\'(-inf-0.499958]\',\'(0.500055-inf)\'_x_\'(0.499958-inf)\'-C39-W1.0'

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute F1L1 {0,1}
@attribute F2L1 {0,1}
@attribute F3L1 {0,1}
@attribute F4L1 {0,1}
@attribute F5L1 {0,1}
@attribute F6L1 {0,1}
@attribute F7L1 {0,1}
@attribute F8L1 {0,1}
@attribute F9L1 {0,1}
@attribute F10L1 {0,1}
@attribute F11L1 {0,1}
@attribute F12L1 {0,1}
@attribute F13L1 {0,1}
@attribute F14L1 {0,1}
@attribute F15L1 numeric
@attribute F16L1 numeric
@attribute F17L1 numeric
@attribute F18L1 numeric
@attribute F19L1 numeric
@attribute F20L1 numeric
@attribute F21L1 numeric
@attribute F22L1 numeric
@attribute F23L1 numeric
@attribute F24L1 numeric
@attribute F25L1 numeric
@attribute F26L1 numeric
@attribute F27L1 numeric
@attribute F28L1 numeric
@attribute F29L1 numeric
@attribute F30L1 {0,1}
@attribute F31L1 {0,1}
@attribute F32L1 {'\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(0.499958-inf)\''}
@attribute F33L1 {'\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(-inf-0.499958]\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\''}
@attribute F34L1 {'\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(0.499958-inf)\''}
@attribute class numeric

@data
0.969692,0.72576,0.72576,0.387818,0.387818,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1.695452,1.45152,1.695452,0.243932,0,0.243932,1.336106,0.748444,1,1,1.336106,0.748444,0.703764,0.526728,0.703764,0,0,'\'(0.500055-inf)\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(0.500055-inf)\'_x_\'(0.499958-inf)\'',0.487865
0.528343,0.438174,0.438174,0.240474,0.240474,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.966517,0.876348,0.966517,0.090169,0,0.090169,1.205784,0.829336,1,1,1.205784,0.829336,0.231506,0.191996,0.231506,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',0.180338
0.528343,0.438174,0.438174,0.240474,0.240474,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.966517,0.876348,0.966517,0.090169,0,0.090169,1.205784,0.829336,1,1,1.205784,0.829336,0.231506,0.191996,0.231506,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',0.180338
0.599038,0.370775,0.370775,0.879251,0.879251,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.969813,0.74155,0.969813,0.228263,0,0.228263,1.615638,0.618951,1,1,1.615638,0.618951,0.222108,0.137474,0.222108,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',0.456525
0.599038,0.370775,0.370775,0.879251,0.879251,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.969813,0.74155,0.969813,0.228263,0,0.228263,1.615638,0.618951,1,1,1.615638,0.618951,0.222108,0.137474,0.222108,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',0.456525
0.744804,0.473045,0.473045,0.436021,0.436021,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1.217849,0.94609,1.217849,0.271759,0,0.271759,1.574489,0.635127,1,1,1.574489,0.635127,0.352326,0.223772,0.352326,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',0.543517
0.85121,0.595169,0.595169,0.626269,0.626269,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1.446379,1.190338,1.446379,0.256041,0,0.256041,1.430199,0.699203,1,1,1.430199,0.699203,0.506614,0.354226,0.506614,0,0,'\'(0.500055-inf)\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(0.500055-inf)\'_x_\'(0.499958-inf)\'',0.512082
0.565005,0.05544,0.05544,0.637076,0.637076,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.620445,0.11088,0.620445,0.509565,0,0.509565,10.191288,0.098123,1,1,10.191288,0.098123,0.031324,0.003074,0.031324,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',1.019129
0.805837,0.11491,0.11491,0.601233,0.601233,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.920747,0.22982,0.920747,0.690927,0,0.690927,7.012767,0.142597,1,1,7.012767,0.142597,0.092599,0.013204,0.092599,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',1.381854
0.330857,0.939184,0.939184,0.067451,0.067451,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1.270041,1.878368,1.270041,-0.608327,0,-0.608327,0.352281,2.83864,1,1,0.352281,2.83864,0.310736,0.882067,0.310736,1,1,'\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'',-1.216654
0.642822,0.118878,0.118878,0.215976,0.215976,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.7617,0.237756,0.7617,0.523944,0,0.523944,5.407409,0.184931,1,1,5.407409,0.184931,0.076417,0.014132,0.076417,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',1.047888
0.842552,0.400031,0.400031,0.78894,0.78894,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1.242583,0.800062,1.242583,0.442521,0,0.442521,2.106217,0.474785,1,1,2.106217,0.474785,0.337047,0.160025,0.337047,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',0.885042
0.246927,0.057922,0.057922,0.97113,0.97113,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.304849,0.115844,0.304849,0.189005,0,0.189005,4.263095,0.234571,1,1,4.263095,0.234571,0.014303,0.003355,0.014303,0,0,'\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\'',0.378009
0.920315,0.384103,0.384103,0.515052,0.515052,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1.304418,0.768206,1.304418,0.536212,0,0.536212,2.396011,0.41736,1,1,2.396011,0.41736,0.353496,0.147535,0.353496,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',1.072424
0.104168,0.996234,0.996234,0.750071,0.750071,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1.100402,1.992468,1.100402,-0.892066,0,-0.892066,0.104562,9.563724,1,1,0.104562,9.563724,0.103776,0.992482,0.103776,1,1,'\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'',-1.784133
0.011615,0.394627,0.394627,0.95337,0.95337,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.406242,0.789254,0.406242,-0.383012,0,-0.383012,0.029433,33.975635,1,1,0.029433,33.975635,0.004584,0.15573,0.004584,1,1,'\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\'',-0.766024
0.202949,0.897005,0.897005,0.142695,0.142695,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1.099954,1.79401,1.099954,-0.694056,0,-0.694056,0.226252,4.419854,1,1,0.226252,4.419854,0.182046,0.804618,0.182046,1,1,'\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'',-1.388112
0.027766,0.792112,0.792112,0.580922,0.580922,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0.819878,1.584224,0.819878,-0.764346,0,-0.764346,0.035053,28.528128,1,1,0.035053,28.528128,0.021994,0.627441,0.021994,1,1,'\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'',-1.528693
0.775497,0.168424,0.168424,0.989494,0.989494,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0.943921,0.336848,0.943921,0.607073,0,0.607073,4.604433,0.217182,1,1,4.604433,0.217182,0.130612,0.028367,0.130612,0,0,'\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(0.500055-inf)\'_x_\'(-inf-0.499958]\'',1.214146
0.477787,0.897776,0.897776,0.545884,0.545884,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1.375563,1.795552,1.375563,-0.419989,0,-0.419989,0.53219,1.87903,1,1,0.53219,1.87903,0.428946,0.806002,0.428946,1,1,'\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'',-0.839977
0.251255,0.437558,0.437558,0.372942,0.372942,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.688813,0.875116,0.688813,-0.186303,0,-0.186303,0.574221,1.74149,1,1,0.574221,1.74149,0.109939,0.191457,0.109939,1,1,'\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\'','\'(-inf-0.499958]\'_x_\'(-inf-0.499958]\'','\'(-inf-0.500055]\'_x_\'(-inf-0.499958]\'',-0.372606
0.079687,0.510857,0.510857,0.704557,0.704557,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0.590544,1.021714,0.590544,-0.43117,0,-0.43117,0.155987,6.410795,1,1,0.155987,6.410795,0.040709,0.260975,0.040709,1,1,'\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'',-0.86234
0.955287,0.599389,0.599389,0.067605,0.067605,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1.554676,1.198778,1.554676,0.355898,0,0.355898,1.593768,0.627444,1,1,1.593768,0.627444,0.572589,0.359267,0.572589,0,0,'\'(0.500055-inf)\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(0.500055-inf)\'_x_\'(0.499958-inf)\'',0.711796
0.902156,0.561237,0.561237,0.919262,0.919262,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1.463393,1.122474,1.463393,0.340919,0,0.340919,1.607442,0.622106,1,1,1.607442,0.622106,0.506323,0.314987,0.506323,0,0,'\'(0.500055-inf)\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(0.500055-inf)\'_x_\'(0.499958-inf)\'',0.681837
0.286446,0.785427,0.785427,0.087364,0.087364,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1.071873,1.570854,1.071873,-0.498981,0,-0.498981,0.364701,2.741972,1,1,0.364701,2.741972,0.224982,0.616896,0.224982,1,1,'\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'',-0.997961
0.083402,0.956432,0.956432,0.138128,0.138128,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1.039834,1.912864,1.039834,-0.87303,0,-0.87303,0.087201,11.467735,1,1,0.087201,11.467735,0.079768,0.914762,0.079768,1,1,'\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'',-1.74606
0.2203,0.668072,0.668072,0.360576,0.360576,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0.888372,1.336144,0.888372,-0.447772,0,-0.447772,0.329755,3.032556,1,1,0.329755,3.032556,0.147176,0.44632,0.147176,1,1,'\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'','\'(0.499958-inf)\'_x_\'(0.499958-inf)\'','\'(-inf-0.500055]\'_x_\'(0.499958-inf)\'',-0.895544
